V1
                                                                                                                           SOMALIA
""
""
""
"                    Table 4c. Somalia: General Government Operations, 2019   "
                                                      (Millions of U.S. Dollars)
                                                                                            2019
                                                                 Q1                 Q2              Q3        Q4              Total
""
Revenue and grants                                              82.5               98.4        144.0        171.5             496.4
Revenue                                                         72.4               74.8            76.0     100.5             323.7
 Tax revenue                                                    57.9               65.4            59.2      68.3             250.9
"  Tax on income, profit, and capital gains                       2.4                3.9             2.4       3.6               12.3"
  Taxes on goods and services                                   18.0               21.6            13.4      16.1               69.1
  Taxes on international trade and transactions                 36.4               38.2            39.0      42.8             156.4
  Other taxes                                                    0.0                0.0             2.6       3.4                6.1
 Non-tax revenue                                                36.4               19.9            34.6      37.9             128.9
Grants 2/                                                       10.1               23.6            68.0      71.0             172.7
 Bilateral                                                       0.0                1.1            28.8       7.5               37.4
 Multilateral                                                   10.1               22.5            39.2      63.5             135.3
""
Total expenditure 3/                                            62.7               97.1        114.9        149.6             424.2
Current                                                         59.8               93.3        106.4        139.5             399.0
 Compensation of employees                                      40.8               58.5            70.5      81.2             251.1
 Use of goods and services                                      16.6               27.6            29.7      51.9             125.8
 Interest and other charges                                      0.0                0.0             0.0       0.0                0.0
 Subsidies                                                       0.0                0.0             0.0       0.0                0.0
 Social benefits                                                 0.0                0.0             0.3       0.6                1.0
 Other expenses                                                  0.0                0.0             0.0       0.0                0.0
 Contingency                                                     0.1                0.2             0.4       0.3                1.0
Purchase of non-financial assets                                 3.0                3.7             8.4       8.5               23.6
""
Overall fiscal balance                                          19.8                1.4            29.1      21.9               72.2
""
Sources: Somali authorities; and Fund staff estimates and projections.
1/ The numbers are based on preliminary reports from FMS and are subject to revision. The fiscal operations are recorded on a
cash basis.
2/ Includes only donor support provided to the federal government through treasury accounts at the Central Bank of Somalia.
"3/ Advances and transfers to MDAs, and grants to other organizations not expensed are not included."
""
""
""
""
                                                                                          INTERNATIONAL MONETARY FUND                  29
