V1
SIERRA LEONE
"Table 2b. Sierra Leone: Fiscal Operations of the Central Government, 2016-23"
(Percent of non-iron ore GDP)
2016     2017         2018         2019       2020     2021     2022    2023
CR No.
"18/371          Prel,"
Total revenue and grants                           15.2          14.8          16.9         15.7          17.9          17.3          17.6          18.4         18.6
Revenue                                                              12.1            12.3            13.8           13.7            14.1             14.8            15.6            16.4           16.7
Tax revenue                            11.4      11.1      11.4      11.6      12.0      12.7      13.5      14.5      14.7
"Personal Income Tax                               3.9           3.6           4,0          3.6            af            3.9            4,2            43           4,4"
Corporate Incame Tax                                    14              0.8               1.0             14               12               14               15               1.6              1.6
Goods and Services Tax                         2.8           2.6           2.8          27           2.6           2.8           3.1            3.4           3.5
Excises                                0.8       1.6       1.1       1.1        1.4       14       14       14       1.4
Import duties                                                   1.6              1.8              19             2.0              2.0              2.0              22              2.3              25
Mining royalties and licenses                 O7          0.5          0.7         07          0.6          0.8          0.7           0.7          0.7
Other taxes                                                     0.3              0.3              0.4            0.3              0.4              0.4              0.5              0.6             0.5
Non-tax                                                             OF              1.1              1.8             19              2.1              2.1              2.0              2.1              2.1
Grants                                                                            3.0               2.9               3.1               2.1                3.8                2.0                2.1                2.1                1.9
Budget support                                                    0.8              0.5               18             0.7               2.0               12               1.0               12              1.1
Project grants                                                     22              2.0              13             1.4               1?               13               1.1               0.9             0.8
Expenditures and net lending                    23.2         23.5         23.6        21.5          21.5          21.5          21.6          21.6         21.5
Current expenditures                                        14.9            15.1            16.3           14.8            15.3            14.6            14.4            142           14.0
Wages and salaries 1/                        7.6         6.9         6.5        6.3         6.7         6.3         6.0         6.0        6.0
"Goods and services                               4.8          4,0          4,1          3.6          3.6          3.4          3.2          3.0          2.8"
Subsidies and transfers                                  17             2.0             27            1.9              19             2.3              2.6             a7            2.8
Interest                                                        0.8            2.2            3.0           3.0            3.0            2.6            2.5            2.5           2.5
Domestic                                             0.6            2.0            2           2            27            24            2.3             2.3            2.3
Foreign                                                0.3            02            0.3           0.3             0.3            0.2            0.2            2           02
Capital Expenditure                              8.0         8.5         7.0        6.4         6.1          6.6         7.0         TZ         7.3
"Foreign financed                                       4,3            4,6           4,4          4,3            37            3.8            3.8            3.7           3.5"
"Domestic financed                                   4,2           3.9           25          2.1            2.4           2.9           3.2           3.6          3"
Net lending                                      “0.6        “0.1         0.0        0.0         0.0         0.0         0.0         0.0         0.0
Contingent expenditure                         0.3         0.0         04        0.3         0.1          02         0.2         0.2         0.2
"Domestic primary balance 2/                   -5.9        “4,5        -2.4       -0.5        -0.7        -0.3         0.3         0.9         13"
Overall balance including grants                “8.0        “8.8        -6.8       “5.8        -3.6        4.2        “3.9        “3.2        “2.8
Overall balance excluding grants                     -11.0          “11.3             -9.9           “7.9             “TA             -6.7             -6.0             “5.3            AT
Financing                                                        6.0            6.8            6.8           5.6            3.6            4.2            3.9            3.2           2.8
External financing (net)                                        17              2.8              2.1             22              07               13               17               14              17
Borrowing                                                   22            3.8            32           3.2            2.0            2.9            3.0            3.1            3.1
Project                                                      2.1             27            3.2           3.2            2.0            20            27            ae           2.8
Budget                                                                     0.1                1.1                0.0              0.0                0.0                0.0                0.3                0.3               0.3
Amortization                                                         -0.5             -1.0             -1.1             -1.0              -1.2              -1.2              -1.3              -1.3             -14
Domestic financing (net)                             63           6.0           AT          3.6           2.9           2.9           22           14          1.1
"Bank Total                                                         4.1              4,4              3.6            2.4              2.6              3.2              2.6              2.1              18"
SDR onlending                                         12           0.8           0.4          0.6           0.3           -0.3           -0.4          -0.7          “0.7
Disbursements                                               12             0.8              0.4            0.6              0.3              0.0              0.0              0.0             0.0
Repayments.                                              0.0            0.0            0.0           0.0            0.0           -0.3           -0.4           “0.7          -O.7
Other                                                                  1.0             OF              0.6            0.6              0.0              0.0              0.0              0.0             0.0
Memorandum item:
"Non-iron ore GDP (Le billions)                23,834     er 2af     31722 32,402      a7 5f4      43, 944      a0, 642      97,058 65,135"
"Sources: Sierra Leonean authorities: and Fund staff estimates and projections,"
"1/ Starting in 2019, tertiary education wages are classified in the wage bill rather than under subsidies and transfers."
2/ Revenue less expenditures and net lending adjusted for interest payments and foreign financed capital spending.
24 INTERNATIONAL MONETARY FUND
