V1
                                                                                                                                JORDAN
""
""
""
"Table 2b. Jordanian Central Government: Summary of Fiscal Operations, 2018–25 1/"
                                                      (In percent of GDP)
""
                                                                  Act.     Prel.                      Proj.
                                                                  2018     2019     2020   2021   2022     2023      2024     2025
""
Total revenue and grants                                            26.1     24.7   27.0   26.0    25.5       24.5    24.3     24.0
 Domestic revenue                                                   23.2     22.2   23.8   23.8    23.7       23.5    23.3     23.1
"   Tax revenue, of which :                                          15.8     15.5   17.5   17.5    17.3       17.2    17.0     16.8"
    Taxes on income and profits                                      3.2      3.3    3.9    3.9     3.9        3.9     3.9      3.9
    Sales taxes 2/                                                  10.6     10.6   12.5   12.6    12.4       12.3    12.2     12.0
    Taxes on foreign trade                                           1.0      0.9    0.8    0.8     0.8        0.7     0.7      0.7
    Other taxes                                                      0.9      0.7    0.2    0.2     0.2        0.2     0.2      0.2
   Nontax revenue                                                    7.4      6.6    6.3    6.3     6.3        6.3     6.3      6.3
 Grants                                                              3.0      2.5    3.2    2.2     1.9        1.0     1.0      0.9
"Total expenditures, inc. other use of cash                          29.8     29.7   30.0   30.0    29.9       29.6    29.3     29.1"
 Current expenditure                                                25.4     25.5   26.1   26.0    25.9       25.6    25.3     25.1
    Wages and salaries                                               4.7      5.0    5.3    5.2     5.0        4.9     4.7      4.6
    Interest payments                                                3.3      3.7    3.9    4.0     4.0        4.0     4.0      4.0
      Domestic                                                       2.2      2.3    2.6    2.5     2.6        2.7     2.8      2.8
      External                                                       1.2      1.3    1.3    1.4     1.4        1.3     1.2      1.2
"    Military and public security expenditure, of which:              8.3      8.2    8.3    8.3     8.3        8.3     8.3      8.3"
      Military expenditure                                           4.6      4.3    4.5    4.5     4.5        4.5     4.5      4.5
    Subsidies                                                        0.2      0.1    0.1    0.1     0.1        0.1     0.1      0.1
"    Transfers, of which :                                            7.9      7.5    7.4    7.4     7.3        7.2     7.0      7.0"
        Pensions                                                     4.4      4.6    4.9    4.9     4.9        4.9     4.9      4.9
        Cash transfers                                               0.5      0.5    0.3    0.3     0.3        0.3     0.3      0.3
"        Transfers to health fund, of which:                          0.7      0.7    0.5    0.4     0.3        0.2     0.2      0.2"
           Health arrears clearance                                  0.4      0.3    0.2    0.1     0.0        0.0     0.0      0.0
        Energy arrears clearance                                     0.2      0.2    0.0    0.1     0.2        0.2     0.0      0.0
        Transfers to public sector institutions                      1.0      0.6    0.7    0.7     0.7        0.7     0.7      0.7
        Other transfers                                              1.0      0.9    0.9    0.9     0.9        0.9     0.9      0.9
    Purchases of goods & services                                    1.0      1.0    1.1    1.1     1.1        1.1     1.1      1.1
 Capital expenditure                                                 3.2      3.2    3.9    4.0     4.0        4.0     4.0      4.0
 Adjustment on receivables and payables (use of cash)                1.2      1.0    0.0    0.0     0.0        0.0     0.0      0.0
""
 Total balance from above the line                                  -3.6     -5.0   -3.0   -4.0     -4.3      -5.1     -5.0     -5.0
" Statistical discrepancy, net                                        0.3      0.0    0.0    0.0      0.0       0.0      0.0      0.0"
 Overall balance at current policies                                -3.3     -5.0   -3.0   -4.0     -4.3      -5.1     -5.0     -5.0
 Unidentified measures 3/                                            0.0      0.0    0.0    0.6      1.2       1.8      2.4      2.4
Overall balance after fiscal measures                               -3.3     -5.0   -3.0   -3.4     -3.1      -3.3     -2.6     -2.6
"Advances to water sector, of which:                                  1.4      1.6    1.6    1.1      1.0       0.7      0.8      0.7"
 Distribution companies                                                       0.0    0.1    0.1      0.1       0.1      0.1      0.1
""
Financing                                                            4.7      6.6    4.6    4.5     4.2        4.0      3.4      3.4
  Foreign financing (net) 4/                                         2.0      0.6    4.2    2.1     0.8        0.5     -0.1     -0.3
  Domestic financing (net)                                           2.8      6.0    0.4    2.4     3.3        3.6      3.5      3.7
     CBJ on-lending of net IMF financing                            -1.2     -0.9    0.2    0.6     0.6        0.5      0.2     -0.1
     Other domestic bank financing                                   1.0      3.5   -1.3    0.3     1.3        1.5      1.7      2.3
     Domestic nonbank financing                                      1.7      2.8    1.5    1.5     1.5        1.5      1.5      1.5
     Use of deposits                                                 1.3      0.4    0.0    0.0     0.0        0.0      0.0      0.0
     Sale of non-financial assets                                    0.0      0.2    0.0    0.0     0.0        0.0      0.0      0.0
Memorandum items:
NEPCO operating balance                                             -0.3      0.0   -0.5   -0.6     -0.5      -0.4     -0.4     -0.4
"WAJ overall balance, excluding project grants                       -0.9     -1.1   -1.1   -0.8     -0.8      -0.8     -0.7     -0.7"
Water distribution companies overall balance                         0.0     -0.2   -0.1   -0.1     -0.1      -0.1     -0.1     -0.1
"Primary government balance, excluding grants and transfers to"
NEPCO and WAJ (PC)                                                   -3.0   -3.8   -2.3   -1.6   -1.0   -0.3    0.4    0.4
Combined public balance (PC) 5/                                      -4.2   -5.1   -4.0   -3.2   -2.4   -1.7   -0.9   -0.8
"Overall public balance, including grants                             -4.5   -6.1   -4.6   -4.9   -4.4   -4.6   -3.7   -3.7"
Social Security Corporation balance                                   3.5    3.8    3.8    3.8    3.9    3.9    3.8    3.7
Government and guaranteed gross debt                                94.4   99.1  100.4  100.7  100.2   99.6   98.0   96.1
"Government and guaranteed gross debt, net of SSC's holdings         76.3   79.4   79.9   79.7   78.7   77.8   75.8   73.6"
   Of which: External                                               37.2   35.5   39.5   41.1   40.8   40.0   38.3   36.1
Stock of health arrears                                               1.2    0.4    0.1    0.0    0.0    0.0    0.0    0.0
Stock of energy arrears (fuel and electricity)                        2.2    0.6    0.6    0.4    0.0    0.0    0.0    0.0
"GDP at market prices (JD millions)                                29,984 31,058 32,313 33,882 35,632 37,582 39,716 42,052"
""
Sources: Jordanian authorities; and Fund staff estimates and projections.
"1/ Starting 2019, the fiscal accounts consolidate the operations of 29 government units, with a neutral impact on the"
overall balance.
2/ The decline in the sales tax ratio reflects the impact of specific fixed excises over the projection period.
3/ Unidentified fiscal measures that will need to be implemented to meet program targets.
4/ Includes net issuance of domestic FX bonds.
"5/ Primary government balance excluding grants and transfers to NEPCO and WAJ, plus NEPCO operating balance, WAJ"
"overall balance, and starting in 2019, water distribution companies overall balance."
""
""
""
""
                                                                                      INTERNATIONAL MONETARY FUND                      33
