V1
   BELIZE
""
""
""
                            Table 2b. Belize: Operations of the Central Government 1/ 2/
                                   (In percent of GDP; unless otherwise indicated)
""
                                                                                                                   Projections
                                                          2015/16 2016/17        2017/18           2018/19 2019/20 2020/21 2021/22 2022/23
                                                                              Budget       Proj.      Proj.   Proj.     Proj.    Proj.    Proj.
""
Revenue and grants                                           28.2     28.9      32.2       29.6       29.9    30.1      30.1     30.1     30.2
""
Revenue                                                      27.6     27.6      30.9       28.8       29.0    29.2      29.2     29.2     29.3
Current revenue                                              27.5     27.6      30.8       28.7       29.0    29.2      29.2     29.2     29.2
 Tax revenue                                                 24.4     25.4      28.0       25.7       26.1    26.3      26.3     26.3     26.3
   Income and profits                                         7.2      7.2       7.4        7.2        7.0     7.2       7.2      7.2      7.2
   Goods and services                                        10.0     13.4      15.0       14.2       14.6    14.6      14.6     14.6     14.6
     General Sales Tax                                        7.6      8.0      11.9        7.8        8.2     8.2       8.2      8.2      8.2
   Taxes on international trade                               7.0      4.6       5.5        4.2        4.4     4.4       4.4      4.4      4.4
 Nontax revenue                                               3.1      2.2       2.7        3.0        2.9     2.9       2.9      2.9      2.9
Capital revenue                                               0.2      0.1       0.2        0.0        0.0     0.0       0.0      0.0      0.0
Grants                                                        0.6      1.2       1.3        0.8        0.9     0.9       0.9      0.9      0.9
""
Total expenditure                                            35.6     33.1      32.0       33.5       30.8    31.0      30.9     30.9     30.8
Current expenditure                                          25.5     26.2      28.0       26.9       26.9    26.9      26.8     26.7     26.7
 Wages and salaries                                          10.8     11.1      11.5       11.3       11.2    11.2      11.2     11.2     11.2
 Pensions                                                     2.2      2.3       2.1        2.5        2.5     2.5       2.5      2.5      2.5
 Goods and services                                           5.6      5.9       6.4        5.7        5.7     5.7       5.7      5.7      5.7
 Interest payments                                            2.4      2.4       3.0        2.8        2.9     2.9       2.8      2.7      2.7
 Transfers                                                    4.5      4.5       5.0        4.6        4.6     4.6       4.6      4.6      4.6
Capital expenditure and net lending                          10.2      7.0       4.1        6.5        3.9     4.0       4.1      4.1      4.1
 Capital expenditure                                          7.3      6.9       4.0        4.0        3.8     4.0       4.1      4.1      4.1
   Domestically financed expenditure (Capital II)             2.8      3.1       1.8        1.6        1.7     1.8       1.9      1.9      1.9
   Foreign financed expenditure (Capital III)                 4.5      3.8       2.2        2.4        2.1     2.1       2.1      2.1      2.1
 Net lending                                                  2.8      0.1       0.1        2.5        0.1     0.1       0.1      0.1      0.1
""
Primary balance                                              -5.1     -1.9       3.1       -1.1        2.0      2.1      2.0       2.0      2.0
Overall balance                                              -7.5     -4.2       0.2       -3.9       -0.9     -0.8     -0.8      -0.7     -0.7
""
Financing                                                     7.5       4.2      0.2        3.9        0.9      0.8      0.8       0.7      0.7
Privatization (net)                                          -3.8      -5.4       …        -4.1        0.0      0.0      0.0       0.0      0.0
Domestic                                                      8.5       7.4       …         6.6        0.7      0.2      0.7       1.0      1.4
  Of which: Amortization                                      0.0       0.0       …         0.0        0.0      0.2      0.8       1.0      1.7
External                                                      2.8       2.3       …         1.3        0.2      0.6      0.1      -0.3     -0.7
  Disbursements                                               4.9       4.4       …         3.8        2.8      3.2      2.7       2.4      2.0
  Amortization                                                2.1       2.2       …         2.4        2.6      2.6      2.5       2.6      2.7
""
Memorandum items:
Primary balance (excluding one-off capital transfer) 3/      -5.1     -1.9       3.1       1.3         2.0      2.1      2.0       2.0      2.0
Structural primary balance 3/                                -2.8     -1.6         …        1.7         2.2      2.2      2.0       2.0      2.1
"Nominal GDP (in BZ$ millions)                               3,547    3,641     3,684     3,760       3,887    4,029    4,180     4,340    4,500"
""
 Sources: Ministry of Finance; Central Bank of Belize; and Fund staff estimates and projections.
 1/ Fiscal year ends in March.
" 2/ Due to data limitations, the table deviates from the GFSM 2001 methodology."
 3/ Excludes assumption of UHS debt by the government in FY 2017/18 (2.5 percent of GDP).
""
""
""
""
   28     INTERNATIONAL MONETARY FUND
