V1
                                                                                                                       BELGIUM
""
""
""
""
"               Table 5. Belgium: General Government Statement of Operations, 2019-26"
                                                                                              Projections
                                                           2019    2020     2021      2022    2023     2024    2025     2026
Revenue                                                     50.2    50.6     50.3      50.2    50.1     50.2    50.0     50.0
  Taxes                                                     29.8    29.8     29.7      29.6    29.6    29.7     29.7     29.7
    Personal income tax                                     11.6    12.2     12.0      11.9    11.8    11.9     11.9     11.9
    Corporate income tax                                     3.8     3.4      3.3       3.3     3.3      3.3     3.3      3.3
    Taxes on property                                        1.9     1.9      2.0       2.0     2.0      2.0     2.0      2.0
    VAT                                                      6.8     6.6      6.7       6.8     6.8      6.8     6.8      6.8
    Excise                                                   2.6     2.6      2.6       2.6     2.6      2.6     2.6      2.6
    Other taxes                                              3.1     3.1      3.1       3.1     3.1      3.1     3.1      3.1
  Social contributions                                      15.4    16.1     15.7      15.5    15.5    15.5     15.5     15.5
    Actual social contributions                             13.3    13.7     13.4      13.3    13.3    13.3     13.3     13.3
    Imputed social contributions                             2.2     2.4      2.3       2.2     2.2      2.2     2.2      2.2
  Other revenue (incl. grants)                               4.9     4.7      4.9       5.0     5.0      5.0     4.9      4.9
""
Expenditure                                                 52.1    60.0     57.4      54.6    54.7    55.1     55.1     55.3
  Current expenditure                                       48.7    56.3     53.5      50.7    50.7    51.0     51.3     51.6
    Compensation of employees                               12.3    13.4     12.8      12.5    12.4    12.4     12.4     12.4
    Use of goods and services                                4.1     4.3      4.2       4.1     4.1      4.0     4.0      4.0
    Interest                                                 2.0     2.0      1.7       1.4     1.2      1.2     1.2      1.2
    Subsidies                                                3.8     5.1      4.4       4.1     4.1      4.1     4.1      4.1
    Grants                                                   1.1     1.3      1.3       1.2     1.2      1.2     1.2      1.2
    Social benefits                                         24.6    28.4     27.7      26.5    26.7    27.2     27.4     27.7
       Pensions                                             10.5    11.5     11.3      11.3    11.6    11.9     12.0     12.2
       Unemployment                                          1.0     2.8      2.1       1.2     1.1      1.1     1.1      1.1
       Health care                                           6.7     7.0      7.4       7.2     7.2      7.3     7.4      7.5
"       Early retirement, sickness and disability             2.3     2.6      2.5       2.5     2.5      2.6     2.7      2.7"
       Family allowances                                     1.5     1.6      1.5       1.5     1.5      1.5     1.5      1.5
       Other social benefits                                 2.6     2.9      2.9       2.8     2.8      2.8     2.8      2.8
    Other expense                                            0.9     1.8      1.4       0.9     0.9      0.9     0.9      0.9
  Capital expenditure                                        3.4     3.7      3.9       3.9     4.0      4.0     3.8      3.7
""
Gross operating balance                                      1.5    -5.7     -3.2      -0.6    -0.7     -0.9    -1.3     -1.6
Net lending/borrowing                                       -1.9    -9.4     -7.1      -4.5    -4.7     -4.9    -5.0     -5.3
""
Memorandum items
""
  Primary expenditure                                       50.1    58.0     55.7      53.2    53.5    53.9     53.8     54.0
  Primary balance                                            0.1    -7.4     -5.4      -3.1    -3.4     -3.7    -3.8     -4.0
  Structural balance                                        -2.2    -7.4     -6.3      -4.4    -4.6     -4.9    -4.9     -5.2
  Structural balance (excluding Covid-19 measures)          -2.2    -2.9     -3.7      -4.1    -4.4     -4.7    -4.9     -5.2
  Structural primary balance                                -0.2    -5.5     -4.7      -3.0    -3.4     -3.7    -3.7     -4.0
  Structural fiscal adjustment                              -1.0    -5.2      1.1       1.9    -0.2     -0.3     0.0     -0.3
  Structural fiscal primary adjustment                      -1.2    -5.3      0.8       1.7    -0.4     -0.3     0.0     -0.3
  Gross government debt                                     98.1   114.1    113.6     113.1   114.2   116.2    118.3    120.5
  Real growth of primary expenditure                         1.9     8.5      1.3      -1.5     2.3      2.1     1.2      1.7
""
"Sources: Haver Analytics, Belgian authorities, and IMF staff projections."
""
""
""
""
                                                                                    INTERNATIONAL MONETARY FUND            33
