V1
REPUBLIC OF LITHUANIA
""
""
""
"                               Table 2. Lithuania: General Government Operations, 2014–231"
"                                                        (ESA 2010 aggregates, in percent of GDP)"
                                                                 2014        2015       2016          2017      2018       2019        2020          2021    2022     2023
                                                                                                                                       Projections
""
       Statement of Operations
""
       Revenue                                                       34.0       34.6          34.5      33.9      35.1       35.4       35.7         35.0     34.8     34.5
       Revenue excluding EU grants                                   31.3       32.8          33.7      33.3      33.6       33.5       33.4         33.2     33.3     33.2
        Tax revenue                                                  16.2       17.0          17.4      17.2      17.3       17.1       17.1         17.1     17.1     17.2
           Direct taxes                                               5.0        5.4            5.7       5.4      5.4        5.5        5.5          5.4      5.4      5.4
             Personal income tax                                      3.6        3.8            4.0       3.9      3.9        3.9        3.9          3.9      3.9      3.9
             Corporate income tax                                     1.4        1.5            1.6       1.5      1.5        1.5        1.5          1.5      1.5      1.5
           Indirect taxes                                            11.2       11.6          11.7      11.7      11.8       11.7       11.7         11.7     11.7     11.7
             VAT                                                      7.6        7.7            7.8       7.9      7.8        7.8        7.8          7.9      7.9      7.9
             Excises                                                  2.9        3.1            3.1       3.2      3.3        3.2        3.2          3.2      3.2      3.2
             Other                                                    0.7        0.8            0.8       0.7      0.7        0.7        0.7          0.7      0.7      0.7
        Social contributions                                         11.4       11.9          12.5      12.7      12.8       12.8       12.8         12.6     12.6     12.6
        Grants                                                        2.7        1.8            0.8       0.6      1.5        2.0        2.3          1.8      1.5      1.3
        Other revenue                                                 3.7        3.9            3.7       3.5      3.5        3.5        3.5          3.5      3.5      3.5
""
       Total expenditure                                             34.6       34.9          34.2      33.3      34.5       34.6       34.9         34.2     34.1     33.9
         Current spending                                            31.3       31.2          31.2      30.2      30.9       30.8       30.7         30.6     30.6     30.5
           Compensation of employees                                  9.5        9.6            9.8       9.6      9.8        9.8        9.8          9.8      9.8      9.8
           Goods and services                                         4.7        5.0            4.8       4.6      4.6        4.6        4.6          4.6      4.6      4.6
           Interest payments                                          1.6        1.5            1.3       1.1      1.0        0.8        0.8          0.7      0.7      0.7
              Foreign                                                 1.3        1.2            1.1       0.9      0.8        0.7        0.7          0.6      0.6      0.6
              Domestic                                                0.3        0.3            0.2       0.2      0.2        0.1        0.1          0.1      0.1      0.1
           Subsidies                                                  0.3        0.4            0.4       0.3      0.3        0.3        0.3          0.3      0.3      0.3
           Grants                                                     0.9        0.9            0.9       0.9      0.9        0.9        0.9          0.9      0.9      0.9
           Social benefits                                           12.4       12.5          12.7      12.6      13.3       13.3       13.3         13.3     13.2     13.2
           Other expense                                              2.0        1.3            1.2       1.0      1.0        1.0        1.0          1.0      1.0      1.0
         Capital spending                                             3.3        3.7            3.0       3.1      3.6        3.8        4.2          3.6      3.5      3.4
""
       Net lending (+) / borrowing (-)                               -0.6       -0.2            0.3       0.5      0.6        0.8        0.8          0.8      0.7      0.6
       Net lending (+) / borrowing (-) excl. one-offs                -1.1       -0.5            0.2       0.6      0.7        0.7        0.7          0.7      0.6      0.6
""
       Net acquisition of financial assets                            3.4        1.1           -0.2       2.9      0.0        0.0        0.0          0.0      0.0      0.0
          Domestic                                                    3.3        0.0           -0.3       3.0      0.1        0.1        0.1          0.1      0.1      0.1
          Foreign                                                     0.1        1.1            0.1      -0.1      -0.1       -0.1      -0.1         -0.1     -0.1     -0.1
""
       Net incurrence of liabilities                                  4.1        1.3           -0.5       2.3      -0.6       -0.8      -0.8         -0.8     -0.7     -0.6
          Domestic                                                    0.7        2.2           -1.9      -1.0      0.1        0.1        0.1          0.1      0.1      0.1
          Foreign                                                     3.4       -0.9            1.4       3.3      -0.7       -0.9      -0.9         -0.9     -0.8     -0.7
""
""
       Financial Balance Sheet
""
       Financial assets                                              27.3       29.9          29.6      30.2           …          …       …            …        …        …
        Currency and deposits                                         7.4        7.5            6.3       8.9          …          …       …            …        …        …
        Securities other than shares                                  0.1        0.0            0.0       0.0          …          …       …            …        …        …
        Loans                                                         0.3        0.3            0.2       0.2          …          …       …            …        …        …
        Shares and other equity                                      14.2       15.7          15.9      14.7           …          …       …            …        …        …
        Other financial assets                                        5.3        6.5            7.2       6.5          …          …       …            …        …        …
                                                                                                                       …          …       …            …        …        …
       Financial liabilities                                         52.6       53.8          51.7      47.9           …          …       …            …        …        …
        Currency and deposits                                         0.8        1.4            1.4       1.0          …          …       …            …        …        …
        Securities other than shares                                 38.3       40.7          38.9      37.6           …          …       …            …        …        …
        Loans                                                         7.8        7.8            7.1       5.7          …          …       …            …        …        …
        Other liabilities                                             5.7        3.9            4.3       3.7          …          …       …            …        …        …
""
        Net financial worth                                         -25.2      -23.9          -22.2     -17.7          …          …       …            …        …        …
""
""
       Memorandum items:
"        GDP (in millions of euros)                                36,568      37,427     38,681       41,858    44,132     46,497     48,951     51,406     53,878   56,317"
        General government debt (Maastricht def.)                    40.5       42.6          40.1      39.7      37.1       34.4       31.9         29.6     27.6     25.7
           Foreign debt                                              29.6       30.8          31.2      32.1      29.8       27.4       25.1         23.1     21.3     19.6
           Domestic debt                                             10.9       11.8            8.9       7.6      7.3        7.0        6.8          6.5      6.3      6.1
""
        Sources: Ministry of Finance; Ministry of Social Security; and IMF staff estimates.
       1/ Passive projections from 2016 onward. Projections incorporate only announced budgetary measures.
""
""
""
""
26   INTERNATIONAL MONETARY FUND
