V1
GABON
"Table 3c. Gabon: Central Government Accounts, 2015-23"
(Percent of non-oil GDP; billions of CFA francs)
2015                 2016                           2017                                                2018                                                2019                                                2020                                         2021                 2022                 2023
Prog. 1/      Est.       Prog. 1/     Proj.       Prog. 1/     Proj.       Prog. 1/     Proj.                   Proj.
Total revenue and grants                                                                   31.7           24.2             25.1           23.7             24.9           28.0             25.5           28.2             25.2           27.7             27.7           27.11           26.5
Revenue                                                                                                                                                                  31.7                    24.2                        25.1                    23.7                        24.9                    28.0                        re                    28.2                        25.2                    rd ST                       rd f                    27.1                    26.5
Oil revenue                                                                                                                           10.6                  7.2                    10.0                  9.6                      7.9                11.7                      7.3                 10.9                      6.8                   9.3                      8.2                   7.5                  6.8
Non-oil revenue                                                                                                          21.0               17.0                   15.1                14.1                   16.9               16.3                   18.2                17.3                   18.4               18.3                  19.4               19.6               19.7
Tax revenue                                                                             20.4           15.3              14.1           12.8             16.0           15.0             16.7           16.0             16.9           17.0             18.1           18.3           18.4
"Taxes on income, profits, and capital gains                              7.0           a             4.9           45             5.2           5.1             5.2           5.1             5.2           55             5.8           5.8           5.8"
Domestic taxes on goods and services                                     2.9            3.8              3.6            2.8              4.2            3.5              4.6            44              4.6            5.0              55            5.6            5.8
Taxes on international trade and transactions                             6.3            4.7              44            4.1               5.4            5.1               5.6            5.2              5.9            5.2              55            5.6            5.4
Other non-oil taxes                                                                          4.2              1 Ef                13              1.4                1.2              12                1.2              12                1.2              14                14              14              14
Non-tax revenue                                                                              0.6              17                1.0              2                0.9              1.3                1.5              1.3                1.5              1.3                1.3              1.3              1.3
Total expenditure and net lending                                                      33.1           31.2             28.3           27.5             26.6           27.2             26.1           27.4             25.1           25.2             25.1           24.1           23.0
Current expenditure                                                                       Pde He           24.0             22.1           22.5             20.6           20.6             19.8           20.2             18.8           18.9             17.8           16.8           16.3
Wages and salaries                                                                       12.6           12.4              12.0           12.2              11.2           10.5              10.4           10.3               9.6             9.9               9.5             8.8             8.6
Goods and services                                                                      4.2            4.3               2.9            28               2.8            2.7               27            22               27            2.6              24            |            23
Interest payments                                                                         3.0            3.3               4.1             3.6               3.6            3.8               3.7            3.7               3.5            3.5               3.2            3.0            2.9
Transfers and subsidies                                                                5.7            4.0               3.1             3.8               3.1             3.6               3.0            3.5               2.9            3.0              2.8            2.7            Z5
o/w- oil subsidies                                                                                               14                0.5                    0.4                0.6                   0.3                0.3                    0.0                0.0                   0.0                0.0                   0.0                0.0                0.0
Capital expenditure                                                                   yin           6.9              4.9           2.2              5.8           5.0             6.4           7              6.3           6.2             73           7.3           6.7
Domestically financed                                                                                      4.2                2.8                    1.9                 Ts                    1.9                3.3                    1.9                28                    1.9                3.0                   2.9                2.5                3.4
Foreign financed                                                                              3.2             4.1                 3.0              1.1                3.9              1.7                4.5             44                44             3.2                4.3             4.8             3.3
Net lending                                                                                                                                                   -0.2                      0.4                          0.6                      1.3                          0.0                      1.2                          0.0                      0.0                          0.0                      0.0                         0.0                      0.0                      0.0
Road Fund (FER) and special funds                                                0.3           0.3              0.2           0.3             0.2           0.1              0.0           0.0             0.0           0.0             0.0           0.0           0.0
Special accounts 2/                                                                                0.0            -0.5                0.5              1.1                0.0             0.2                0.0             0.0                0.0             0.0                0.0             0.0             0.0
Overall balance (commitment basis)                                                    -1.4           7.1              -3.2           -3.8              “1.7            08              -0.6            0.8               0.2            2.5              25.            3.0            3.5
Adjustment to cash basis 3/                                                          -4.6          -2.3             -2.0          -1.2             “1.5          |              0.0           0.0             0.0           0.0             0.0           0.0           0.2
Overall balance (cash basis)                                                          -6.0          -9.3             -5.2           -4.9            -3.3          -0.4            -0.6           0.8             0.2           2.6             2.6           3.0           3.7
Total financing                                                                                                  6.0               9.3                  5.2               4.9                  Es               0.4                  0.6             -0.8                -0.2              -2.6                -2.6             -3.0             “Sif
Foreign borrowing (net)                                                                3.5            2.4             -2.8           -2.6              1.3           J)              7            12              1.4            0.3              1.8            2.2            0.5
Drawings                                                                                   3.2            41               3.0             1.1               3.9             iz              45            44              44            EB              43            4.8            3.3
Amortization                                                                             “5.4            -4.1              -5.4           rook              -2.6           -2.9             -2.8           -2.8              -3.0           -2.9             -2.6           -6.2           -6.0
Arrears (reduction = -)                                                      0.1          2.5           -2.4         -0.4            0.0         -1.3            0.0          0.0            0.0          0.0            0.0          0.0          0.0
Rollover (Eurobonds)                                                                         5.2             0.0                2.0              1.9                0.0             0.0                0.0             0.0                0.0             0.0                0.0             35             3.1
Domestic borrowing                                                                       3.7            rel              -2.0           -2.5              -4.4           -3.7             “§.1            -6.6             -2.0           -3.7             -4.3           -5.2           -4.2
"Bank financing (net)                                                                                   5.2               8.7                  1.1              17 f                -0.3               0.7                reat:              she                -0.4              i bf                “3.8             “5.4             -4,.7"
"Nonbank financing (net) 4/                                                                                       -1.4                 -1.6                     -3.1                  -0.8                    -4,1                  -4.5                    -2.3                 -5.5                    -1.6                 -2.0                    -0.6                  0.3                   0.5"
Financing gap (+=deficit / - surplus)                                              -1.2           -0.2             10.0          10.0              6.3            6.6              4.0           4.2              0.4            0.8             0.0           0.0           0.0
Exceptional financing (excluding IMF)                                                                                  8.1             8.1               4.6            48               2.3            25               0.0            0.4              0.0            0.0            0.0
Residual gap                                                                                                                                                                         1.9                  1.9                      1.8                  1.8                      1.6                  1.7                     0.4                  0.4                     0.0                  0.0                  0.0
IMF-EFF                                                                                                                                                                                                              1.9                     1.9                         1.8                     1.8                         1.6                     17                         0.4                     0.4                        0.0                     0.0                     0.0
"(Billion of CFA francs, unless otherwise indicated)"
"Total revenue and grants                                                                1,797         1,424            1,533         1,423            1,592         1,760           1,748         1,871            1,861          1,989           2,129         2,196         2,290"
"Total expenditure and net lending                                                    1,879         1,840            1,731          1,649            1,703         1,709           1,791          1,818            1,850         1,808           1,933         1,952         1,986"
Overall balance                                                                                      -82           -416              -197           -226             -111              50               -43              53                 11             181               196            244            304
Memorandum items:
Gross government deposits in BEAC (percent of non-oil GDP)                 6.1            2.4              2.5           3.2              3.1            3.4             48           44             4.8           iF f             7.8          10.0          12.9
o/w Fund for Future Generations or Stabilization Fund                                 1.7               1.6                  1.6               0.5                  2.3               0.6                  3.1                BPs                  4.1                al                  5.3               7.7             10.5
Overall balance (percent of GDP)                                                          -1.0            -5.0              -2.3            -2.6              -1.2             0.5              -0.5             0.5               0.1              1.8               1.8             2.2             2.6
Non-oil primary balance excluding capital transfers                              -513          -646             -559          -582             -388          -446             -295          -422             -231           -240            -194          -118            -39
"As percent of non-oil GDP                                                            -9.0         -11.0             -9,2           -9.7             -6.1           aT Fe              4,3           -6.4             “Sil           -3.3             “2.5           “15           -0.5"
Oil revenues (percent of oil GDP)                                                     21.3          17.4             23.3          21.5            20.0          23.1             19.8          22.7             19.5          22.0            21.1           20.3          19.7
"Public debt (percent of GDP)                                                           44,7          64.2             59.0          62.7            59.1           56.0            57.4          54.4            53.0          50.3            47.5          45.5          42.5"
External debt (percent of GDP)                                                           33.9           37.4              36.6           38.7             41.0           38.0             42.7           40.3             41.0           39.0             38.3           38.3           36.7
Domestic debt (percent of GDP)                                                     10.8          26.8             22.4          24.0             18.1           18.0             14.8           14.1             12.0           11.3              9.3            7.2            5.9
o/w Statutory advances from BEAC                                                                         5.3                  5.4                     5.2                  See                     a                  48                    48                 4.6                    4.5                 44                    4.2                 3.6                 3.0
Stock of arrears 5/                                                                                 sas           13.5                6.6             9.5               2.8             4.2                1.1             14               0.0             0.0               0.0             0.0             0.0
External                                                       wi       Pa i         0.0        1.9         0.0       0.0         0.0       0.0         0.0       0.0         0.0       0.0       0.0
Domestic                                                      =       10.9         6.6       7.6         2.8       4.2         1.1        14         0.0       0.0         0.0       0.0       0.0
VAT Reimbursement                                                                              =             5.9                5.0             5.4                2.8             4.2                fil              14                0.0             0.0                0.0             0.0             0.0
Exceptional float 6/                                                                                        es               4.2                  1.6               i                  0.0               0.0                 0.0               0.0                 0.0               0.0                 0.0               0.0               0.0
Debt service                                                                                   me            0.7               0.0            0.7               0.0            0.0               0.0            0.0               0.0            0.0              0.0            0.0            0.0
"Non-oil GDP at market prices                                                         5,676         5,885           6,108         6,007           6,406         6,289           6,852         6,625           7,376         7,186           7,698         8,106         8,634"
Sources: Gabonese authorities and IMF staff estimates and projections.
"1/ Staff report on the First Review on the Extended Arrangement Under the Extended Fund Facility (December 4, 2017; IMF Country Report No. 17/408)."
2/ Includes net trasfers to special funds financed by earmarked revenues.
3/ Records cash expenditure on payment orders issued the previous year minus payment orders settled the next year.
"4/ Includes bonds held by the non-bank sector, repayment of VAT reimbursement arrears, and securitization of previous extra-budgetary spending."
"5/ The clearance of the exceptional float and interest arrears are classified as part of the adjustment to cash basis above the line, while all other clearance of arrears are recorded below the line."
"6/ After 2017, exceptional float becomes zero and regular float cannot exceed 10 percent of the sum of current spending (excluding wages and interest) plus domestically-financed investment."
38 INTERNATIONAL MONETARY FUND
