V1
GABON
"Table 3a. Gabon: Central Government Accounts, 2015-23"
(Billions of CFA francs)
2015                 2016                          2017                                           2018                                         2019                                          2020                                   2021             2022             2023
Prog. 1/ _ Est.       Prog. 1/ Proj      Prog. 1/ Proj.       Prog. 1/ _ Proj.                   Proj.
"Total revenue and grants                                                             1,797         1,424          1,533      1,423         1,592      1,760        1,748      1,871         1,861       1,989        2,129      2,196      2,290"
"Revenue                                                                                                                       1,797             1,424              1,533         1,423             1,592         1,760            1,748         1,871              1,861          1,989            2,129         2,196         2,290"
Oil revenue                                                                              603           423            611         574           507         736          503         721            502         670           635         605         591
"Non-oil revenue                                                                                              1,194            1,001                 922            849            1,085         1,024           1,246         1,149            1,359         1,318            1,494         1,591         1,698"
"Tax revenue                                                                                          1,158              899               861            770            1,028           941           1,142        1,063            1,248        1,224           1,393        1,485        1,585"
"Taxes on income, profits, and capital gains                     398          300          301        271          336       324         359       341          387        395         443       466       497"
Domestic taxes on goods and services                                167            223             221          168            269         223            313         295            337         359            420         452         502
Value-added tax                                                                         101               155                167           112               186           139              224           177               241            221               272           287           325
Other                                                                               66              68               54           56              83           84             89          118              96         138            148          166          176
Taxes on international trade and transactions                   355          277           271        246          345        318          386        345          434        372          425        456        469
Import tariffs                                                                               331               266               256           246               325           299              366           326              411            352              405           435           447
Export taxes                                                                     24              11               15             0              20           18             21            19              23           20              20           21            21
Other non-oil taxes                                                                             239                 99                  68              84                 78              77                84              82                 90              98               105            111            118
Non-tax revenue                                                                                           36               102                   61               79                  57              82               103              87                111               94               101             106            113
Grants                                                                                                  0               0                 0             0                0             0               0             0                0             it)                0             0             0
"Total expenditure and net lending                                             1,879        1,833         1,731       1,649         1,703      1,709        1,791      1,818         1,850      1,808        1,933      1,952      1,986"
"Current expenditure                                                 1,449       1,413       1,351     1,350       1,321     1,295      1,355     1,337       1,385     1,361       1,374     1,363     1,408"
Wages and salaries                                                                                        w10               731                 732            733               715            657              710            682               710            711                731            713            743
Goods and services                                                                                   241               252                179           167               180           170              188           176               199           184               182            188           198
Interest payments                                                                                        172               193                249           219               229           240              251            247               259           250              245           243           248
Domestic                                                                                   44              61               75           80              75           78             74           90              72           83              76           68           60
Foreign                                                 128       114        174      139       154      161       176      157       188      167       168      175      189
Transfers and subsidies                                                             321            23t             191         231            196         228           206         232            217         216           216         219         219
o/w: oil subsidies                                                                                80               27                25            35               20            20                0              0                 0              0                 0              0              0
Capital expenditure                                                                         423            405             299          133            372         316           436         480            464         447            559         589         578
Domestically financed                                                                                          241                  166                  113                67                 122             208                127             186                 139             215                 225             200             291
Foreign financed                                                                       183            239             186           65            250         109           310         294            325         232            334         389         287
Net lending                                                                                                                                                   -13                        25                         35                   79                           0                   78                          0                      0                           0                      0                           0                      0                      0
Road Fund (FER) and special funds                                           18            19            14         20            10           7            0           0             0           0             0           0           0
Special accounts 2/                                                                  2           -29             32          67              0          13             0           0             0           0             0           0           0
Overall balance (commitment basis)                                               -82          -416           -197       -226          -111           50           -43          53             11         181            196        244         304
Adjustment to cash basis 3/                                                                   -259            -133             -119           -70              -98           “75                2             -2                 3              3                 1             “2            te
Overall balance (cash basis)                                                     -341          -549          -317       -297         -209         -25          -41          51             15        184          197        242        319
Total financing                                                                                                         341                549                317            297               209              25                41             “ol                 “15          -184             -197          -242          -319
Foreign borrowing (net)                                                                                        196                142                -173           -154                   86           “155               115             110                105               25                137             176               44
Drawings                                                                                                              183                239                 186              65                250            109               310            294                325            232                334            389            287
Amortization                                                                              -288           -244            -332        -306           -164        -183          -195        -184           -220        -207           -197        -501         eal by
Arrears (reduction = -)                                                 5         147        -147       -26           0       -80           0         0           0         0           0         0         0
Rollover (Eurobonds)                                                                               296                   0                120           112                   0               0                  0               0                   0               0                   0           288           271
Domestic borrowing                                                                                                              213                  417                  -121             -151                  -282             -235                -346            -440                 -147             -266                 -334             -418             -363
Banking system (net)                                                             293           510             68       -101            -20          45         -186         7 ff           32       -123          -292       -442       -406
Nonbank financing (net) 4/                                                                    -81               -93             -188           -50            -262         -280           -160         -363             -116         -144              -43             24             43
