V1
                                                                                                                                                                                         NIGER
""
""
""
"                        Table 2. Niger: Financial Operations of the Central Government, 2017–25"
                                                  (In billions of CFA francs)
                                                                             2017       2018               2019                     2020             2021        2022       2023        2024       2025
                                                                                                     5th                      5th
                                                                                                                  Est.                     Proj.                   Projections
                                                                                                   Review                    Review
""
""
"Total revenue                                                                    681       862          866          848         997           798     1,049      1,315      1,460       1,630      1,828"
  Of which: cash revenue                                                         646       706          772          750         915           716         …          …          …           …          …
" Tax revenue                                                                     620       788          806          784         924           728       959      1,206      1,335       1,492      1,673"
  International trade                                                            172       194          222          209         270           163       269        345        380         420        475
  Goods and services                                                             234       354          313          317         355           312       380        471        513         574        645
  Income                                                                         171       176          204          189         221           186       224        287        319         364        403
  Other                                                                           43        64           67           69          78            68        86        103        124         135        149
 Nontax revenue                                                                   49        67           43           51          58            55        66         80         95         105        119
Special accounts revenue                                                          12         8           17           14          15            15        24         28         30          33         36
""
"Total expenditure and net lending                                                1267    1,505        1,620        1,632       1,777         1,771     1,875      2,058      2,209       2,431      2,709"
" Of which: domestically financed                                                  916    1,067        1,068        1,116       1,164         1,189     1,231      1,423      1,581       1,774      2,019"
" Of which: domestically financed, cash                                            881      911          974        1,018       1,082         1,107         …          …          …           …          …"
" Total current expenditure                                                        667      707          744          723         813           846       878      1,007      1,119       1,253      1,424"
"   Budgetary expenditure                                                          643      688          718          691         788           821       859        985      1,095       1,228      1,396"
    Wages and salaries                                                            270      273          285          282         293           296       318        369        412         464        531
    Goods and services                                                            112      135          114          109         129           137       142        165        185         208        238
    Transfers and subsidies                                                       215      213          245          225         281           304       294        341        382         430        492
    Interest                                                                       47       68           74           75          84            84       105        110        118         127        135
      Of which: external debt                                                      16       21           27           22          33            33        43         47         50          52         55
    Adjustments to fiscal expenditure                                              -1       -1            0            0           0             0         0          0          0           0          0
   Special accounts expenditure 1                                                  24       19           26           32          25            25        19         22         23          26         28
" Capital expenditure and net lending                                              600      798          876          908         964           925       998      1,051      1,090       1,178      1,285"
"   Capital expenditure                                                            600      798          876          908         964           925       998      1,051      1,090       1,178      1,285"
    Domestically-financed                                                         250      360          324          393         352           343       354        416        462         520        595
"      Of which: domestically-financed, cash                                       215      204          230          294         270           261         …          …          …           …          …"
    Externally-financed                                                           351      438          552          516         613           583       644        635        628         657        690
      Of which: grants                                                            201      303          341          321         411           429       403        378        367         382        422
                  loans                                                           150      135          211          195         202           154       241        257        261         275        268
   Net lending                                                                      0        0            0            0           0             0         0          0          0           0          0
""
Overall balance (commitment)                                                     -586     -643         -753         -783        -780          -973      -826       -743          -749     -801       -881
"Overall balance (commitments, WAEMU anchor)                                      -267     -214         -214         -269        -223          -390      -286       -256          -269     -294       -323"
Basic balance (excl. budget grants) 2                                            -236     -204         -202         -267        -167          -390      -182       -109          -120     -143       -191
Basic balance (incl. budget grants)                                              -118      -79           -3          -74         -20          -227       -45          1            -8      -19        -55
Change in payment arrears and float                                               -54      -11          -44           -3           0             0         0          0             0        0          0
 Of which: change in payment arrears                                              -54      -11          -44          -44           0             0         0          0             0        0          0
Overall balance (cash)                                                           -640     -654         -797         -786        -780          -973      -826       -743          -749     -801       -881
""
Financing                                                                        640       654          797          786         780           738       766        738          749       801        881
  External financing                                                             480       563          813          783         740           816       730        681          682       750        795
   Grants                                                                        319       429          539          514         557           582       540        487          479       507        558
     Of which: budget financing                                                  118       126          199          193         147           164       137        109          112       124        136
   Loans                                                                         183       166          329          306         258           310       287        308          319       338        332
      Of which: budget financing                                                  33        31          118          111          56           156        46         51            57       63         64
     Amortization                                                                -21       -32          -56          -37         -76           -76       -97       -114          -116      -95        -96
     Debt relief (incl. debt under discussion)                                     0         0            0            0           0             0         0          0             0        0          0
    Domestic financing                                                           160        91          -16            3          40           -78        36         58            67       51         87
     Banking sector                                                              105        47           22         -149          25           -14         0          8             5       -6          1
      IMF                                                                         19        18           32           21           3            15       -16        -18           -21      -22        -23
      Statutory advances (including other advances)                               -8        -9            0           -8           0             0         0          0             0        0          0
      Deposits with BCEAO                                                        -65        62           -1         -101          -1            -1         0         -5           -10      -15        -20
      Government securities net and others                                       160       -24           -9          -61          23           -28        17         31            36       31         44
     Nonbanking sector                                                            55        43          -38          152          15           -64        36         50            62       57         86
    Financing gap (+)                                                               0          0            0            0            0        235          60          5          0           0          0
Sources: Nigerien authorities; and IMF staff estimates and projections.
1
"    The special accounts include the financing on the National Retirement Fund, Priority Investments Fund, and Fund for Continuous Professional Development."
2
    Revenues minus expenditure net of externally-financed capital expenditure.
""
""
""
""
                                                                                                                                 INTERNATIONAL MONETARY FUND                                          17
