V1
PANAMA
""
""
""
"                  Table 3. Panama: Summary Operations of the Central Government, 2015–251"
                                            (In percent of GDP)
                                                                                                                  Est.                                 Projections
                                                                 2015      2016          2017       2018         2019         2020         2021        2022          2023       2024         2025
 Revenues and grants                                              13.4      13.3         13.9       13.8         12.6          11.0        13.3         13.3         13.2        13.1        13.0
  Current revenue                                                 13.2      13.3         13.9       13.8         12.6          11.0        13.3         13.3         13.2        13.1        13.0
    Taxes                                                          9.3       9.7          9.2        9.2          8.2           8.0         8.7          8.7          8.6         8.6         8.4
      Direct taxes                                                 4.8       5.1          4.9        5.1          4.4           4.2         4.8          4.8          4.7         4.7         4.5
         Income tax                                                4.3       4.6          4.4        4.6          4.0           3.8         4.4          4.4          4.3         4.2         4.1
         Tax on wealth                                             0.5       0.5          0.5        0.5          0.4           0.4         0.4          0.4          0.4         0.4         0.4
      Indirect taxes                                               4.5       4.6          4.3        4.1          3.8           3.8         3.9          3.9          3.9         3.9         3.9
         Import tax                                                0.7       0.6          0.6        0.5          0.5           0.5         0.5          0.5          0.5         0.5         0.5
         ITBMS                                                     2.4       2.6          2.5        2.3          2.2           2.2         2.2          2.2          2.2         2.2         2.2
         Petroleum products                                        0.4       0.5          0.4        0.4          0.4           0.4         0.4          0.4          0.4         0.4         0.4
         Other tax on domestic transactions                        0.9       0.9          0.8        0.8          0.8           0.8         0.8          0.8          0.8         0.8         0.8
    Nontax revenue                                                 3.9       3.6          4.7        4.6          4.4           3.0         4.6          4.6          4.5         4.6         4.6
      Dividends                                                    1.6       1.5          2.3        2.3          2.2           1.1         2.2          2.3          2.2         2.2         2.1
         Of which : Panama Canal Authority                         1.1       1.2          1.9        1.8          1.8           0.8         1.9          1.9          1.9         1.8         1.8
                                                  1/
        Panama Canal Authority: fees per ton                       0.7       0.7          0.7            0.8       0.8           0.3         0.8          0.8         0.8          0.8            0.8
        Transfers from decentralized agencies                      0.5       0.5          0.5            0.5       0.4           0.5         0.5          0.5         0.5          0.5            0.5
        Other                                                      1.1       0.9          1.2            1.0       0.9           1.0         1.0          1.0         1.0          1.1            1.1
     Capital revenue                                               0.1       0.1          0.1            0.0       0.0           0.0         0.0          0.0         0.0          0.0            0.0
     Grants                                                        0.0       0.0          0.0            0.0       0.0           0.0         0.0          0.0         0.0          0.0            0.0
""
 Total expenditure                                                17.4      17.5         17.5       17.5         16.7          18.0        16.6         16.1         16.0        16.0        16.0
  Current                                                         11.1      10.7         10.9       10.9         11.5          14.0        12.1         12.1         12.0        11.9        12.0
    Wages and salaries                                             4.0       4.3          4.6        4.7          4.8           4.9         4.7          4.7          4.7         4.7         4.7
    Goods and services                                             1.4       1.3          1.3        1.2          1.2           3.0         1.2          1.2          1.2         1.2         1.2
    Current expenditure of CSS                                     0.7       0.5          0.6        0.6          0.7           0.6         0.6          0.6          0.5         0.5         0.5
    Transfers to public and private entities                       3.2       2.8          2.7        2.7          3.0           3.3         3.1          3.1          3.1         3.1         3.1
    Interest                                                       1.7       1.7          1.7        1.8          1.9           2.2         2.5          2.5          2.4         2.4         2.5
      Domestic                                                     0.3       0.3          0.4        0.3          0.4           0.4         0.6          0.6          0.6         0.6         0.6
      External                                                     1.4       1.4          1.4        1.4          1.5           1.8         1.9          1.9          1.9         1.8         1.9
  Capital                                                          6.0       6.5          6.1        5.7          5.2           4.0         4.6          4.1          4.0         4.1         4.0
                     2/
  Accrued spending                                                 0.3       0.3          0.4            0.8       0.0           0.0         0.0          0.0         0.0          0.0            0.0
 Savings 3/                                                        2.2       2.6          3.0            2.9       1.1          -3.1         1.3          1.2         1.2          1.2            1.0
""
 Overall balance 4/                                               -4.1      -4.1         -3.6           -3.6     -4.1          -7.0         -3.3        -2.8         -2.9        -2.8         -3.0
                    5/
 Financing (net)                                                   4.4       2.6          3.3            4.3       2.6           7.0         3.3          2.8         2.9          2.8         3.0
   External                                                        2.4       2.1          2.4            3.3       5.5           4.2         1.5          1.6         1.6          1.6         1.6
          Of which : Multilateral lenders                          1.5       1.2          1.5            1.3       1.2           2.1         0.6          0.5         0.3          0.0         0.0
          Of which : Private creditors                             2.3       1.7          2.4            2.7       4.9           2.5         2.2          2.1         1.9          1.8         1.7
          Of which : Other lenders                                -1.4      -0.8         -1.5           -0.7      -0.7          -0.4        -1.3         -0.9        -0.6         -0.3        -0.1
     Domestic                                                      2.0       0.5          0.9            1.0      -2.8           2.8         1.8          1.2         1.3          1.3            1.4
          Of which: Net credit from banks                          0.2      -0.4         -0.3            0.5      -2.2           0.0        -0.4          0.0         0.0          0.0            0.0
          Of which: Net credit from non-banks                      1.6       0.6          0.8           -0.3       1.6           2.0         1.4          0.3         0.4          0.4            0.4
          Of which: Other lenders                                  0.2       0.3          0.4            0.8      -2.3           0.7         0.8          0.8         0.9          0.9            1.0
 Memorandum items:
  Primary balance                                                  -2.4      -2.4        -1.8        -1.9         -2.2         -4.8         -0.9        -0.3         -0.4         -0.4        -0.5
"  GDP (in millions of US$)                                      54,092    57,908      62,219      65,128       66,801       64,839       67,786      72,261       77,391       82,886      88,771"
""
     Sources: Comptroller General; Ministry of Economy and Finance; and IMF staff calculations.
     1/ Includes public service fees.
     2/ Staff adjustment to account for the accrual of previously unrecorded expenditure for 2015-18.
     3/ Current revenues and grants less current expenditure.
"     4/ For 2015 - 2017, includes spending allowed under Article 34 of Law 38 of 2012."
