V1
                                                                                                                                                                                                                                   GUINEA
""
""
""
"                          Table 3b. Guinea: Fiscal Operations of the Central Government, 2015–231"
"                                          (Percent of GDP, unless otherwise indicated)"
                                                                  2015          2016      2017                                 2018                                         2019                        2020              2021     2022    2023
                                                                                                                                             Sept.
                                                                                                       Prog. 1st Prog. 2nd June Cum.                 Suppl.      Prog. 1st Prog. 2nd Proposed       Prog.
                                                                                             Prel.                                           Cum.                                                               Proj.     Proj.    Proj.    Proj.
                                                                                                        Review     Review        Prel.              Budget 4      Review     Review    LFI 3         Req.
                                                                                                                                              Prel.
""
""
""
Total revenue and grants                                                14.8      15.8       15.2           15.8       15.4           7.3    11.5       15.6        16.6       15.6       15.6       19.1       16.4      16.9     17.2     17.2
 Revenue                                                                13.7      14.6       13.6           14.5       13.7           6.8    10.1       14.4        15.4       14.5       14.5       17.8       15.3      15.7     16.1     16.1
   Tax revenue                                                          13.0      14.0       13.2           13.5       12.8           6.2     9.5       13.5        14.8       13.9       13.9       17.1       14.7      15.0     15.4     15.4
    Mining sector                                                        2.4       2.1        2.3            2.5        2.7           1.3     1.9        2.9         2.5        2.7        2.7        3.0        2.7       2.8      2.8      2.8
         Local Development Fund                                                                …              …          …             …       …          …           …         0.4        0.4        3.0        0.4       0.4      0.4      0.4
       Non-mining sector                                                10.7      11.9       10.9           11.0        10.2           4.9     7.5      10.6         12.2      11.2       11.2       14.1       12.0       12.3    12.6     12.6
         Direct taxes                                                    2.1       2.4        2.4            2.8         2.5           1.3     2.0       2.1          3.3       2.6        2.6        3.5        2.8        3.0     3.1      3.1
         Indirect taxes                                                  8.6       9.5        8.5            8.3         7.7           3.7     5.5       8.4          8.9       8.6        8.6       10.7        9.2        9.3     9.4      9.5
           Taxes on goods and services                                   5.8       6.9        5.7            5.7         5.5           2.6     3.9       6.5          5.9       6.1        6.1        6.9        6.4        6.4     6.4      6.5
           Taxes on international trade                                  2.8       2.6        2.8            2.6         2.2           1.1     1.7       2.0          3.0       2.5        2.5        3.7        2.8        2.9     3.0      3.0
         Non-tax revenue                                                 0.6       0.6        0.5            1.0         0.9           0.6     0.7       0.9          0.6       0.5        0.5        0.7        0.6        0.7     0.7      0.7
    Grants                                                               1.2       1.2        1.5            1.3         1.7           0.4     1.3       1.2          1.3       1.1        1.1        1.3        1.1        1.2     1.1      1.1
     Project grants                                                      0.4       0.1        1.0            0.8         1.3           0.4     1.3       0.8          0.7       0.7        0.7        0.8        0.7        0.7     0.6      0.6
     Budget support                                                      0.1       1.0        0.5            0.5         0.4           0.0     0.0       0.5          0.5       0.4        0.4        0.5        0.4        0.4     0.5      0.5
     Other earmarked grants                                              0.6       0.1        0.0             …          0.0            …       …         …            …         …          …          …          …          …       …        …
Expenditures and net lending                                            21.7      16.0       17.2           18.0       17.5           6.1    11.5       17.7        18.8       17.9       17.9       21.1       18.1      17.8     18.1     18.2
 Current expenditures                                                   14.1      11.2       11.4           11.5       10.8           4.7     8.1       11.5        11.3       10.2       10.2       12.3       10.9      11.1     11.2     11.2
   Primary current expenditures                                         13.3      10.1       10.5           10.3        9.8           4.4     7.5       10.4        10.3        9.4        9.4       11.3       10.1      10.2     10.2     10.2
     Wages and salaries                                                  4.1       3.8        3.6            3.9        3.7           1.8     2.7        3.7         3.9        3.5        3.5        4.2        3.7       3.7      3.7      3.7
     Goods and services                                                  5.0       3.5        3.6            3.3        3.0           1.0     2.0        3.6         3.3        3.3        3.3        3.7        3.3       3.3      3.3      3.3
     Subsides and transfers                                              4.1       2.8        3.3            3.2        3.1           1.5     2.7        3.1         3.1        2.6        2.6        3.4        3.2       3.2      3.2      3.2
         of which EDG                                                              0.5        1.2            1.0        1.0           0.5     0.6          ...       0.7        0.7        0.7        0.7        0.6       0.5      0.4      0.3
