V1
CAMBODIA
""
""
""
"                     Table 4. Cambodia: General Government Operations, 2017–26 (GFSM 2014)"
""
                                                        2017          2018          2019              2020                   2021                 2022      2023      2024      2025      2026
                                                                                                  Budget   Est.          Budget   Proj.                             Proj.
""
" Revenue                                                 19,387        23,599        29,461      27,251     25,335      21,803         25,443    27,774    30,251    33,090    36,249    39,722"
" Of which: Nongrant                                      17,680        21,466        27,251      26,001     23,291      20,711         23,422    25,955    28,614    31,617    34,923    38,528"
" Tax                                                     15,193        18,561        23,822      23,030     20,882      18,281         21,182    23,529    25,964    28,721    31,752    35,049"
" Income, profits, and capital gains                        3,798        4,367         5,467        …         6,110      4,459           6,221     6,630     7,234     7,906     8,659     9,499"
" Good and services                                         9,312       11,694        15,280        …        12,399      11,428         12,775    14,110    16,057    17,924    19,927    22,078"
" International trade and transactions                      1,966        2,355         2,897        …         2,198      2,283           2,022     2,625     2,663     2,882     3,156     3,462"
" Grants                                                    1,707        2,133         2,210       1,250      2,044      1,092           2,021     1,819     1,637     1,473     1,326     1,193"
" Other revenues                                            2,487        2,905         3,430       2,972      2,409      2,430           2,240     2,426     2,650     2,896     3,171     3,479"
""
""
" Total expenditure                                       20,082        22,941        26,202      30,611     28,935      28,784         31,563    32,593    35,233    37,787    41,215    44,868"
" Expense                                                 13,335        15,277        18,040      17,418     19,659      17,678         22,059    22,486    24,096    25,871    28,465    31,226"
" Compensation of employees                                 6,297        7,413         8,355       9,077      8,992      8,610           8,992     9,981    10,890    11,902    13,165    14,442"
" Purchase of goods and services                            3,650        4,093         4,984        …         4,199      5,129           6,554     5,777     6,303     6,888     7,544     8,276"
 Interest                                                   288           338           367        …          381        621             508       549       599       655       717       787
" Expense not elsewhere classified                          3,099        3,433         4,335        …         6,087      3,318           6,005     6,179     6,305     6,426     7,038     7,721"
" Net acquisition of nonfinancial assets                    6,747        7,664         8,161      13,193      9,277      11,106          9,504    10,107    11,137    11,916    12,750    13,643"
" Of which: Externally financed                             4,013        3,981         4,667        …         4,478        …             4,397     5,001     5,876     6,920     7,152     7,463"
""
""
" Net lending (+)/borrowing(-)                               -696          658         3,260      -3,360     -3,601      -6,981         -6,119    -4,819    -4,982    -4,696    -4,966    -5,147"
" Net acquisition of financial assets                       2,918        3,467         9,638        …          672       -2,328         -2,631    -1,637     -743        750      860      1,123"
" Net incurrence of liabilities                             3,614        2,809         6,378       3,360      4,273      4,176           3,488     3,182     4,239     5,447     5,826     6,270"
" Of which: External                                        2,356        1,877         4,667       3,360      4,478      4,176           4,397     5,001     5,876     6,920     7,152     7,463"
""
""
 Revenue                                                    21.6          23.7         26.8       22.9        24.5            20.0       23.4      23.6      23.6      23.6      23.6      23.6
 Nongrant                                                   19.7          21.6         24.8       21.9        22.5            19.0       21.5      22.1      22.3      22.5      22.7      22.9
 Tax                                                        16.9          18.6         21.7       19.4        20.2            16.8       19.5      20.0      20.2      20.5      20.7      20.8
" Income, profits, and capital gains tax                      4.2           4.4          5.0        …              5.9           4.1       5.7       5.6       5.6       5.6       5.6       5.6"
 Good and services tax                                      10.4          11.7         13.9        …          12.0            10.5       11.7      12.0      12.5      12.8      13.0      13.1
 International trade and transactions tax                    2.2           2.4          2.6        …              2.1           2.1       1.9       2.2       2.1       2.1       2.1       2.1
 Grants                                                      1.9           2.1          2.0        1.1            2.0           1.0       1.9       1.5       1.3       1.0       0.9       0.7
 Other revenues                                              2.8           2.9          3.1        2.5            2.3           2.2       2.1       2.1       2.1       2.1       2.1       2.1
""
""
 Total expenditure                                          22.4          23.0         23.8       25.7        28.0            26.5       29.0      27.7      27.4      26.9      26.8      26.6
 Expense                                                    14.8          15.3         16.4       14.6        19.0            16.3       20.3      19.1      18.8      18.4      18.5      18.5
 Compensation of employees                                   7.0           7.4          7.6        7.6            8.7           7.9       8.3       8.5       8.5       8.5       8.6       8.6
 Purchase of goods and services                              4.1           4.1          4.5        …              4.1           4.7       6.0       4.9       4.9       4.9       4.9       4.9
 Interest                                                    0.3           0.3          0.3        …              0.4           0.6       0.5       0.5       0.5       0.5       0.5       0.5
 Expense not elsewhere classified                            3.5           3.4          3.9        …              5.9           3.1       5.5       5.3       4.9       4.6       4.6       4.6
 Net acquisition of nonfinancial assets                      7.5           7.7          7.4       11.1            9.0         10.2        8.7       8.6       8.7       8.5       8.3       8.1
 Of which: Externally-financed                               4.5           4.0          4.2        …              4.3                     4.0       4.3       4.6       4.9       4.7       4.4
""
 Net lending (+)/borrowing(-)                               -0.8           0.7          3.0       -2.8        -3.5            -6.4       -5.6      -4.1      -3.9      -3.3      -3.2      -3.1
 Net acquisition of financial assets                         3.2           3.5          8.8        …              0.6         -2.1       -2.4      -1.4      -0.6       0.5       0.6       0.7
 Net incurrence of liabilities                               4.0           2.8          5.8        2.8            4.1           3.8       3.2       2.7       3.3       3.9       3.8       3.7
 Of which: External                                          2.6           1.9          4.2        2.8            4.3           0.0       4.0       4.3       4.6       4.9       4.7       4.4
""
""
 Memorandum items:
 Net lending (+)/borrowing(-) excluding grant               -2.7          -1.5          1.0       -3.9        -5.5       -7.4            -7.5      -5.6      -5.2      -4.4      -4.1      -3.8
 Government deposits                                       12.6          14.9         22.2          …         24.3        …              19.6      16.8      14.8      14.1      13.4      12.9
" GDP (in billions of riels)                              89,831        99,544      110,014       118,800   103,512      115,213       108,786   117,679   128,396   140,324   153,687   168,593"
""
 Sources: Data provided by the Cambodian authorities; and IMF staff estimates and projections.
""
""
""
""
29        INTERNATIONAL MONETARY FUND
