V1
                                                                                                                                                                  TUNISIA
""
"                               Table 5. Tunisia: Central Government Fiscal Operations, 2018–26"
                                                       (In percent of GDP)
""
                                                                            2018      2019           2020                 2021           2022    2023     2024    2025       2026
                                                                                               Proj.    Budget       Proj. Budget                        Proj.
Total revenue and grants                                                    26.0      27.7       26.9      27.1       27.0     27.3      27.2    27.2     27.4    27.5        27.6
   Revenue                                                                  25.7      27.5        26.0      26.1      26.3     26.6      26.9    27.0     27.2    27.2        27.3
      Tax revenue                                                           23.1      25.1        23.6      23.7      24.3     24.6      24.6    24.8     25.0    25.1        25.2
        Direct taxes                                                         8.5      11.0        10.5      10.6      10.3     10.6      10.7    10.8     10.9    10.9        10.9
             PIT                                                              6.0      7.7         7.9        7.9      7.9       8.0       7.9     7.9      7.9        7.9     7.9
             CIT                                                              2.5      3.3         2.7        2.7      2.5       2.6       2.8     2.9      3.0        3.0     3.0
         Indirect taxes                                                     14.5      14.1        13.1      13.1      13.9      14.1     13.9     13.9    14.1        14.2    14.3
             Trade taxes                                                      1.1      1.1         1.0        1.0      1.1       1.1       1.1     1.1      1.1        1.1     1.1
             VAT                                                              7.0      6.8         6.1        6.1      6.4       6.2       6.4     6.5      6.6        6.7     6.8
             Excise                                                           2.7      2.5         2.5        2.5      2.8       3.1       2.7     2.7      2.7        2.7     2.7
             Other indirect taxes                                             3.7      3.7         3.4        3.5      3.7       3.7       3.7     3.7      3.7        3.7     3.7
      Nontax revenue                                                         2.7       2.4         2.4       2.4       2.1       2.0      2.3      2.2      2.2        2.2     2.2
         of which: energy sector                                              1.3      1.0         0.8         …       0.8        …        0.7     0.7      0.6        0.6     0.6
   Grants                                                                    0.2       0.2         1.0       1.0       0.7       0.7      0.2      0.2      0.2        0.2     0.2
""
Total expenditure and net lending                                           30.5      31.6        37.5      37.8      36.2     33.2      34.0    33.7     33.3    33.0        32.9
   Total expenditure                                                        30.5      31.7        37.1      37.5      36.2     33.2      34.1    33.8     33.4    33.0        32.9
      Current expenditure                                                   24.9      26.3        31.0      31.4      30.4     27.3      28.5    28.5     28.4    28.2        28.2
         Wages and salaries                                                 14.0      14.6        17.6      17.6      17.5      16.6     17.2     16.9    16.7        16.5    16.3
         Goods and services                                                   1.1      1.4         1.8        1.8      1.6       1.6       1.6     1.6      1.6        1.6     1.6
         Interest payments                                                    2.6      2.8         3.4        3.7      3.4       3.3       3.8     4.5      4.9        5.3     5.5
             Domestic                                                         1.4      1.4         2.1        2.3      1.9       1.8       1.7     2.1      2.4        2.6     2.7
