V1
ISLAMIC REPUBLIC OF IRAN
""
""
"     Table 4. Islamic Republic of Iran: Central Government Operations, 2015/16–2022/23 1/ 2/"
                                          (In percent of GDP)
                                                                                          Projections
                                                       2015/16 2016/17 2017/18 2018/19 2019/20 2020/21 2021/22 2022/23
""
 Revenue                                                   16.1      17.3   15.7    18.7     19.5     19.5    19.5    19.5
  Tax revenue                                               7.1       8.0    7.3     7.2      7.2      7.3     7.3     7.4
"    Taxes on income, profits and capital gains              3.6       3.7    3.3     3.1      3.1      3.1     3.2     3.2"
    Taxes on property                                       0.2       0.2    0.2     0.2      0.2      0.2     0.2     0.2
    Taxes on goods and services                             2.2       2.7    2.3     2.3      2.3      2.3     2.3     2.3
     Of which : value added tax                             1.8       1.8    1.7     1.7      1.7      1.7     1.7     1.7
    Taxes on international trade and transactions           1.0       1.4    1.5     1.7      1.7      1.7     1.7     1.7
"  Other revenue, of which                                   9.0       9.3    8.3    11.4     12.3     12.2    12.2    12.1"
    Property Income                                         7.3       7.4    6.4    10.0     10.5     10.4    10.4    10.3
     Of which : rents (oil revenue)                         6.0       5.8    5.4     9.0      9.5      9.4     9.4     9.3
    Other                                                   1.7       1.9    1.9     1.4      1.8      1.8     1.8     1.8
 Expenditure                                               17.9      19.5   18.0    20.0     22.2     22.2    22.4    22.4
""
     Expense                                               15.4      16.3   15.7    16.4     19.8     19.7    19.9    19.8
        Of which : Interest payments                        0.1       0.1    0.2     0.4      4.8      4.9     5.1     5.2
     Net acquisition of nonfinancial assets                 2.5       3.3    2.3     3.7      2.5      2.5     2.5     2.6
""
 Gross operating balance                                     0.7      1.0   -0.1     2.3      -0.2     -0.2    -0.4    -0.3
 Net lending/borrowing (including TSO)                      -1.8     -2.3   -1.9    -1.4      -2.7     -2.7    -2.8    -2.9
"    Net lending/borrowing (budget, excluding TSO)           -1.8     -2.3   -2.3    -1.4      -2.7     -2.7    -2.8    -2.9"
    Balance of Targeted Subsidy Organization                 0.0      0.0    0.4     0.0       0.0      0.0     0.0     0.0
 Financial assets                                           -2.0     -1.4   -0.8    28.0      -0.4     -0.1     0.0     0.0
 Financial liabilities                                      -0.2      0.9    1.1    29.4       2.3      2.7     2.8     2.9
 Memorandum items:                                                           (Percent of non-oil GDP)
   Tax revenue                                               7.9      9.1    8.7      9.0      9.0      9.0     9.0     8.9
   Income tax                                                4.0      4.2    3.9      3.9      3.9      3.9     3.9     3.9
   VAT                                                       2.0      2.0    2.1      2.1      2.1      2.1     2.1     2.1
   Non-oil net lending/borrowing                            -8.6     -9.2   -8.7   -12.9     -15.3    -15.0   -14.9   -14.8
      Change in nonoil net lending (+ = tightening)         -0.8     -0.6    0.5     -4.2     -2.3      0.3     0.1     0.1
      Non-oil primary balance                               -8.5     -9.1   -8.6   -12.5      -9.3     -9.0    -8.6    -8.5
 Sources: Iranian authorities; and Fund staff estimates and projections.
 1/ The Iranian fiscal year ends March 20.
 2/ The statement of government operations covers budgetary central government and
 balance of the Targeted Subsidy Organization but excludes the NDFI.
""
""
""
""
32      INTERNATIONAL MONETARY FUND
