V1
                                                                                                                                                     THE GAMBIA
""
""
""
"         Table 3. The Gambia: Statement of Central Government Operations, 2016–24"
                                       (Percent GDP)
                                                               2016     2017      2018               2019          2020    2021    2022      2023    2024
""
                                                                                                          Auth.
                                                              Act.        Prel.       Est.     Proj.    Budget                 Projections
""
Revenue                                                         13.4       19.5      15.5      20.8         28.9    20.0    20.7    20.7      20.4    20.5
Domestic Revenues                                               12.3       11.7      12.1      13.1         13.6    13.3    13.5    13.7      14.0    14.4
 Taxes                                                          11.1       10.2      10.4      11.2         11.9    11.4    11.6    11.8      12.2    12.5
"  Taxes on income, profits, and capital gains                    2.9        2.7       2.6       2.8          2.7     2.8     3.0     3.1       3.2     3.3"
  Domestic taxes on goods and services                           4.8        4.6       5.1       5.5          5.8     5.4     5.4     5.4       5.5     5.6
  Taxes on international trade and transactions                  3.3        2.9       2.7       2.9          3.2     3.1     3.2     3.3       3.4     3.6
  Other taxes                                                    0.1        0.0       0.0       0.0          0.1     0.0     0.0     0.0       0.0     0.0
 Non-tax                                                         1.1        1.5       1.7       1.9          1.7     1.9     1.9     1.9       1.9     1.9
 Grants                                                          1.1        7.8       3.4       7.7         15.3     6.7     7.2     7.0       6.4     6.1
  Budget support                                                 0.0        3.7       1.0       3.5          3.9     1.5     1.4     1.1       0.9     0.9
  Project support                                                1.1        4.0       2.4       4.2         11.4     5.2     5.8     5.9       5.5     5.2
""
Expenditures                                                    19.9       24.5      21.8      23.9         33.0    24.1    24.0    23.4      22.6    22.3
 Expenses                                                       15.6       13.9      13.8      15.1         15.1    14.4    13.9    13.3      12.9    12.9
   Compensation of employees                                     3.3        3.2       3.9       4.8          4.8     4.5     4.5     4.5       4.5     4.5
   Use of goods and services                                     4.3        3.4       3.9       3.8          4.3     3.7     3.7     3.8       3.8     4.0
   Interest                                                      5.2        4.9       3.2       3.2          3.1     3.3     2.9     2.4       2.2     2.0
     External                                                    0.7        0.3       0.5       0.5          0.5     0.5     0.5     0.5       0.5     0.5
     Domestic                                                    4.4        4.5       2.6       2.7          2.6     2.8     2.4     1.9       1.7     1.6
   Subsidies and transfers                                       2.8        2.4       2.7       3.3          2.9     2.9     2.7     2.6       2.4     2.3
     of which: Subsidies to SOEs                                  …          …        0.5       1.0           …       …       …       …         …       ….
        NAWEC                                                     …          …        0.3       0.6           …       …       …       …         …       ….
        NFSPMC                                                    …          …        0.2       0.4           …       …       …       …         …       ….
 Net acquisition of nonfinancial assets                          4.3       10.6       8.0       8.9         17.9     9.6    10.1    10.1       9.7     9.4
   Acquisitions of nonfinancial assets                           4.3       10.6       8.0       8.9         17.9     9.6    10.1    10.1       9.7     9.4
     Foreign financed1                                           3.1        9.5       7.1       7.9         16.6     8.5     8.8     8.7       8.2     7.8
     Gambia local fund                                           1.2        1.1       0.9       1.0          1.2     1.1     1.3     1.4       1.5     1.7
""
Net lending (+)/borrowing (–)                                   -6.5       -5.0      -6.3       -3.2        -4.1    -4.1    -3.2    -2.7      -2.2    -1.8
""
Net acquisition of financial assets                              0.0        0.0       0.1       0.0          0.0     0.0     0.0     0.0       0.0     0.0
""
Net incurrence of liabilities                                    9.1        4.8       5.6        3.2         4.1     1.0     1.1     0.8       0.5     0.3
 Domestic                                                        8.4       -1.0       3.0        1.6         0.5    -0.2     0.0     0.0       0.0     0.0
     Net borrowing                                               7.6       -0.7       3.4        2.0         0.7     0.1     0.0     0.0       0.0     0.0
      Bank                                                       6.2        0.1       2.5        1.5         0.3    -0.4    -0.4    -0.3      -0.3    -0.3
      Nonbank                                                    1.4       -0.5       0.8        0.5         0.5     0.4     0.4     0.3       0.3     0.3
     Change in arrears                                           0.8       -0.3      -0.3       -0.4        -0.5    -0.3     0.0     0.0       0.0     0.0
     Capital revenues                                             …          …         …          …          0.3      …       …       …         …       …
 Foreign                                                         0.7        5.8       2.6        1.6         3.5     1.3     1.0     0.7       0.4     0.3
  Loans                                                          0.7        5.8       2.6        1.6         3.5     1.3     1.0     0.7       0.4     0.3
     Borrowing                                                   2.0        7.5       4.7        3.7         5.2     3.3     3.0     2.9       2.7     2.6
      o/w budget support                                         0.0        2.1       0.0        0.0         0.0     0.0     0.0     0.0       0.0     0.0
      o/w project support                                        2.0        5.4       4.7        3.7         5.2     3.3     3.0     2.9       2.7     2.6
     Amortization                                               -1.2       -1.7      -2.2       -2.1        -1.7    -2.1    -2.0    -2.1      -2.3    -2.2
""
""
Statistical discrepancy/Financing Gap2                          -2.6        0.2       0.7       0.0          0.0     3.1     2.2     1.9       1.7     1.5
       of which : Scope for possible debt relief                  …          …         …         …            …      2.0     1.8     1.8       1.7     1.5
""
Memorandum items:
 Primary balance                                                -1.4       -0.2      -3.1       0.0         -1.0    -0.8    -0.3    -0.3       0.0     0.2
 Primary balance (ex. budget support grants)                    -1.4       -3.9      -4.2      -3.5         -4.9    -2.3    -1.8    -1.4      -0.9    -0.7
 Total debt                                                     82.3       87.9      87.0      81.8         80.2    75.9    70.6    65.8      61.7    57.8
 Domestic public debt                                           41.3       40.9      39.3      37.2         35.9    33.7    30.7    28.1      25.7    23.5
    Interest payments as a percent of govt revenue              42.0       41.7      26.1      24.3         22.7    24.9    21.4    17.6      15.7    14.2
""
Sources: The Gambian authorities; and Fund staff estimates and projections.
1
"    Derives as the sum of project grants, external project loans, and changes in project accounts."
2
"    The difference between financing and the overall balance of revenue and expenditures. In 2020 and beyond, is the remaining financing gap."
""
""
""
""
                                                                                                            INTERNATIONAL MONETARY FUND                      27
