V1
SAUDI ARABIA
"Table 3. Saudi Arabia: Fiscal Operations of the Budgetary Central Government and AGls,"
2015-20
(Percent of GDP)
2015            2016            2017            2016            2019            2020
|. Budgetary central government
Revenue                                                                                            25.0             215              24.1              30.7              31.2              297
Expenditure                                                                                           40.6              36.7               33.3               36.6              35.6              41.0
Of which: Non-interest expenditure                             AQ?           36.5           33.0           36.1           34.9           40.0
"Overall balance                                  -15.6     -17.2      -9.2      -3.9      -4,5     -11.3"
Primary balance                                                                  -17.9          -20.2          -11.1             -6.5             -A5          -13.2
ll. Autonomous Government Institutions (AGIs)
Public Pension Agency (PPA)
Revenue                                                                                               1.3                3.0                3.1                 2.0                3.2                3.4
Expenditure                                                                      2.3             2./             2.6             2             2.6             3.2
Overall balance                                                                -0.9             0.2             0.5            -0.8             0.6             0.2
General Organization for Social Insurance (GOS!)
Revenue                                                                            2.0             2.1             24             2.2             2.3             2.f
Expenditure                                                                                        0.8                0.9                1.0                0.9                1.0                1.3
Overall balance                                    12       1.2       14       13       13       14
Il. Total (=1+11)
Overall balance                                                         -15.5         -15.8           -7.A           -5.3           -2.6           -9.7
Memorandum items: net assets(+)/debt (-)
1. Central government debt                                                   -3.5          -13.1           -l7.2           -19.0          -22.6          -32.5
"i, Autonomous government institutions’                        37.6           39.4           39.7           33.6           36.0           449"
Of which: PPA                                                                              19.4              19.4              16.2              13.6              147              V7.4
Of which: GOSI                                                                             16.2              20.1               214              19.59              23.4              27.6
iv. Total (=1+ t+)                                                                 31.6            26.4            22.5            14.6            15.2            12.4
v. Central government deposits at SAMA                       Al?           30.2           24.6           19.1            176           16.6
vi. Net assets (iv + v)                                           73.5         36.6        ATS         33.6        33.0        29.0
Sources: Ministry of Finance; PPA; GOSI; and IMF staff estimates.
""" Does not account for future pension liabilities."
INTERNATIONAL MONETARY FUND 43
