V1
                                                                                                                                                                                    SOUTH AFRICA
""
""
""
"         Table 2. South Africa: Consolidated Government Operations, FY 2014/15–2022/231"
""
                                                                2014/15 2015/16 2016/17 2017/18 2018/19                    2019/20               2020/21              2021/22              2022/23
                                                                                                                        Auth.    Staff        Auth.    Staff       Auth.    Staff       Auth.    Staff
                                                                                                        (In billions of rand)
""
"Total revenue and grants                                          1,080.0    1,171.9   1,267.7    1,333.9    1,432.3    1,518.7     1,506.6   1,613.6   1,599.9    1,722.6   1,703.4    1,833.6    1,808.4"
" Tax revenue                                                        934.6    1,019.0   1,104.6    1,160.5    1,239.4    1,319.4     1,306.9   1,397.5   1,386.3    1,493.5   1,476.5    1,593.5    1,568.1"
 Non-tax revenue 2/                                                  15.6       13.9      15.0       16.3       22.2       20.6        20.6      23.5      23.5       25.1      25.1       26.7       26.7
" Provinces, social security, and other entities                     129.9      139.1     148.0      157.1      170.6      178.8       179.2     192.6     190.1      204.0     201.8      213.3      213.7"
""
"Total expenditure                                                 1,235.0    1,366.3   1,443.0    1,543.8    1,652.8    1,844.1     1,845.1   1,978.7   1,969.8    2,097.5   2,095.9    2,214.9    2,221.2"
" Current expenditure                                              1,083.3    1,179.5   1,285.7    1,375.6    1,485.2    1,612.4     1,613.5   1,730.6   1,721.6    1,857.3   1,838.7    1,976.1    1,955.4"
  Wages and salaries                                                437.4      473.2     511.6      547.4      584.7      630.7       630.7     675.2     663.6      717.6     697.0      758.5      733.2
  Other goods and services                                          186.0      197.9     218.9      227.5      233.4      252.2       252.2     264.3     264.3      284.9     284.9      297.3      297.3
  Interest                                                          121.4      138.5     154.4      169.8      188.5      211.0       212.0     241.4     244.1      273.1     275.0      308.0      312.7
  Transfers                                                         338.6      369.9     400.8      431.0      478.6      518.6       518.6     549.6     549.6      581.8     581.8      612.2      612.2
 Capital expenditure                                                145.5      155.7     148.8      147.8      151.7      164.5       164.5     174.3     174.3      189.6     189.6      202.8      202.8
 Payment for financial assets                                         6.2       31.1       8.5       20.3       15.9       67.1        67.1      67.9      67.9       44.6      61.6       30.0       57.0
 Contingency                                                          0.0        0.0       0.0        0.0        0.0        0.0         0.0       6.0       6.0        6.0       6.0        6.0        6.0
""
Primary balance                                                     -33.6      -55.9     -20.9      -40.1      -32.0    -114.4      -126.4    -123.7     -125.8    -101.9     -117.5      -73.3     -100.2
Overall balance                                                    -155.0     -194.4    -175.3     -209.9     -220.6    -325.3      -338.4    -365.1     -369.9    -374.9     -392.5     -381.3     -412.8
Financing                                                           155.0      194.4     175.3      209.9      220.6      325.3      338.4     365.1      369.9      374.9     392.5      381.3      412.8
   Domestic Debt (net)                                              164.2      159.3     159.8      206.2      184.8      311.2      324.3     324.0      328.8      340.3     357.9      348.7      380.2
   External Debt (net)                                                7.3       -3.9      35.4       29.8       23.3       25.7       25.7      32.8       32.8       42.0      42.0       38.7       38.7
   Transactions in Assets and Liabilities                            15.3       43.4       18.2      19.6       13.1       19.1       19.1        4.9        4.9       7.0        7.0        7.6           7.6
   Use of cash and other balances                                   -31.8       -4.4      -39.6     -48.7        -0.7     -30.7       -30.7       3.4        3.4     -14.4      -14.4     -13.7      -13.7
Structural primary balance                                          -30.8      -41.6       -6.5     -14.3         1.2           …     -39.1        …      -38.0          …      -44.6         …      -40.3
""
"Gross government debt                                               1,799      2,019     2,233      2,490      2,788     3,168       3,201     3,591      3,640     4,036      4,113      4,478      4,606"
                                                                                                         (In percent of GDP)
""
Total revenue and grants                                             27.9       28.4       28.7      28.4       29.1       29.1       29.1      29.2       29.2       29.2       29.2      29.2       29.2
 Tax revenue                                                         24.2       24.7       25.0      24.7       25.2       25.3       25.3      25.3       25.3       25.3       25.3      25.4       25.3
 Non-tax revenue                                                      0.4        0.3        0.3       0.3        0.5        0.4        0.4       0.4        0.4        0.4        0.4       0.4        0.4
" Provinces, social security, and other entities                       3.4        3.4        3.3       3.3        3.5        3.4        3.5       3.5        3.5        3.5        3.5       3.4        3.4"
""
Total expenditure                                                    31.9       33.1       32.6      32.8       33.6       35.4       35.7      35.8       35.9       35.6       36.0      35.3       35.8
 Current expenditure                                                 28.0       28.6       29.1      29.3       30.2       30.9       31.2      31.3       31.4       31.5       31.6      31.5       31.6
  Wages and salaries                                                 11.3       11.5       11.6      11.6       11.9       12.1       12.2      12.2       12.1       12.2       12.0      12.1       11.8
  Other goods and services                                            4.8        4.8        5.0       4.8        4.7        4.8        4.9       4.8        4.8        4.8        4.9       4.7        4.8
  Interest                                                            3.1        3.4        3.5       3.6        3.8        4.0        4.1       4.4        4.4        4.6        4.7       4.9        5.0
