V1
ARGENTINA
""
""
""
                                         Table 4. Argentina: Federal Government Operations
                                                                                        1st rev      1st rev                                          Proj.
                                                                   2016         2017    2018         2019             2018        2019         2020           2021      2022      2023
                                                                                                               (Billions of Argentine pesos)
"Revenues                                                        2,180.9      2,754.8     3,667.3      5,060.8       3,746.1      5,216.5       6,225.3        7,013.5   7,608.5   8,142.7"
"   Tax revenues                                                 1,528.3      1,874.4     2,527.5      3,579.1       2,592.3      3,671.6       4,400.5        4,938.9   5,309.1   5,611.6"
"   Social security contributions                                  558.1        727.3       915.5      1,139.5         924.9      1,175.3       1,417.0        1,640.1   1,851.7   2,048.8"
   Nontax revenues                                                 94.6        153.2       224.3        342.2         228.9        369.7         407.8          434.5     447.7     482.2
"Primary expenditures                                            2,524.5      3,159.0     4,034.0      5,054.7       4,123.6      5,215.0       6,002.6        6,741.2   7,285.5   7,746.5"
"   Federal expenditures                                         1,835.0      2,232.8     2,835.6      3,517.6       2,851.7      3,588.7       4,045.4        4,479.2   4,823.4   5,175.4"
      Wages 1/                                                    316.8        401.0       498.2        646.9         504.1        668.3         754.5          830.5     923.1     972.0
      Goods and services 1/                                        91.8        121.3       125.8        150.6         127.0        154.3         166.9          184.0     196.9     207.4
"      Pensions                                                    734.7      1,022.5     1,310.4      1,763.1       1,310.4      1,780.3       2,210.8        2,452.5   2,616.6   2,783.6"
      Current transfers to private sector                         511.0        507.1       686.4        779.5         687.0        769.6         668.6          717.7     745.0     791.7
          Social assistance                                       219.9        282.0       377.9        481.1         379.8        482.5         583.8          638.7     684.8     727.5
          Energy 2/                                               209.2        125.7       202.7        210.9         201.4        200.4          51.2           61.1      41.5      45.1
          Transport                                                80.2         90.5       103.1         84.0         103.0         83.0          33.6           18.0      18.7      19.2
          Other                                                     1.7          9.6         2.7          3.6           2.8          3.7           0.0            0.0       0.0       0.0
      Capital spending                                            117.8        121.1       143.9        132.8         150.1        166.2         200.6          244.3     286.5     360.5
      Other current primary spending                               62.8         59.7        70.9         44.7          73.1         50.0          43.9           50.2      55.3      60.1
"   Transfers to provinces                                         689.5        926.2     1,198.4      1,537.2       1,271.8      1,626.2       1,957.2        2,262.0   2,462.1   2,571.1"
"      Automatic                                                   551.6        756.8     1,050.8      1,412.1       1,120.0      1,496.5       1,869.3        2,161.7   2,351.5   2,450.9"
      Discretionary                                               137.8        169.5       147.5        125.1         151.8        129.7          87.9          100.3     110.6     120.3
          Capital                                                  64.3         86.8        52.1         44.7          53.4         46.3          43.9           50.2      55.3      60.1
