V1
                                                                             Table 8. Argentina: Federal Government Gross Financing Needs and Sources (US$mn)
""
                                                                                                                        2018                                                                                                                 2019
                                                                                                                                                                  2018 Sep-Dec                                                                                                              20202/            20212/
                                                                                       September           October             November          December                                     January           February         March              Q2           Q3           Q4
                                                                                          Actual           Actual               Actual                                        1st Rev
"                                  Primary Balance                                                  728              485                  829          3,487        5,529           5,707             (610)                 48            325         (1,008)          (740)        1,698       (5,560)           (6,482)"
                                  NCG payments                                                     714
                                  Plan Gas Payments                                                -                -                    -             -             -               -                600              -                 -                -            -            -                600               300
"                                  Interest                                                     1,109             1,776               1,368            2,671        6,925           6,694            1,499             477           1,412                6,176        2,715        5,305       22,842            23,876"
"                                    FX                                                             383           1,038               1,000            1,612        4,033           4,055            1,014             228                483             3,613        1,314        2,966       11,911            11,669"
"                                         Non-Financial Public Sector                               102              109                  167           163           541             519                  56               68            185              308           14          302         1,820             1,865"
"                                         Financial Public Sector                                       4                26                   9         629           668             666                  60               11                3            656           73          656         1,650             1,611"
"                                         IFI                                                       117                  52               187               95        451             452                  84          146                114              564          336          314         1,396             1,278"
"                                         Private                                                   160              851                  636           726         2,373           2,418              813                  3             180             2,084         890         1,693        7,046             6,915"
"                                    AR$                                                            727              738                  368          1,059        2,891           2,639              485             250                929             2,563        1,401        2,340       10,931            12,207"
"                                         Non-Financial Public Sector                               336              108                      6         510           959             874              287             238                459             1,123         768         1,023        3,714             1,964"
"                                         Financial Public Sector                                   115                  29               102           196           441             386                  55               0             145              208          204          200         3,647             4,410"
"                                         Private                                                   276              601                  261           352         1,491           1,378              143                  11            324             1,232         430         1,116        3,571             5,833"
"                                  Amortizations                                                5,766             3,820             10,519            12,340       32,445          32,034            5,137            6,806          8,618            21,648           7,579        5,844       34,640            55,267"
"                                    FX                                                         2,343             2,228               6,912            4,384       15,868          15,926            2,193            2,972          5,147            11,332           1,886        1,487       12,839            29,560"
"                                         Non-Financial Public Sector                               194              108              3,090                 54      3,447           3,471              321             640           2,268                 316          214              0            307               271"
"                                         Financial Public Sector                                   194              137                  344               88        762             747                  81          321                25               121           46          -                    11       9,637"
"                                         IFI                                                       263              172                  149           191           775             777              181                  82            268             2,099         516          457         2,988             6,616"
"                                         Private LETES                                         1,680             1,694               2,503             958         6,836           6,869            1,608            1,916          1,283                4,079         457          970         7,314             7,314"
"                                         Private Other                                             12               116                  826          3,093        4,048           4,062                   1               14       1,303                4,718         653           59         2,220             5,722"
"                                    AR$                                                        3,422             1,592               3,607            7,956       16,577          16,108            2,945            3,835          3,471            10,316           5,693        4,357       21,800            25,707"
"                                         Non-Financial Public Sector                               297                  13               20           2,303        2,633           2,821            1,186             134                320             1,881        1,636             3       2,856             3,377"
