V1
                                                                                                                     ISLAMIC REPUBLIC OF MAURITANIA
""
""
""
"       Table 3a. Mauritania: Central Government Operations, 2016–25"
"                 (In billions of MRU, unless otherwise indicated)"
                                                          2016     2017    2018     2019           2020              2021     2022    2023     2024    2025
                                                                                     Est. 4th Rev. RCF      Proj.                     Proj.
""
Revenues and grants                                         46.1    49.3    56.8     57.5   58.2    52.1     49.5     55.7     61.2    67.4     73.6    78.6
 Revenues                                                   43.0    47.6    55.6     53.1   56.4    50.7     48.1     54.7     60.0    66.2     72.4    77.4
   Nonextractive                                            40.5    43.3    47.7     48.5   52.1    46.8     44.4     50.7     54.9    59.2     63.9    68.7
    Tax                                                     27.2    30.5    35.2     35.4   40.5    33.2     30.3     37.2     40.5    43.7     47.6    51.0
    Nontax                                                  13.3    12.8    12.5     13.1   11.7    13.6     14.0     13.5     14.4    15.5     16.3    17.7
   Extractive                                                2.5     4.3     7.9      4.6    4.3     3.9      3.7      4.1      5.1     7.0      8.5     8.7
      Oil and gas                                            1.1     1.9     6.3      1.8    1.0     1.0      1.0      1.0      1.8     3.3      4.6     4.5
        of which gas                                          …       …       …       0.0    0.0     0.0      0.0      0.0      0.6     2.1      3.3     3.1
      Mining                                                 1.4     2.5     1.6      2.8    3.3     2.9      2.7      3.1      3.3     3.7      3.9     4.2
 Grants                                                      3.1     1.7     1.2      4.4    1.7     1.4      1.4      1.0      1.1     1.2      1.2     1.2
   Of which: Projects                                        0.6     0.6     1.0      1.8    0.4     0.0      0.0      0.0      0.0     0.0      0.0     0.0
""
Expenditure and net lending                                 47.0    49.4    50.6     51.6   57.4    61.7     60.2     58.1     61.7    67.8     74.0    78.8
 Current                                                    27.6    30.4    32.4     32.4   36.8    43.1     40.0     36.2     37.8    40.5     43.8    46.0
   Compensation of employees                                12.3    13.0    14.0     15.4   16.7    16.7     16.7     17.9     19.2    20.6     22.3    23.9
   Goods and services                                        5.9     6.4     6.4      6.6    8.1     7.5      7.2      7.2      6.9     7.4      8.2     8.7
   Subsidies and transfers 1/                                5.6     5.5     6.0      4.8    6.2    13.4     10.2      5.6      5.7     6.1      6.6     6.6
"     Of which: Emergency program, incl. COVID-19             1.6     1.6     2.2      2.0    2.1     9.9     10.0      1.4      1.4     1.5      1.7     1.7"
                Energy subsidies                             0.2     0.4     0.8      0.8    0.8     0.9      0.0      1.1      1.1     1.2      1.3     1.3
                Arrears repayments                           0.4     0.4     0.0      0.0    0.0     0.0      0.0      0.0      0.0     0.0      0.0     0.0
   Interest                                                  1.7     2.2     3.1      2.6    3.1     3.3      3.6      3.4      3.7     4.0      4.3     4.3
     External (before DSSI)                                  1.3     1.8     2.6      2.2    2.2     2.3      2.3      2.1      2.3     2.4      2.6     2.4
     Domestic                                                0.4     0.5     0.4      0.5    0.9     1.0      1.3      1.3      1.4     1.6      1.7     1.9
   Special accounts                                          0.9     1.5     1.1      1.4    0.7     0.7      0.7      0.7      0.7     0.7      0.7     0.7
   Common reserves                                           1.1     1.1     1.2      1.4    2.0     1.5      1.5      1.4      1.5     1.6      1.8     1.9
   Others                                                    0.1     0.6     0.6      0.2    0.0     0.0      0.0      0.0      0.0     0.0      0.0     0.0
 Capital                                                    19.4    18.9    18.1     19.7   20.7    18.6     20.3     21.9     23.9    27.2     30.2    32.8
   Foreign-financed                                          4.5     3.8     2.8      4.5    4.2     4.2      4.2      4.5      5.3     7.2      8.1     8.8
"   Domestically financed, incl. COVID-19                    14.9    15.1    15.3     15.2   16.5    14.4     16.1     17.4     18.6    20.0     22.0    24.0"
 Net lending                                                 0.0     0.2     0.2     -0.4    0.0     0.0      0.0      0.0      0.0     0.0      0.0     0.0
""
Primary balance (excl. grants)                              -2.2     0.4     8.0      4.1     2.1    -7.7     -8.5      0.1     2.0      2.4     2.7     2.9
"Primary balance (excl. grants, prog. def.) 2/                 …       …      6.5      3.9     2.1    -7.7     -8.2       …       …        …       …       …"
Primary balance                                              0.9     2.2     9.3      8.5     3.8    -6.3     -7.1      1.1     3.2      3.6     3.9     4.1
Overal balance (excl. grants)                               -4.0    -1.8     5.0      1.5    -1.0   -11.0    -12.2     -3.4    -1.7     -1.5    -1.6    -1.4
Overall balance                                             -0.9    -0.1     6.2      5.9     0.7    -9.6    -10.8     -2.3    -0.5     -0.4    -0.4    -0.2
""
