V1
ISLAMIC REPUBLIC OF MAURITANIA
""
""
""
"                              Table 3b. Mauritania: Central Government Operations, 2017-26"
"                                (In percent of nonextractive GDP, unless otherwise indicated)"
                                                         2017    2018    2019       2020                2021           2022   2023   2024   2025   2026
                                                                          Est. 5th Rev. Proj. 5th Rev. Budget Proj.                  Proj.
 Revenues and grants                                      22.8    25.0     24.4    20.7   27.2   22.0     25.6  24.5     24.5   24.6   24.8   24.6   24.6
  Revenues                                                22.0    24.5     22.5    20.1   24.4   21.6     24.0  23.9     24.0   24.2   24.4   24.3   24.2
    Nonextractive                                         20.0    21.0     20.5    18.6   21.6   20.0     22.0  20.7     20.8   20.7   20.8   20.9   21.0
      Tax                                                 14.1    15.5     15.0    12.7   14.3   14.7     16.6  15.1     15.3   15.4   15.5   15.6   15.7
      Nontax                                               5.9     5.5      5.6     5.9    7.4     5.3     5.4   5.6      5.5    5.4    5.3    5.3    5.3
    Extractive                                             2.0     3.5      1.9     1.5    2.8     1.6     2.0   3.2      3.2    3.5    3.6    3.3    3.2
      Oil and gas                                          0.9     2.8      0.8     0.4    0.2     0.4     0.0   0.4      0.7    1.3    1.5    1.4    1.4
          of which gas                                      …       …       0.0     0.0    0.0     0.0     0.0   0.0      0.2    0.8    1.1    1.0    1.0
      Mining                                               1.1     0.7      1.2     1.1    2.6     1.2     2.0   2.8      2.6    2.2    2.0    1.9    1.9
  Grants 3/                                                0.8     0.5      1.9     0.6    2.7     0.4     1.6   0.6      0.5    0.4    0.4    0.3    0.3
    Of which: Projects                                     0.3     0.4      0.8     0.0    1.1     0.0     0.0   0.0      0.0    0.0    0.0    0.0    0.0
               Exceptional support                          …       …         …      …     1.6      …        …      ……     …      …      …      …      …
""
 Expenditure and net lending                              22.9    22.3    21.9    25.2   24.4    23.0    28.5    28.2   25.1    25.3   25.3   25.1   24.9
   Current                                                14.0    14.3    13.7    16.7   15.8    14.3    18.5    18.2   16.5    16.6   16.5   16.4   16.3
    Compensation of employees                              6.0     6.2     6.5     7.0    7.2     7.1     7.7     7.7    8.0     8.1    8.1    8.1    8.1
    Goods and services                                     3.0     2.8     2.8     3.0    3.2     2.8     3.7     3.6    3.4     3.4    3.5    3.4    3.4
    Subsidies and transfers 1/                             2.5     2.6     2.0     4.3    2.7     2.2     4.2     3.9    3.0     2.9    2.8    2.7    2.7
"      Of which: Emergency program, incl. COVID-19          0.7     0.9     0.8     4.2    1.7     0.6      …      2.6    1.8     1.8    1.7    1.7    1.8"
                   Energy subsidies                        0.2     0.3     0.3     0.0    0.0     0.4      …      0.3    0.3     0.3    0.3    0.3    0.3
                   Arrears repayments                      0.2     0.0     0.0     0.0    0.0     0.0      …      0.0    0.0     0.0    0.0    0.0    0.0
    Interest                                               1.0     1.3     1.1     1.5    1.3     1.4     1.2     1.3    1.3     1.3    1.3    1.4    1.4
      External (before DSSI)                               0.8     1.2     0.9     1.0    1.1     0.8     0.8     0.8    0.8     0.8    0.7    0.7    0.6
      Domestic                                             0.2     0.2     0.2     0.6    0.1     0.5     0.4     0.5    0.5     0.5    0.6    0.7    0.7
    Special accounts                                       0.7     0.5     0.6     0.3    0.4     0.3     0.8     0.9    0.3     0.2    0.2    0.2    0.2
    Common reserves                                        0.5     0.5     0.6     0.6    1.1     0.5     0.9     0.8    0.7     0.7    0.7    0.6    0.5
    Others                                                 0.3     0.3     0.1     0.0    0.0     0.0     0.0     0.0    0.0     0.0    0.0    0.0    0.0
   Capital                                                 8.7     8.0     8.3     8.5    8.7     8.7    10.0    10.0    8.6     8.7    8.8    8.7    8.6
    Foreign-financed                                       1.7     1.2     1.9     1.8    2.3     1.8     1.8     1.8    1.8     2.2    2.2    2.2    2.2
"    Domestically financed, incl. COVID-19                  7.0     6.7     6.4     6.7    6.5     6.9     8.1     8.1    6.8     6.5    6.6    6.5    6.4"
   Net lending                                             0.1     0.1    -0.2     0.0   -0.1     0.0     0.0     0.0    0.0     0.0    0.0    0.0    0.0
""
 Primary balance (excl. grants)                            0.2     3.5     1.7    -3.6    1.3     0.0     -3.3   -3.0    0.2     0.2    0.4    0.5    0.7
" Primary balance (excl. grants, prog. def.) 2/              …      2.9     1.6    -3.5    0.8      …        …      …       …      …      …      …      …"
 Primary balance                                           1.0     4.1     3.6    -3.0    4.0     0.4     -1.7   -2.4     0.6    0.6    0.8    0.9    1.0
 Overal balance (excl. grants)                            -0.8     2.2     0.6    -5.1    0.0    -1.3     -4.5   -4.3    -1.1   -1.1   -0.9   -0.8   -0.6
 Overall balance                                           0.0     2.7     2.5    -4.5    2.8    -0.9     -2.9   -3.7    -0.7   -0.7   -0.6   -0.5   -0.3
""
 Financing                                                 0.0    -2.7     -2.5    4.5   -2.8     0.9       …     3.7     0.7    0.7    0.6    0.5    0.3
   Domestic                                                1.0     0.7     -2.2   -0.6   -5.9     1.1       …     3.3     2.4    2.2    2.1    1.4    1.0
     Banking system                                        0.6     0.0     -1.8    0.0   -4.1     0.8       …     3.2     1.8    1.3    1.0    0.7    0.5
      Treasury account                                     1.0     0.4     -2.3   -4.8   -8.6     1.3       …     3.1     1.1    0.4    0.8    0.8    0.7
      Central bank                                         0.0     0.0      0.0    4.8    4.9    -1.0       …     0.0     0.0    0.0   -0.8   -0.8   -0.7
      Commercial banks                                    -0.4    -0.1      0.5    0.0   -0.4     0.4       …     0.1     0.6    0.9    1.0    0.7    0.5
     Nonbanks                                              0.6     0.2      0.0    0.0   -0.2     0.4       …     0.1     0.6    0.9    1.0    0.7    0.5
     Domestic arrears                                      0.1     0.1      0.6   -0.6   -0.6     0.0       …     0.0     0.0    0.0    0.0    0.0    0.0
     Other deposits accounts                              -0.3     0.5     -1.0    0.0   -1.1     0.0       …     0.0     0.0    0.0    0.0    0.0    0.0
