V1
BURKINA FASO
""
""
""
""
"       Table 5a. Burkina Faso: Consolidated Operations of the Central Government, 2018–25"
                                          (CFAF billions)
                                                 2018                2019                       2020                2021         2022         2023         2024         2025
""
                                                  Act.        3rd Rev.      Prel.        3rd Rev.      Proj.        Proj.        Proj.        Proj.        Proj.        Proj.
""
""
""
" Total revenue and grants                          1,746         2,054       1,932          2,217       1,886        2,180        2,378        2,592        2,826        3,083"
"     Total revenue                                 1,531         1,783       1,798          1,888       1,683        1,930        2,114        2,311        2,528        2,766"
"       Tax revenue                                 1,354         1,481       1,475          1,651       1,471        1,720        1,888        2,077        2,285        2,514"
         Of which: Gold Mining CIT                       49         51              53         64              59           71           85           99      114          119
       Nontax revenue                                177           302         323            237         212          211          226          234          243          253
         Of which: Royalties from gold                   62         46              37         74              67           71           75           79           83           86
     Grants                                          215           270         134            329         203          250          264          280          298          316
      Project                                        122           171              46        253         127          167          175          184          194          204
      Program                                            93         99              88         77              77           82           89           96      104          112
""
""
" Expenditure and net lending 1/                    2,128         2,311       2,184          2,496       2,370        2,545        2,719        2,961        3,224        3,514"
"     Current expenditure                           1,383         1,630       1,651          1,672       1,832        1,895        1,973        2,076        2,234        2,407"
"      Wages and salaries                             705           846         844            898         898          950          990        1,025        1,108        1,198"
      Goods and services                             196           187         198            197         237          245          253          266          280          297
      Interest payments                                  97        117         117            127         127          149          169          185          199          214
        Domestic                                         74         73              96         98              98      116          135          146          155          164
        External                                         23         44              22         29              29           33           34           39           44           51
      Current transfers                              385           480         492            450         570          551          561          601          647          697
"     Investment expenditure                          754           690         557            823         537          649          747          884          990        1,107"
       Domestically financed                         529           388         420            446         286          358          430          540          616          699
       Externally financed                           225           302         136            377         251          292          316          344          374          408
     Net lending                                     -10            -9          -24             0               0            0           0            0            0            0
""
""
 Overall balance 1/                                 -382          -258        -252           -278        -483         -364         -341         -369         -399         -431
     Cash basis adjustment                           -97             0          -46             0               0            0           0            0            0            0
""
""
 Overall balance (cash basis)                       -478          -258        -298           -278        -483         -364         -341         -369         -399         -431
""
""
 Financing                                           470           258         294            249         294          334          341          369          399          431
     Foreign financing                                   76         90              97         78              77           88      209          234          262          293
      Drawings                                       131           150         156            140         139          152          272          301          334          369
        Project loans                                103           131              91        124         124          125          141          160          180          204
        Program loans                                    28         20              65         15              15           27      131          142          153          166
      Amortization (excl. IMF)                       -55           -60          -59           -62          -62          -64          -63          -67          -71          -76
     Domestic financing                              395           167         197            171         216          246          132          135          136          138
      Bank financing                                 142           167              19        171         216          246          132          135          136          138
        Central bank                                     29         24              11        -17          -17          -16          -14          -10          -11          -16
          of which: IMF net financing                    3          24              28        -17          -17          -16          -14          -10          -11          -16
              ECF Disbursements (past)                   22         44              48          0              0            0            0            0            0            0
              Repayments                             -19           -19          -19           -17          -17          -16          -14          -10          -11          -16
        Commercial banks                             113           143              8         188         233          262          146          145          147          154
      Nonbank financing                              252             0         177              0               0            0            0            0            0            0
 Errors and Omissions                                     8                          4
""
""
 Financing gap                                            0          0               0         29         190               30            0            0            0            0
""
      Prospective ECF disbursements                      …           …              …          29              29           …            …            …            …            …
      Prospective RCF disbursement                       …           …              …           0              69           …            …            …            …            …
      World Bank additional financing                    …           …              …           0              12           …            …            …            …            …
      AfDB additional financing                          …           …              …           0               6           …            …            …            …            …
""
 Residual financing gap                                   0          0               0          0              73           30           …            …            …            …
""
 Sources: Burkinabè authorities; and IMF staff estimates and projections.
" 1/ Commitment (""engagement"") basis."
""
""
""
""
18     INTERNATIONAL MONETARY FUND
