V1
BURKINA FASO
"Table 5a. Burkina Faso: Consolidated Operations of the Central Government, 2018-25"
(CFAF billions)
(CFAF billions)
2018                              2019                                                     2020                                       2021              2022              2023              2024             2025
Act.                 3rd Rev.             Act.                 3rd Rev. CCRT/RCF          Proj.                  Proj.                Proj.                Proj.                Proj.                Proj.
"Total revenue and grants                                                         1,746                 2,054             1,882                 2,217             1,886            2,061            2,100.2             2,320            2,524            2,756            3,015"
"Total revenue                                                                                   1,531                  1,783             1,748                 1,888             1,683             1,648           1,805.4            2,006            2,190            2,401             2,636"
"Tax revenue                                                                                 1,354                 1,481             1,425                 1,651             1,471             1,411            1,584.6             1,764             1,948            2,153            2,378"
Of which: Gold Mining CIT                                                   49                       51                    53                       64                   59                   67                 79.3                   90                102                116                121
Nontax revenue                                                                                     177                       302                  323                       237                  212                  237                220.8                  242                  242                  248                  258
Of which: Royalties from gold                                    62                  46               37                  74               67               77              79.3               80               81               85               88
Grants                                                                                                     215                    270                134                    329                203                413               294.9                314                334                355                378
Project                                                                                                 122                     171                   46                    253                 127                209               221.1                 234                248                262                278
Program                                                                                                93                       99                   88                       77                   77                204                 73.8                   80                   86                   93                100
"Expenditure and net lending 1/                                        2,128                2,311            2,177                2,496            2,370            2,544          2,641.0            2,826            2,979            3,125            3,413"
"Current expenditure                                                     1,383             1,630          1,644             1,672          1,832          1,669         1,754.0          1,822          1,936          2,071          2,228"
"Wages and salaries                                                                   705                   846               844                   898               898               898              950.0               990            1,025            1,107            1,195"
Goods and services                                                                            196                      187                  198                      197                 237                  186                199.0                  195                  208                 218                 230
Interest payments                                                                                97                      117                 117                      127                 127                 114               173.6                 179                 211                 234                 253
Domestic                                                                                                   74                         73                     96                         98                     98                     93                 141.1                   150                  177                  195                  205
External                                                                                             23                       44                   22                       29                   29                   21                  32.5                   29                   34                   39                   47
Current transfers                                                                            385                    480                485                    450                570                471               431.4                457                492                512                551
"Investment expenditure                                                              754                   690               557                   823                537               884              897.7            1,004            1,044            1,054            1,185"
Domestically financed                                                                529                    388                420                    446                286                532               552.1                 629                637                613                705
Externally financed                                                                          225                     302                 136                     377                 251                  352               345.6                 375                 407                 441                 479
Net lending                                                                                           -10                        -9                 -24                          0                     0                 -10               -10.8                     0                     0                     0                     0
Overall balance 1/                                                                          -382                   -258              -295                  -278              -483              -483             -540.8              -506              -456              -369              -398
Cash basis adjustment                                               -97                  0              -3                  0               0               0              0.0               0               0               0               0
Overall balance (cash basis)                                                     -478                  -258              -298                  -278              -483              -483             -540.8              -506              -456              -369              -398
Financing                                                                                                470                    258                294                    278                410                483               540.8                506                456                369                398
Foreign financing                                                                                   76                       90                   97                        78                   77                 187               117.2                 199                 223                 249                279
Drawings                                                                                            131                     150                156                    140                139                263               218.5                267                296                326                361
Project loans                                                                               103                     131                   91                     124                124                143               124.5                 141                 159                179                201
Program loans                                                                            28                      20                  65                       15                   15                120                 94.0                127                137                148                159
Amortization (excl. IMF)                                                              -55                     -60                 -59                     -62                 -62                 -76             -101.3                 -68                 -72                 -78                 -81
Domestic financing                                                                          395                     167                 197                    201                 333                296              423.6                307                232                120                119
Bank financing                                                                                 142                     167                   19                    201                 314                296              423.6                307                232                120                119
Central bank                               29         24       11         13       81       94        5.4      -13      -10      -12      -17
of which: IMF net financing                   3         24       29         13       81       94      -15.5      -13      -10      -12      -17
Disbursements                                                                   22                       oe                   48                       29                   98                110                    0.0                     0                     0                     0                     0
Repayments                          -19        -19      -19        -17      -17      -16      -15.5      -13      -10      -12      -17
Commercial banks                                                                       113                      143                       8                      188                 233                 202               418.1                  320                 243                 132                 136
Nonbank financing                                                                       252                          0                177                          0                   19                     0                    0.0                     0                     0                     0                     0
Errors and Omissions                                                       8                                  4
Financing gap                                                                                            0                          0                     0                          0                   73                      0                    0.0                     0                     0                     0                     0
Sources: Burkinabe authorities; and IMF staff estimates and projections.
"1/ Commitment (""engagement"") basis."
INTERNATIONAL MONETARY FUND 25
