V1
JAPAN
""
""
""
"                             Table 4. Japan: General Government Operations, 2019-27"
                                                 (In percent of GDP)
                                                                               2019      2020     2021    2022    2023    2024     2025    2026    2027
                                                                                                   Est.                          Proj.
""
        Total revenue                                                             34.2     35.6    35.5    35.0    35.0    35.0     34.9    34.9     34.9
         Taxes 1/                                                                 18.8     19.8    19.8    19.5    19.4    19.4     19.4    19.4     19.4
         Social contributions                                                     13.3     13.7    13.7    13.4    13.4    13.4     13.4    13.4     13.4
           o/w Social security contributions                                      12.8     13.3    13.2    12.9    13.0    13.0     13.0    13.0     13.0
         Other revenue                                                             2.1      2.1     2.1     2.1     2.1     2.1      2.1     2.0      2.0
           o/w interest income                                                     1.0      1.0     1.0     1.0     1.1     1.0      1.0     1.0      1.0
""
        Total expenditure                                                         37.2     44.5    43.2    42.8    38.5    37.5     37.5    37.6     37.7
         Expense                                                                  36.5     43.6    42.3    42.0    37.9    37.1     37.1    37.2     37.4
           Consumption                                                            10.8     11.7    11.9    11.9    11.3    11.2     11.1    11.1     11.0
           Social benefits                                                        21.2     22.0    22.2    22.1    21.9    22.0     22.1    22.3     22.4
            o/w Social security benefits                                          18.9     19.6    19.8    19.7    19.6    19.7     19.8    20.0     20.2
           Interest                                                                1.7      1.7     1.6     1.4     1.2     1.2      1.2     1.3      1.4
           Other expense                                                           2.8      8.2     6.7     6.6     3.4     2.6      2.6     2.5      2.5
           (Memo) Compensation of employees 2/                                     5.2      5.3      …       …       …       …        …       …        …
           (Memo) Use of goods and services 2/                                     3.4      4.0      …       …       …       …        …       …        …
""
         Net investment in nonfinancial assets                                     0.8      0.9     0.8     0.8     0.6     0.4      0.4     0.4      0.3
          Gross investment in nonfinancial assets                                  4.2      4.5     4.4     4.3     3.9     3.7      3.7     3.6      3.5
            o/w public investment                                                  3.9      4.3     4.2     4.0     3.7     3.5      3.5     3.4      3.3
            o/w land acquisition                                                   0.3      0.2     0.2     0.2     0.2     0.2      0.2     0.2      0.2
          (less) Consumption of fixed capital                                      3.4      3.6     3.6     3.5     3.4     3.3      3.3     3.3      3.2
""
        Net lending/borrowing (overall balance)                                   -3.0     -9.0    -7.6    -7.8    -3.5    -2.5     -2.5    -2.6     -2.8
          Excluding social security fund                                          -3.8     -9.5    -8.0    -8.1    -3.7    -2.6     -2.6    -2.6     -2.8
        Primary balance                                                           -2.4     -8.3    -7.0    -7.4    -3.3    -2.3     -2.3    -2.4     -2.4
        Structural balance 3/                                                     -2.5     -8.1    -6.9    -7.3    -3.3    -2.4     -2.5    -2.6     -2.8
        Structural primary balance 3/                                             -1.9     -7.5    -6.4    -6.9    -3.2    -2.2     -2.3    -2.4     -2.4
""
        Stock positions 4/
          Debt
           Gross 5/                                                             236.1     259.0 263.1     262.5 258.3 258.7 259.4          260.5    261.8
           Net                                                                  151.4     162.4 168.8     172.1 171.0 171.4 172.1          173.2    174.5
""
         Net worth                                                                17.5     13.3       …      …       …       …        …       …           …
         Nonfinancial assets                                                     140.2    145.4       …      …       …       …        …       …           …
          Produced assets                                                        118.6    122.9       …      …       …       …        …       …           …
          Non-produced assets                                                     21.7     22.5       …      …       …       …        …       …           …
         Net financial worth                                                    -122.8   -132.1       …      …       …       …        …       …           …
""
         Financial assets                                                       116.4     130.1       …      …       …       …        …       …           …
"           Monetary Gold and SDR, etc.                                            0.4       0.4       …      …       …       …        …       …           …"
           Currency and deposits                                                 15.3      22.9       …      …       …       …        …       …           …
           Loans                                                                  4.0       3.5       …      …       …       …        …       …           …
           Debt securities                                                       13.3      12.3       …      …       …       …        …       …           …
           Equity and investment fund shares                                     31.7      33.5       …      …       …       …        …       …           …
             o/w shares                                                          11.7      12.8       …      …       …       …        …       …           …
"           Insurance, pension and standardized guarantee schemes                  0.0       0.0       …      …       …       …        …       …           …"
           Financial derivatives and employee stock options                       0.0       0.0       …      …       …       …        …       …           …
           Other financial assets                                                51.7      57.4       …      …       …       …        …       …           …
""
         Liabilities                                                            239.2     262.3       …      …       …       …        …       …           …
"           Monetary Gold and SDR, etc.                                            0.3       0.3       …      …       …       …        …       …           …"
           Currency and deposits                                                  0.0       0.0       …      …       …       …        …       …           …
           Loans                                                                 27.3      28.1       …      …       …       …        …       …           …
           Debt securities                                                      199.6     219.5       …      …       …       …        …       …           …
           Equity and investment fund shares                                      3.0       3.3       …      …       …       …        …       …           …
"           Insurance, pension and standardized guarantee schemes                  0.0       0.0       …      …       …       …        …       …           …"
           Financial derivatives and employee stock options                       0.0       0.0       …      …       …       …        …       …           …
           Other liabilities                                                      8.9      11.1       …      …       …       …        …       …           …
        Memorandum item :
         Nominal GDP (trillion yen)                                             558.5     538.2 542.0     557.0 572.4 579.3 585.8          591.0    596.0
""
         Sources: Japan Cabinet Office; IMF staff estimates and projections.
         1/ Including fines.
         2/ Fiscal year basis.
         3/ In percent of potential GDP.
         4/ Market value basis.
         5/ Nonconsolidated basis.
""
""
""
""
38   INTERNATIONAL MONETARY FUND
