V1
SAMOA
"Table 3b. Samoa: Summary of Budgetary Central Government Operations, 2016/17-2024/25"
TO  Egtimgtes Revised ssts—<“<ité‘éSOSOSCS™*;*;*SUMQMGS
Budget 1;
""
2016/17          2017/18          2018/19      2019/20              2079/20          202 021          2021/22          202   25          2025/24          2024/25
 pecentarGDPR
Total Revenue                                                                    293          70.6          339          373          2A          255          2a           415          74.9          345
""
Tax eVenue                                                                                                      245               25.0               25.7               214               190               175               205               23.8               27.0               art
Taxes on income. profits aind capital gains                                                                 55                  5.5                  a                  5.5                 42                  35                 4.5                  51                  5.5                  55
Payable by individuals                                                        33           32           30           32           23           21           26           29           3.1            31
Poyoble by covporotons and other enterprises                                    23           23            29           23            if            17           20            a2           24           24
Taxes on property                                                                                     a2               Oo                ao               0.0               ao               a0               a0                ao               a0               ao
Taxes on goods and services                                                    162          16.6          169          138          127          118          13.6           162          1h.8          189
Value added tax                                                                                          a4                35               103                 To                &2                 TS                B5                 39               171.5               116
Eserises                                                                                                               63                  6.0                  a0                  6.1                  40                  3.6                  46                   57                  aT                  aT
Others                                                                                                               a5                  0.6                  ar                  0.6                  a5                  a5                  a5                  06                  a6                  06
Tawes on speciic service:                                                                                     a5                 0.6                  ay                  0.5                 a4                  a4                 a5                  16                  6                 16
"Tawer on use of goods, permission fo use goods                                                       0                 0.0                  0                  ot                  ou                  a1                  a1                   ou                  ot                  ou"
Taxes on international trade and transactions                                       26           28           26           20           a            a)           ag            25           26           af
Grants                                                                                                                        19                  25                  42                 10.5                  59                  53                  48                  48                  49                  495
Other revenue                                                                                                            28                  28                  40                  5A                  25                  af                  28                  29                  29                  25
Sales of goods and services                                                                                      20                  14                  3.0                    aa.                  14                  21                  a2                  2g                  243                  23
"Fines, penalties and forfeis                                                                                 a5                o5                 ao                   _..                 a5                 a5                a5                 a5                 a5                a5"
Property income                                                                                                      a3                  o3                   1.0                    aa.                  a1                   a1                  a1                   a                   a1                  a1
Total Expenditure                                                                 414          30.6          12          390          357          354          358           373           37.5          375
Expense                                                                                                          232               24.5               259               30-7                703               282               284               285               28.4               28.6
Compensation of employees 2/                                                  £1           g2          10.4          139          11-1           11-7           11-1           11-1           11.7           11-1
lagers and salaries                                                                                       FS                £.6                 36                   _..               103               103               103                103                10.2               12
Employers’ socio! con butions                                                                        16                OF                 ay                   aa.                 a9                 a9                a9                 a9                 a9                a3
Lise of goods and services 2/                                                                                   5A                 f3                  a4                11-7                10.6                  B45                 B45                  B45                  a5                 £6
Interest                                                                                                                  LUE                  0.8                  ay                  0.8                  LUE                  a9                  1.0                   1.1                   1.1                   1.1
Extemal                                                                                                                                                          a?                         OF                         aT                             aa.                         Li                         a9                         1.0                          1.1                           1.1                          1.1
Domestic                                                                                                            a1                  O.                   a1                     aa.                  0                  0                  0                  0                  a0                  a0
Subsidies 3/                                                                                                   a4                a2                 a2                 1.0                a9                 a9                a9                 a9                 a9                a9
Grants 4/ ay                                                                                                   65                 52                 As                 0.5                AT                 AT                AT                 AT                 AT                As
Social benefits 5                                                                           a9             a9              a9              1.6              1.6              1.6              1.6              1.6              1.6              1.6
