V1
CEMAC
""
""
""
"                                                     Table 2. CEMAC: National Accounts, 2016–26"
""
"                                                      2016      2017      2018       2019         ""2020""    2020        ""2021""    2021    2022    2023    2024    2025    2026"
""
""
                                                       Est.      Est.         Est.    Est.   CR 21/148        Est. CR 21/148      Proj.   Proj.   Proj.   Proj.   Proj.   Proj.
""
"                                                                                     (Annual change, in percent)"
 Real GDP
 Cameroon                                              4.6        3.5          4.1    3.7            -1.5     0.7           3.6    3.5     4.5     4.6     5.0     5.2     5.4
 Central African Republic                              4.7        4.5          3.8    3.0             1.0     1.0          -1.0    1.0     4.0     5.0     5.0     5.0     4.9
 Chad                                                 -5.6       -2.4          2.3    3.0            -0.9    -1.6           1.4    0.6     2.2     3.1     3.6     3.8     3.7
" Congo, Republic of                                  -10.7       -4.4         -4.8   -0.4            -7.8    -8.2           0.2   -0.2     2.4     2.9     6.5     2.2     1.2"
 Equatorial Guinea                                    -8.8       -5.7         -6.2   -6.0            -4.9    -4.9           4.1    1.2    -3.7    -1.2    -1.1    -3.1    -2.2
 Gabon                                                 2.1        0.5          0.8    3.9            -1.8    -1.8           1.5    1.5     3.0     2.8     3.4     3.6     3.8
 CEMAC                                                -1.6        0.5          1.1    1.9            -2.6    -1.9           2.6    1.9     2.8     3.3     4.1     3.5     3.6
""
 Nominal GDP
 Cameroon                                              5.8        5.1          5.7    6.3             0.4    -0.3          5.7     6.8     6.5     6.1     6.6     7.3     7.4
 Central African Republic                              7.9       11.3          5.2    5.5             2.8     2.8          1.5     4.0     6.7     7.6     7.6     7.6     7.6
 Chad                                                 -6.6       -3.2          4.7    4.6            -2.9    -3.7          9.4     6.9     3.5     4.9     5.8     6.3     6.3
" Congo, Republic of                                  -14.3        7.2         17.4   -1.1           -20.3   -20.8         13.1    17.3     3.3     2.8     6.9     3.1     2.7"
 Equatorial Guinea                                   -14.5        6.4          2.7   -8.0           -13.8   -13.8         16.9    26.7    -3.5    -1.9     0.8    -0.5     1.6
 Gabon                                                -2.3        4.3          8.1    5.5           -10.8   -10.8          8.5    14.0     4.3     2.4     3.7     5.0     6.0
 CEMAC                                                -3.3        4.5          7.1    2.9            -6.5    -7.0          8.6    11.4     4.1     4.0     5.4     5.4     5.9
""
 Real non-oil GDP
 Cameroon                                              5.3        5.0          4.4    3.5            -1.8     0.5          3.8     3.7     4.7     4.9     5.3     5.5     5.6
 Central African Republic                              4.7        4.5          3.8    3.0             1.0     1.0         -1.0     1.0     4.0     5.0     5.0     5.0     4.9
 Chad                                                 -6.0       -0.5          0.3    2.0            -1.6    -1.6          0.7     0.2     2.1     3.3     3.9     3.9     4.1
" Congo, Republic of                                  -11.3       -8.6         -9.4   -1.7            -8.0    -8.0         -1.5     0.9     3.3     3.7     4.0     4.4     4.8"
 Equatorial Guinea                                    -4.7        0.8         -2.7   -6.0            -7.0    -7.0         10.2     6.4     0.3     0.8     0.7    -0.6     0.1
 Gabon                                                 3.3        2.5          1.5    3.3            -1.7    -1.7          2.6     2.7     2.5     3.4     4.0     4.3     4.5
 CEMAC                                                 0.0        1.8          1.2    1.7            -2.8    -1.6          3.3     3.0     3.5     4.0     4.4     4.4     4.7
""
