V1
ISRAEL
"Table 5. Israel: General Government Operations, 2017-27"
2017 2018 2019 AOD ET AOA OES AOR OT
Projections
{In percent of GDP: unless otherwise indicated)
""
Revenue                                                            479.2      430.4      496.7      433.9      577.2      590.3      624.2      653.7      696.5.       736.1       778.4
Taxes                                                                                   345.9        3417        352.9        344.8        422.1         4271.5        445.1         463.9        495.9          524.3         554.5
"Taxes on income, profits, and capital gains          151.6      139.7      144.9      143.9      185.7      180.5      189.2      198.0      209.4       2214      234.2"
"Taxes on goods and services                            150.8      157.3      161.7      156.8      134.0      134.4      195.7      207.2      219,17        2317      245.0"
"Taxes on international trade and transactions           3.0           2.8           3.0           2.9           32           3.5           37           3.9           4,1             4,3            4.6"
"Taxes Mm.é.c,                                                    40.4       42.0       43.3       412       49.2       53.2       56.5       59.8       63.3         66.9        70.7"
Social contributions                                                       76.1          79.8         83.5         $19         91.8        100.4        106.6        113.0        119.5         126.2        133.3
Grants                                                                                   10.3          10.6          10.3            oF          10.8          11.6          12.4          13.1           13.8            14.6           15.5
"Other revenue                                                         47.0        43.3        50.1         47.5        52.5        56.8        60.2        63.7        67.2          771.0         75,1"
Of which: Interest income                            3.3       3.1       3.4       27       3.0       3.3       3.5       37       3.9        4.1        43
Expenditure                                                       495.6      529.0      §52.0      635.6      645.3      47.2      630.2      717.6      57.3       800.1       $45.2
Expense                                                         490.3      518.5      539.8      620.1      627.7      630.1      662.1      693.4      737.1        778.8      822.6
Compensation of employees                             128.3      134.3      139.7      140.9      142.2      156.3      165.2      174.5      184.3       195.0      206.0
Purchases/use of goods and services                  105.1      112.9      176.0      121.1      122.1      124.4      126.6      132.4      139.1        146.8       155.1
"Interest expense                                             28.1        32.4       30.0       28,0       38.3       42.8       46.1        49.0       51.8         54.5        57.2"
Social benefits                                              157.9      166.6      176.9      200.9      202.6      200.9      212.4      2244      237.0       250.7      264.8
"Expense m.é.c,                                                70.9       72.3       Tie      129.2      122.5      105.8      111.8      118.1      124.8       132.0       139.4"
""
"Net acquisition of nonfinancial assets                      3.3       10,5       12.1        15.4       15.6       17.1        18.1        19.1        20.2         214        22.6"
Net lending/borrowing                                           -14.4       45.6       55.2 -1517       -66.1        -56.9       -56.0       -58.9       -60.8         -64.0        -66.8
Revenue                                                             37.5       35.8       35.0       345       37.1        35.1        35.0       34.8       348         348        34.8
Taxes                                                              27.0       25.5       24.9       24.6       272       25.0       24.9       24.8       248         248        24.8
"Taxes on income, profits, and capital gains           11.9       10.4       10.2       10,3       11.9       10.7       10.6       10.5       10,5         10,5        10.5"
Taxes on goods and services                             11.8       117       11.4       11.2       11.8       11.0       11.0       11.0       11.0         11.0        11.0
Taxes on international trade and transactions           0.2           0.2           0.2           0.2           02           0.2           02           0.2           0.2             0.2            02
"Taxes m.é.c,                                                      3.2         3.1         31         29         3.2         3.2         3.2         3.2         3.2          3.2         3.2"
Social contributions                                             5.9         5.9         5.9         5.8         5.9         6.0         6.0         6.0         6.0          6.0         6.0
Grants                                                              0.8         0.8         oO?         07         O7         0.7         O7         0.7         07          07         O7
Other revenue                                                    37         3.6         3.5         3.4         3.4         3.4         3.4         3.4         3.4          3.4         3.4
Of which: Interest income                            0.3       02       0.2       02       0.2       0.2       0.2       0.2       02        02       0.2
"Expenditure                                                                          38.6         39.4         38.9         45.4         41.4         38.5          38.1          37,9         37,9           37.8          37.8"
Expense                                                           38.3       37       38.1        445       40.4       37.4       37.1        36.9       36.8         36.8        36.8
Compensation of employees                              10.0        10.0         9.9        10.1         9.1         9.3         9.2         9.2         9.2          9.2         9.2
Purchases/use of goods and services                    6.2         &.4         a2         6.6         r9         74         7.1         7.0         7.0          6.9         6.9
Interest expense                                               2.2         24         21         2.0         25         2.5         2.6         2.6         2.6          2.6         2.6
Social benefits                                                             12.3          12.4          12.5          14.3          13.0          11.9          11.9          11.9          11.8           11.9           11.8
"Expense m.é.c,                                                  5.5         5.4         5.4         92         ra         6.3         63         6.2         62          62         62"
""
Net acquisition of nonfinancial assets                      0.3         0.8         0.9         1.1         1.0         1.0         1.0         1.0         1.0          1.0          1.0
"Net lending/borrowing                                               -1.          3.6         3.9       -10.8         45         3.4         -3.1          -3.1          -3.0           -3.0          -3,0"
""
"Sources: Central Bureau of Statistics: IMF, Government Financial Statistics: IMF Staff estimates and projections."
32 INTERNATIONAL MONETARY FUND
