V1
REPUBLIC OF LITHUANIA
""
""
""
"                             Table 2. Lithuania: General Government Operations, 2018–26"
"                                         (ESA 2010 aggregates, in percent of GDP)"
                                                                2018       2019        2020      2021     2022     2023       2024    2025     2026
                                                                                                                     Projections
""
     Statement of Operations
""
     Revenue                                                    34.5        35.1       36.0       36.7     37.0     36.6      35.7     36.0     35.5
     Revenue excluding EU grants                                33.7        34.1       35.2       35.3     35.4     35.4      35.1     35.1     34.9
      Tax revenue                                               17.1        20.4       20.5       20.7     20.8     20.8      20.6     20.7     20.6
         Direct taxes                                            5.7        8.9            8.9    8.9      8.9      8.9        8.9     8.9      8.9
           Personal income tax                                   4.0        7.1            7.2    7.2      7.2      7.2        7.2     7.2      7.2
           Corporate income tax                                  1.5        1.6            1.5    1.6      1.6      1.6        1.6     1.6      1.6
         Indirect taxes                                         11.5        11.5       11.7       11.8     11.9     11.8      11.8     11.8     11.7
           VAT                                                   7.7        7.9            7.9    8.1      8.2      8.1        8.1     8.0      8.0
           Excises                                               3.2        3.0            3.0    3.0      3.0      3.0        3.0     3.0      3.0
           Other                                                 0.6        0.6            0.7    0.7      0.7      0.7        0.7     0.7      0.7
      Social contributions                                      13.0        10.0       10.8       10.7     10.7     10.7      10.6     10.5     10.4
      Grants                                                     0.8        1.0            0.8    1.4      1.6      1.2        0.6     0.9      0.7
      Other revenue                                              3.6        3.8            3.9    3.9      4.0      3.9        3.9     3.9      3.9
""
     Total expenditure                                          33.8        34.6       43.4       42.2     39.9     38.2      36.8     36.5     36.0
       Current spending                                         30.6        31.4       39.0       37.7     35.3     34.2      33.6     33.1     32.7
         Compensation of employees                               9.7        10.2       11.4       11.6     11.4     11.2      11.1     11.0     10.9
         Goods and services                                      4.4        4.4            4.5    4.8      4.7      4.6        4.6     4.6      4.5
         Interest payments                                       0.9        0.9            0.7    0.7      0.6      0.6        0.5     0.5      0.5
            Foreign                                              0.8        0.6            0.2    0.5      0.5      0.4        0.4     0.3      0.3
            Domestic                                             0.1        0.2            0.5    0.1      0.2      0.2        0.1     0.1      0.1
         Subsidies                                               0.4        0.4            2.7    2.1      1.1      0.8        0.7     0.5      0.4
         Grants                                                  0.8        0.8            1.1    1.1      0.9      0.9        0.9     0.9      0.9
         Social benefits                                        13.4        13.9       17.0       16.5     15.6     15.1      14.8     14.7     14.6
         Other expense                                           0.9        0.9            0.9    1.0      1.0      0.9        0.9     0.9      0.9
       Capital spending                                          3.2        3.2            4.4    4.6      4.6      4.0        3.2     3.3      3.2
""
     Net lending (+) / borrowing (-)                             0.6        0.5        -7.4       -5.5     -2.9     -1.5      -1.1     -0.5     -0.4
     Net lending (+) / borrowing (-) excl. one-offs              0.6        0.4        -7.4       -5.5     -2.9     -1.5      -1.1     -0.5     -0.4
""
     Net acquisition of financial assets                        -2.1        5.5            3.8    -1.8     -1.7     -0.7      -0.6     -0.6     -0.6
        Domestic                                                -1.6        3.5            5.3    -1.8     -1.7     -0.7      -0.6     -0.6     -0.6
        Foreign                                                 -0.4        2.0        -1.5       0.0      0.0      0.0        0.0     0.0      0.0
""
     Net incurrence of liabilities                              -2.7        5.1        11.2       3.7      1.2      0.9        0.4     -0.1     -0.2
        Domestic                                                -0.1        -0.7           6.2    3.1      0.7      0.7        0.4     0.0      0.1
        Foreign                                                 -2.6        5.8            5.0    0.6      0.5      0.2        0.0     -0.1     -0.2
""
     Financial Balance Sheet
""
     Financial assets                                           26.0        30.8       34.6        …        …        …         …        …        …
      Currency and deposits                                      5.6        8.9        13.1        …        …        …         …        …        …
      Securities other than shares                               0.6        1.0            0.3     …        …        …         …        …        …
      Loans                                                      1.2        1.7            1.9     …        …        …         …        …        …
      Shares and other equity                                   14.1        13.7       13.7        …        …        …         …        …        …
      Other financial assets                                     4.4        5.5            5.7     …        …        …         …        …        …
                                                                                                   …        …        …         …        …        …
     Financial liabilities                                      40.7        44.4       56.0        …        …        …         …        …        …
      Currency and deposits                                      0.4        0.4            0.2     …        …        …         …        …        …
      Securities other than shares                              31.4        34.8       42.8        …        …        …         …        …        …
      Loans                                                      5.0        5.1            8.2     …        …        …         …        …        …
      Other liabilities                                          3.8        4.1            4.7     …        …        …         …        …        …
                                                                                                   …        …        …         …        …        …
      Net financial worth                                       -14.7      -13.6       -21.5       …        …        …         …        …        …
""
     Memorandum items:
"      GDP (in millions of euros)                               45,491     48,809      48,930     52,405   55,964   59,193    62,279   65,268   68,186"
      General government debt (Maastricht def.)                 33.7        35.9       47.1       47.7     45.9     44.3      42.5     40.5     38.6
         Foreign debt                                           29.3        33.1       38.0       36.1     34.3     32.6      31.0     29.4     28.0
         Domestic debt                                           4.4        2.8            9.1    11.6     11.6     11.7      11.5     11.0     10.6
""
     Sources: Ministry of Finance; Ministry of Social Security; and IMF staff estimates.
     Note: Passive projections from 2022 onward. Projections incorporate only announced budgetary measures.
""
""
""
""
32   INTERNATIONAL MONETARY FUND
