V1
SRI LANKA
""
""
""
"              Table 2a. Sri Lanka: Summary of Central Government Operations, 2016–24"
                                        (In billions of rupees)
""
                                                    2016     2017     2018           2019                 2020              2021      2022        2023     2024
                                                                              CR/19/135      Proj. CR/19/135      Proj.                  Proj.
""
""
"Total revenue and grants                           1,694     1,840    1,932       2,358      1,989     2,723      2,337     2,717    3,108        3,448    3,808"
" Total revenue                                     1,686     1,832    1,920       2,344      1,975     2,709      2,325     2,704    3,094        3,432    3,790"
"   Tax revenue                                     1,464     1,670    1,712       2,094      1,772     2,437      2,093     2,450    2,815        3,126    3,454"
     Income taxes                                    259      275       310         391       407        497       458        549      666         759      859
"     VAT                                             283      444       462         583       473        704       566        671      791         914     1,055"
     Excise taxes                                    455      469       484         566       408        631       522        629      712         766      806
     Other trade taxes                               212      208       173         261       179        290       202        228      262         292      305
     Other                                           254      275       283         293       304        314       345        373      383         396      429
   Nontax revenue                                    222      161       208         250       204        272       232        254      279         306      337
 Grants                                                7         8       12          14        13         15        12         13       14          16       17
""
"Total expenditure and net lending                  2,334     2,573    2,693       3,067      2,875     3,325      3,233     3,518    3,867        4,268    4,712"
" Current expenditure                               1,758     1,928    2,090       2,338      2,268     2,539      2,499     2,715    2,960        3,235    3,560"
   Civil service wages and salaries                  334      348       375         410       403        445       437        478      524         576      634
   Other civilian goods and services                  86       78        73          78        64         81        82         89       98         108      119
   Security expenditure                              307      309       317         361       361        392       391        428      470         516      568
   Subsidies and transfers                           419      458       473         552       527        612       579        633      697         766      843
"   Interest payments                                 611      736       852         937       913      1,009      1,010     1,086    1,169        1,269    1,396"
" Capital expenditure and net lending                 576      645       604         729       607        786       734        803      907        1,033    1,152"
""
Overall balance                                     -640      -733     -761        -709       -886      -602       -896      -801     -758         -820     -904
Financing                                            640      733       761         709       886        602       896        801      758         820      904
 Net external financing                              392      439       324         580       354        253       282        107      230         318      275
 Net domestic financing                              248      294       437         130       532        348       614        694      529         502      629
""
Memorandum items:
 Central government primary balance                  -29         2       91         228        27        407       114        285      411         449      492
 Nonfinancial SOE balance 1/                          36       -31     -131          …          …          …         …         …         …           …        …
     Ceylon Electricity Board                        -14       -47      -30          …          …          …         …         …         …           …        …
     Ceylon Petroleum Corporation                     70         4     -105          …          …          …         …         …         …           …        …
     Sri Lankan Airlines                             -30       -18      -55          …          …          …         …         …         …           …        …
     Other                                            11        31       59          …          …          …         …         …         …           …        …
" Central government debt                           9,479   10,383    12,034      12,852     12,893    13,585     13,854    14,844   15,798       16,812   17,888"
"     Domestic currency                             5,121     5,349    5,619       6,041      6,246     6,028      6,642     7,763    8,581        9,248   10,026"
"     Foreign currency                              4,358     5,034    6,415       6,811      6,646     7,558      7,212     7,081    7,217        7,564    7,863"
 Publicly guaranteed debt                            524      590       750          …          …          …         …          …        …           …        …
" Financial obligations of nonfinancial SOEs 2/     1,414     1,583    1,879          …          …          …         …         …         …           …        …"
 Fund credit outstanding                              83      117       226         245       234        279       269        265      243         213      171
" Nominal GDP (in billion of rupees)               11,996   13,418    14,450      15,644     15,496    17,002     16,813    18,405   20,196       22,179   24,416"
""
""
Sources: Data provided by the Sri Lankan authorities; and IMF staff estimates.
1/ For 42 nonfinancial SOEs reported in MOF Annual Reports.
"2/ The figure does not cover all nonfinancial SOEs. It covers financial obligations of Ceylon Electricity Board, Ceylon Petroleum Corporation, Road"
"Development Authority, Sri Lanka Ports Authority, Sri Lankan Airlines, and other SOEs."
""
""
""
""
26      INTERNATIONAL MONETARY FUND
