V1
CHAD
""
""
"                      Table 3. Chad: Fiscal Operations of the Central Government, 2019-2025"
"                                 (Percent of non-oil GDP, unless otherwise indicated)"
                                                                                       2019          2020         2021         2022       2023    2024    2025
""
                                                                                       Prel.          Est.        Proj.        Proj.      Proj.   Proj.   Proj.
""
       Total revenue and grants                                                        17.3          24.3         19.2         22.0       21.3    20.7    20.9
        Revenue                                                                        15.7          19.8         16.3         18.9       18.1    17.5    17.8
          Oil1                                                                          6.4          10.7          7.0          9.1        7.8     6.7     6.5
          Non-oil                                                                       9.4           9.1          9.3          9.8       10.3    10.8    11.3
            Tax                                                                         9.0           8.6          8.9          9.4        9.9    10.4    10.9
            Non-tax                                                                     0.4           0.5          0.3          0.3        0.4     0.4     0.4
        Grants                                                                          1.5           4.5          3.0          3.0        3.2     3.2     3.1
          Budget support                                                                0.1           2.4          0.4          0.5        0.5     0.4     0.4
          Project grants                                                                1.4           2.1          2.5          2.6        2.7     2.7     2.7
       Expenditure                                                                     18.0          22.3         22.6         21.2       21.1    20.6    20.1
        Current                                                                        12.5          15.2         15.4         14.1       13.7    13.2    12.7
          Wages and salaries                                                            7.0           8.2          8.0          7.8        7.6     7.3     7.1
            Civil Service                                                               4.8           5.8          5.6          5.5        5.4     5.3     5.2
            Military                                                                    2.2           2.4          2.4          2.3        2.2     2.0     1.9
          Goods and services                                                            1.6           2.2          2.5          2.0        2.1     2.0     1.9
          Transfers and subsidies2                                                      2.6           3.7          3.9          3.4        3.3     3.1     2.9
          Interest                                                                      1.2           1.1          1.0          0.8        0.8     0.8     0.7
            Domestic                                                                    0.4           0.5          0.5          0.3        0.3     0.3     0.4
            External                                                                    0.8           0.6          0.5          0.5       0.5     0.4      0.4
               Memo: Glencore loan (after restructuring)                                0.6           0.4          0.4          0.3       0.3     0.2      0.2
        Investment                                                                      5.6           7.1          7.2          7.1       7.4     7.5      7.4
          Domestically financed                                                         3.0           3.2          2.6          2.5       2.5     2.5      2.5
          Foreign financed3                                                             2.6           3.9          4.6          4.6       4.9     5.0     4.8
"       Overall balance (incl. grants, commitment)                                      -0.8           1.9         -3.4          0.8       0.2     0.0     0.8"
"       Non-oil primary balance (excl. grants, commitment) 4                             -4.8         -8.1         -7.7         -5.9       -5.2    -4.1    -3.2"
""
       Float from previous year5                                                        -0.6          -1.4        -0.6          -0.6      -0.5    -0.3    -0.3
       Float at end of period5                                                          1.4           0.6          0.6          0.6        0.3     0.3     0.6
       Var. of Arrears6                                                                 -1.2          -2.8        -2.1          -0.9      -0.8    -0.8    -0.2
       Repayment of other arrears                                                       0.0            0.0         0.0          0.0        0.0     0.0     0.0
"       Overall balance (incl. grants, cash)                                            -1.2           -1.6        -5.5         -0.2       -0.8    -0.8    0.9"
"       Non-oil primary balance (excl. grants, cash)                                    -5.3          -11.7        -9.8         -6.8       -6.2    -4.9    -3.1"
""
       Financing                                                                        1.2           1.6         3.4          -3.9       -2.2    -1.7    -0.9
         Domestic financing                                                              0.7           1.7         4.1         -3.7       -2.3    -1.9    -0.7
           Bank financing                                                                3.5           2.0         1.3         -1.7       -1.7    -2.0    -1.8
             Central Bank (BEAC)                                                         3.5           2.0         1.3         -1.7       -1.7    -2.0    -1.8
               Deposits                                                                  2.0           0.0        -0.6         -0.6       -0.5    -0.6    -0.3
               Advances (net)                                                            0.0           0.0         0.0         -0.9       -0.8    -0.8    -0.7
               IMF                                                                       1.4           2.0        -0.1         -0.2       -0.4    -0.6    -0.7
               SDR Allocation                                                            0.0           0.0        2.0           0.0        0.0     0.0     0.0
             Commercial banks (deposits)                                                 0.0           0.0         0.0          0.0        0.0     0.0     0.0
           Other financing (net)                                                        -2.8          -0.3        2.9          -2.0       -0.6     0.1     1.1
           Privatization and other exceptional receipts                                  0.0           0.0         0.0          0.0        0.0     0.0     0.0
         Foreign financing                                                               0.5          -0.1        -0.8         -0.1        0.2     0.2    -0.2
           Loans (net)                                                                  -0.1          -0.6        -1.2         -0.6       -0.3    -0.2    -0.5
             Disbursements                                                               1.4           1.3         1.3          2.1        2.1     2.1     1.7
             Amortization                                                               -1.5          -1.9        -2.6         -2.7       -2.4    -2.2    -2.3
           Debt relief/rescheduling (HIPC)                                               0.5           0.5         0.5          0.4        0.4     0.4     0.4
          External arrears                                                              0.0           0.0          0.0          0.0       0.0     0.0     0.0
       Financing gap                                                                    0.0           0.0          2.1          4.0       3.0     2.4     0.0
          CCRT                                                                                        0.0          0.1          0.0       0.0     0.0     0.0
          DSSI (Net)                                                                                  0.0          0.0          0.0       0.0     0.0     0.0
          Proposed IMF ECF                                                                            0.0          0.8          1.6       1.5     1.4     0.0
          Residual financing gap                                                                      0.0          1.1          2.4       1.5     1.1     0.0
       Memorandum items:
"         Non-oil GDP                                                                   5,130         5,271        5,337        5,603      5,953   6,363   6,807"
         Poverty-reducing social spending                                               4.7           5.5          5.3          4.9
         Bank deposits (including BEAC)                                                 2.9           2.8          3.4          3.9        4.1     4.5     4.5
            (In months of domestically-financed spending)                               2.3           1.9          2.3          2.8        3.1     3.4     3.6
            BEAC advances                                                               9.4           9.1          9.0          7.7        6.4     5.3     4.2
       Sources: Chadian authorities; and IMF staff estimates and projections.
       1
