V1
                                                            - 23 -
""
""
""
""
"                                     Table 3. Maldives: Central Government Finance, 2001–06"
""
                                                                                                                             Proj.
""
                                                           2001             2002             2003             2004        2005         2006
                                                                                            (In millions of rufiyaa)
"Total revenue and grants                                 2,522.6          2,714.9           3,087.9          3,395.2     5,107.6      6,100.7"
" Total revenue                                           2,310.9          2,582.4           2,964.3          3,320.7     3,470.5      4,405.4"
"   Current revenue                                       2,294.3          2,577.9           2,936.8          3,302.4     3,442.2      4,373.7"
"      Tax revenue                                        1,046.6          1,091.7           1,268.7          1,638.1     1,598.4      2,114.9"
"         Import duties                                     661.7            692.1             817.1          1,126.7     1,133.4      1,519.2"
         Tourism                                           292.7            305.2             359.8            412.2       336.2        427.8
         Other                                              92.2             94.4              91.8             99.2       128.8        167.9
"      Nontax revenue                                     1,247.7          1,486.2           1,668.1          1,664.3     1,843.8      2,258.8"
          SOE profit transfers                             383.7            422.6             570.6            545.1       646.5        629.6
          Resort lease payments                            433.1            601.0             575.7            553.6       616.0        881.0
          Other                                            430.9            462.6             521.8            565.6       581.3        748.2
   Capital revenue                                          16.6              4.5              27.5             18.3        28.3         31.7
"   Grants                                                  211.7            132.5             123.6             74.5     1,637.1      1,695.3"
"Expenditure and net lending                              2,885.9          3,117.3           3,388.2          3,565.3     6,391.6      8,644.7"
"   Current expenditure                                   1,971.4          2,109.4           2,345.7          2,657.9     4,120.4      4,993.4"
"   Capital expenditure                                     940.7          1,026.1           1,206.2          1,100.2     2,335.5      3,716.4"
   Net lending                                             -26.2            -18.2            -163.7           -192.8       -64.3        -65.1
"Overall balance                                           -363.3            -402.4           -300.3           -170.1    -1,283.9     -2,544.0"
"Overall balance, excluding grants                         -575.0            -534.9           -423.9           -244.6    -2,921.1     -3,791.3"
Current balance                                            322.9             468.5            591.1            644.5      -678.2       -171.7
"Domestic financing                                         217.5             30.0            -118.9           -235.3      944.7       1,168.9"
"Foreign financing                                          145.8            372.4             419.2            405.4      339.2       1,119.1"
Additional external financing requirement                     …                …                …                 …          …          256.0
"Government debt (end of period)                          3,326.4           3,856.9          4,157.2          4,327.3     5,611.2      8,155.2"
"   Of which: Foreign                                     1,831.3           2,203.7          2,622.9          3,028.3     3,367.5      4,742.6"
                                                                                                 (In percent of GDP)
Total revenue and grants                                    33.0              33.1               34.9           33.2       48.8         51.1
   Current revenue                                          30.0              31.4               33.2           32.3       32.9         36.6
      Tax revenue                                           13.7              13.3               14.3           16.0       15.3         17.7
         Import duties                                       8.6               8.4                9.2           11.0       10.8         12.7
         Tourism                                             3.8               3.7                4.1            4.0        3.2          3.6
         Other                                               1.2               1.2                1.0            1.0        1.2          1.4
      Nontax revenue                                        16.3              18.1               18.9           16.3       17.6         18.9
        SOE profit transfers                                 5.0               5.2                6.5            5.3        6.2          5.3
        Resort lease payments                                5.7               7.3                6.5            5.4        5.9          7.4
        Other                                                5.6               5.6                5.9            5.5        5.6          6.3
   Capital revenue                                           0.2               0.1                0.3            0.2        0.3          0.3
   Grants                                                    2.8               1.6                1.4            0.7       15.7         14.2
Expenditure and net lending                                 37.7              38.0               38.3           34.8       61.1         72.3
   Current expenditure                                      25.8              25.7               26.5           26.0       39.4         41.8
   Capital expenditure                                      12.3              12.5               13.6           10.7       22.3         31.1
   Net lending                                              -0.3              -0.2               -1.9           -1.9       -0.6         -0.5
Overall balance                                              -4.7             -4.9               -3.4           -1.7       -12.3        -21.3
"Overall balance, excluding grants                            -7.5             -6.5               -4.8           -2.4       -27.9        -31.7"
Current balance                                               4.2              5.7                6.7            6.3        -6.5         -1.4
Domestic financing                                            2.8              0.4               -1.3           -2.3         9.0          9.8
Foreign financing                                             1.9              4.5                4.7            4.0         3.2          9.4
Additional external financing requirement                      ...              ...                ...            ...         ...         2.1
Government debt (end of period)                             43.5              47.0               47.0           42.3       53.7         68.2
   Of which: Foreign                                        23.9              26.9               29.7           29.6       32.2         39.7
   Of which: Domestic                                       19.5              20.2               17.4           12.7       21.5         28.6
Memorandum items:
" Exchange rate (rufiyaa per U.S. dollar, average)           12.2              12.8             12.8            12.8         12.8         12.8"
" Nominal GDP (in millions of rufiyaa)                    7,650.8           8,201.0          8,842.0        10,235.1     10,457.9     11,949.7"
""
 Sources: Data provided by the Maldivian authorities; and IMF staff estimates and projections.
