V1
                                                                                                                                                                                     GUINEA
""
""
""
"Table 3b. Guinea: Fiscal Operations of the Central Government,1 2019–27"
"                (Percent of GDP, unless otherwise indicated)"
                                                                              2019          2020         2021       2022        2023           2024      2025     2026       2027
""
                                                                                  Act.         Prel.       Proj.       Proj.       Proj.       Proj.      Proj.   Proj.      Proj.
""
""
       Total revenue and grants                                                  14.7          13.9        13.6        13.1        13.0        13.9       14.7    15.0       15.3
           Revenue                                                                14.0         12.8        13.0         12.6       12.8        13.7       14.6     15.0      15.3
            Tax revenue                                                           12.9         12.2        12.1         11.0       11.6        12.5       13.2     13.5      13.8
              Mining sector                                                          1.9        1.7         2.1          2.1        2.2          2.3       2.4      2.5       2.7
              Non-mining sector                                                   10.9         10.5        10.0          8.9        9.4        10.2       10.8     11.0      11.1
                   Direct taxes                                                      2.1         2.2         1.9         2.1        2.1          2.1       2.1      2.1        2.1
                   Indirect taxes                                                    8.9         8.4         8.0         6.8        7.3          8.1       8.7      8.8        9.0
                    Taxes on goods and services                                      6.1         6.1         5.6         5.0        5.2          5.5       5.8      6.0        6.1
                    Taxes on international trade                                     2.7         2.3         2.5         1.8        2.1          2.6       2.9      2.9        2.9
                   Non-tax revenue                                                   1.2         0.5         0.9         1.6        1.1          1.2       1.3      1.4        1.4
                   Souapiti revenues 3                                                …            …         0.1         0.1        0.0          0.1       0.1      0.1        0.1
           Grants                                                                    0.7         1.1         0.6         0.5        0.2          0.2       0.1      0.1        0.1
            Project grants                                                           0.3         0.4         0.6         0.5        0.2          0.2       0.1      0.1        0.1
            Budget support                                                           0.2         0.7         0.0         0.0        0.0          0.0       0.0      0.0        0.0
            Other earmarked grants                                                    …            …            …          …           …          …          …       …          …
       Expenditures and net lending                                              15.0          17.0        15.3        14.4        15.3        16.5       17.2    17.6       18.1
           Current expenditures                                                   11.2         13.5        13.0         10.6       10.7        11.2       11.0     10.9      10.9
            Primary current expenditures                                          10.7         12.8        12.4          9.8        9.9        10.2        9.9      9.9        9.8
              Wages and salaries                                                     3.6         4.5         4.0         3.5        3.6          3.9       3.9      3.9        3.9
              Goods and services                                                     3.4         3.7         3.5         2.2        2.1          2.5       2.2      2.3        2.3
              Subsides and transfers                                                 3.7         4.5         4.9         4.1        4.1          3.8       3.8      3.6        3.5
                     EDG                                                             1.7         2.2         2.8         1.9        1.6          1.3       1.1      1.0        0.9
                        Subsidies                                                    1.7         1.9         2.8         1.9        1.6          1.3       1.1      1.0        0.9
                        Gurantee Fund                                                0.1         0.3            …          …           …          …          …       …          …
                    Other subsidies and transfers                                    2.0         2.3         2.1         2.2        2.5          2.5       2.6      2.7        2.7
            Interest on debt                                                         0.5         0.7         0.6         0.9        0.9          1.1       1.2      1.2        1.1
              Domestic debt                                                          0.3         0.6         0.3         0.5        0.4          0.6       0.6      0.6        0.6
              External debt                                                          0.2         0.2         0.3         0.3        0.4          0.4       0.5      0.5        0.5
                                  3
              Souapiti debt                                                           …            …         0.1         0.1        0.0          0.1       0.1      0.1        0.1
           Capital expenditure                                                       3.7         3.5         2.3         3.7        4.5          5.2       6.1      6.6        7.1
              Domestically financed                                                  2.2         0.9         0.9         2.0        2.3          2.9       3.6      3.9        4.5
                   Investment (central budget exec.)                                 2.2         0.9         0.9         2.0        2.5          3.0       3.6      3.9        4.5
                    Local Development Fund                                           0.3         0.2         0.2         0.3        0.3          0.3       0.4      0.4        0.4
                   Capital transfers                                                 0.0        0.0          0.0         0.0        0.0          0.0       0.0      0.0        0.0
              Externally financed                                                    1.4         2.6         1.4         1.7        2.3          2.4       2.5      2.7        2.7
            Net lending                                                              0.1         0.1         0.1         0.1        0.1          0.1       0.1      0.1        0.0
       Basic fiscal balance²                                                         0.6       -1.5        -0.7          0.1       -0.1        -0.2        0.3     0.4        0.3
""
       Overall balance
           Excluding grants                                                       -1.0         -4.3        -2.3         -1.8       -2.5        -2.7       -2.6     -2.7      -2.8
           Including grants                                                       -0.3         -3.1        -1.7         -1.3       -2.3        -2.6       -2.5     -2.6      -2.7
           Float                                                                   0.5         -0.0         0.0         -0.1        0.0         0.0        0.0      0.0       0.0
""
       Financing                                                                     0.6        3.1         1.8          1.3        2.0         2.6        2.5     2.6        2.7
           Domestic financing                                                     -1.1         -4.0         0.7         -0.8       -0.5         0.1        0.8     0.7        0.9
            Bank financing                                                           1.0         3.3        -0.1         1.0        1.3          1.6       1.1      1.0        1.1
                   Net position at central bank                                   -0.1           1.3        -0.2         0.1        0.2          0.1       0.1     -0.2       -0.1
                    Amortization (convention)                                     -0.2…         -0.2…        0.0         0.0        0.0         -0.0      -0.1     -0.1       -0.1
                    Other                                                            0.1…        1.5…        0.0         0.1        0.1          0.2       0.1      0.2       -0.1
                   Commercial banks                                                  1.1         2.0         0.0         0.9        1.1          1.5       1.0      1.1        1.2
            Nonbank financing                                                     -0.9          -1.4        -1.1        -0.4       -0.3         -0.2      -0.1     -0.1       -0.0
                   Privatization revenue                                             0.0         0.0         0.0         0.0        0.0          0.0       0.0      0.0        0.0
                   Borrowing/Amortization of domestic debt (net)                  -1.0          -1.0        -1.1        -0.4       -0.3         -0.2      -0.1     -0.1       -0.0
                   Other/exceptional revenue                                         0.0         0.0         0.0         0.0        0.0          0.0       0.0      0.0        0.0
                   Repayment of other non-bank borrowing                              …         -0.4            …          …           …          …          …       …
            Change in arrears                                                     -1.2          -1.8        2.0         -1.4       -0.2         -0.2      -0.2     -0.2       -0.1
                                                        3
            Souapiti: Decumulation of Domestic Assets                                 …            …         0.0         0.0        0.0          0.0       0.0      0.0        0.0
            Souapiti: SPV on-lending 3                                                …         -4.1         0.0         0.0       -1.3         -1.2       0.0      0.0        0.0
""
""
           External financing (net)                                                  1.7        7.1         1.1          2.1        2.5         2.5        1.7     1.9        1.8
              Drawings                                                               2.3         2.5         1.2         1.4        2.1          2.2       2.4      2.7        2.7
                    Project 3                                                        1.1         2.2         0.8         1.2        2.1          2.2       2.4      2.6        2.6
                    Program                                                          1.1         0.3         0.4         0.3        0.0          0.0       0.0      0.1        0.1
              Amortization due                                                    -0.5          -0.6        -0.4        -0.6       -0.7         -0.7      -0.7     -0.7       -0.8
              Souapiti Amortization 3                                                 …            …         0.0         0.0        0.0          0.0       0.0      0.0        0.0
              Souapiti Disbursements 3                                                …          4.1         0.0         0.0        1.3          1.2       0.0      0.0         …
              Debt relief                                                            0.0         0.0         0.3        -0.1       -0.1         -0.1       0.0      0.0        0.0
              SDR allocation                                                                                             1.3
              Change in cap. arrears (- = reduction)                              -0.0          -0.0         0.0         0.0        0.0          0.0       0.0      0.0        0.0
              Change in int. arrears (- = reduction)                                 0.0         0.0         0.0         0.0        0.0          0.0       0.0      0.0        0.0
              Non Paris Clus bilateral rescheduling                                  0.0         0.2         0.0         0.0        0.0          0.0       0.0      0.0        0.0
              HIPC-related financing                                                 0.0         0.0         0.0         0.0        0.0          0.0       0.0      0.0        0.0
              RCF Disbursement 4                                                     0.0         1.1         0.0         0.0        0.0          0.0       0.0      0.0        0.0
              RCF Repayments                                                         0.0        -0.1        -0.0        -0.0       -0.0         -0.0      -0.1     -0.1       -0.1
       Financing gap                                                              -0.0          0.0         0.0          0.0        0.3         0.0        0.0     0.0        0.0
""
""
       Anticipated financing                                                         0.0        0.0         0.0          0.0        0.3         0.0        0.0     0.0        0.0
