V1
REPUBLIC OF KOSOVO
"Table 3. Kosovo: Consolidated Government Budget, 2018-26"
(Including donor designated grants and PAK operations; percent of GDP)
2018 2019 2020                        2021                                    2022                            2023. 2024 2025 2026
Act.        Act.          Act.            2021        Proj.            2022       Proj.          Proj. Proj. = Proj. ~— Proj.
Budget                      Budget
Revenue and grants                                                                    26.4      27.0        25.6           28.0 29.2           28.1      28.5         28.3 282 282 28.1
Revenue                                                                                             263        26.7          25.0             27.7        29.1             279       284           28.3        28.2       28.2       28.1
Taxes                                                                                               23.2        23.6          22.3             244        25.8             25.0       254           25.2       25.0       249       24.7
Direct taxes                                                                                                            40            4.1               39                   44            4.6                   47            46                47            47            48            48
of which: Personal income tax                                            23         2.3           23              24        2.5             26        2.6           26        2.6        2.6        2.7
of which: Corporate income tax                                          1.3         1.3           13              15         1.5              16         15           1.6         1.6         1.6         1.6
of which: Property tax                                                       04         04          0.3              0.5         0.5             0.5         0.5           0.5         0.5         0.5         0.5
Indirect taxes                                                                                 20.0        20.1          188             20.6        21.9             21.0       21.6           21.3        21.2       21.0       20.8
VAT                                                                                       11.9        12.0          114             12.7        13.5             13.1        13.5           13.5        13.5        13.5        13.5
Excise                                                                                      6.2          6.2            59               6.2         6.6               6.3          6.5             64         6.4         6.4         6.4
Customs                                                                                                             18             18                15                    17             1.8                    15             1.6                 14             1.2             1.0            0.8
Tax refunds                                                                                                  -0.7          -0.6            -0.5                -0.7         -0.7                -0.7         -08             -08         -08         -08          -08
Nontax revenues                                                                                             3.0           3.2              28                 Ree)           3.3                 28           3.0               3.1            3.2           3.3           34
Other revenue                                                                         0.1         0.1           0.1               wee        0.1               wee        0.1           0.1         0.1         0.1         0.1
Grants                                                                                                  0.1          0.3            0.6               0.3         0.1               03         0.0            0.0         0.0         0.0         0.0
Budget support                                                                                 0.0          0.2            0.5               0.1          0.1               0.1          0.0            0.0         0.0         0.0         0.0
Project grants (DDGs)                                                                                     0.1            0.1              0.1                  0.2           0.0                 0.1           0.0              0.0           0.0           0.0           0.0
Expenditure                                                                                        29.2       29.9         33.5            344 29.6            32.77 309          30.7 306 306 306
Current expenditure                                                                                        21.3         224           278               269         24.3               243         246            24.2         24.1         240         24.1
Wages and salaries                                                                     8.8         8.7          98             8.8        8.9             8.0        88           8.7        8.7        8.6        8.6
Goods and services                                                                    3.7         42          45              5.2        4.0             48        45           45        45        45        45
Subsidies and transfers                                                                                      8.3            89            128                118         10.9                10.6         10.6             10.5         10.5         10.5         10.5
Current reserves                                                                                 0.0          0.0            0.0               04         0.0               03         0.3             0.0         0.0         0.0         0.0
DDGs and other expenditure                                                           0.1          0.1            0.0                ves         0.0                ee         0.0            0.0         0.0         0.0         0.0
Interest payments                                                                              0.3          0.3            04               0.5         0.4               05         04            05         0.5          0.5          0.5
of which: on external debt                                                      0.2         0.2           0.1                -         0.2               -         0.2           0.2         0.2         0.2         0.2
Other net PAK expenditure                                                       0.1         0.1          04              ve        0.0              ve        0.0          0.0        0.0        0.0        0.0
Capital expenditure                                                                    79         76          57             75        5.3             84        6.3           6.5        6.5        6.5        6.5
Budget-financed                                                                                6.5          5.2            40               47         45               SS)          5.1             56          55          55          57
PAK-financed                                                                                                                       1.2              1.9                08                     0.2             0.0                     0.2             0.0                 0.0             0.0             0.0             0.0
External                                                                                                                                0.2             0.5                0.9                    28             0.8                    2.3             1.2                 09             1.0             1.0             0.8
Non-Investment Clause                                                            0.2         0.3           0.5              1.1         0.2              1.0         0.1            0.1         0.1         0.1         0.0
"of which: ""Investment Clause""                                                 0.0         0.2           04              15         0.5              13         1.1            08        09         09         08"
Fiscal balances
Primary balance                                                                                -2.6        -2.7          -7.6              -6.0         0.0              -4.1        -2.1            -2.0        -19        -19        -2.0
Overall balance                                                                         -2.8       -2.9         -7.9            -6.4       -0.4            -4.6       -2.4          -2.4       -2.3       -2.4       -2.5
"""Fiscal rule"" deductions from the overall balance                        13        2.1          19            18        0.6            17        1.1          08        0.9        0.9        0.8"
"Overall balance (‘Fiscal rule"" definition) 2/                         -1.5      -0.8       -6.6         -4.6      0.2         -2.9     -1.3        -1.6     -1.4     -1.4     -1.7"
Overall cyclically adjusted balance                                             -3.0       -3.6         -6.3              ve        0.4              ee       -2.0         -2.2       -2.3       -24       -2.5
Statistical discrepancy                                                                                          0.0            0.0              0.0                     wee           0.0                     wee           0.0               0.0           0.0           0.0           0.0
Financing                                                                                              2.8         2.9           7.9              6.4         0.4              4.6         2.4            2.4         2.3         2.4         2.5
Foreign financing (net)                                                                   -0.2        -0.1           19              38         0.7              26         1.3            0.5         0.6         04         0.1
Budget Support                                                                                 0.0          0.0            2.3               25          1.0               15         0.6            0.0         0.0         0.0         0.0
External Financing for Projects                                                      0.2         0.6          0.9             28        0.8             24         1.3           1.0         1.1         1.1         0.9
Amortization of external debt                                                                       -0.3          -0.7             -13                 -15          -1.1                 -1.3          -0.6              -0.5          -0.5          -0.7          -08
Domestic financing (net)                                                                                   3.0           3.1              6.0                 2.7         -0.3                 2.0           1.1               19           18           2.0           2.3
