V1
NEPAL
""
""
""
"     Table 3. Nepal: Summary of Government Operations, 2016/17–2023/24 (Baseline) 1/"
                                                                               2016/17        2017/18            2018/19            2019/20 2020/21 2021/22 2022/23                2023/24
                                                                                           Budget    Actual    Budget      Proj.                            Projections
""
                                                                                                                  (In billions of Nepalese rupees)
"        Total revenue and grants                                                   645       765        767     1,045       981       1,117     1,264           1,409     1,580      1,761"
"         Total revenue                                                             613       728        732       986       940       1,072     1,202           1,341     1,506      1,680"
"          Tax revenue                                                              554       658        659       879       847         965     1,083           1,210     1,360      1,518"
"              Central Government                                                     …         …          …       838       806         919     1,032           1,153     1,297      1,449"
              Sub-national Government                                                …         …          …        41        41          46        51              57        63         69
          Non-tax revenue                                                           59        64         73       107        94         106       119             131       146        162
         Grants                                                                     32        72         34        59        40          46        62              68        74         81
"        Expenditure                                                                727      1,139       963     1,314      1,148      1,308     1,343           1,485     1,644      1,825"
"         Recurrent expenditure                                                     519        804       696     1,000        900      1,027     1,073           1,182     1,308      1,443"
          Of which : Interest payments                                              10        31         16       26         23          25           27           27       27         27
                     Salaries and allowances                                       119       131        112      117        104         118           88           98      108        119
                     Grants & subsidies                                            244       186        197      171        149         168          166          181      198        218
                     Fiscal transfer                                                 …       232        212      328        277         313          347          384      425        470
                     Revenue sharing and collection at sub-national levels                     …          …      155        155         182          203          227      255        281
         Capital expenditure                                                       209       335        267      314        249         281          270          303      336        383
        Operating balance                                                          126         -1        71        45         81         90          191          227      273        318
        Net lending/borrowing                                                       -83      -336       -196     -269      -167        -191          -79          -76       -63        -65
        Statistical discrepancy                                                     -35      -103        -92        0          0          0            0            0         0          0
""
        Net financial transactions                                                   48      234        104      269        167         191           79           76        63         65
         Net acquisition of financial assets                                         37       75         78       97         -3          -5           38           42        47         52
          Foreign                                                                     3        0          4        0          0           0            0            0         0          0
          Domestic (net)                                                             34       75         74       97         -3          -5           38           42        46         51
             Sale of equity                                                          17       55         38       58         40          42           25           28        31         34
            Lending minus repayment                                                  26       20         16       39         17          19           13           14        15         17
            Change in cash/deposit                                                   -9        0
                                                                                              20         20        0        -60         -66            0            0         0          0
         Net incurrence of liabilities                                               85      309        182      366        165         186          117          118      110        116
          Foreign                                                                    35      184         75      229        124         148          109          109       99         82
          Domestic                                                                   50      125        107      137         40          38            8            9       10         34
"                                                                                                           (In percent of GDP, unless otherwise indicated)"
        Total revenue and grants                                                   24.4      25.4       25.5     31.1       29.2       29.4      29.9            30.2      30.6       30.8
         Total revenue                                                             23.2      24.2       24.3     29.3       28.0       28.2      28.5            28.8      29.2       29.4
