V1
KINGDOM OF THE NETHERLANDS―ARUBA
""
""
""
"                         Table 3b. Aruba: Operations of the Central Government, 2014–2024 1/"
"                                      (Millions of Aruban florins, unless otherwise indicated)"
""
                                                                               Est.                     Projections
                                             2014    2015    2016    2017     2018    2019       2020   2021    2022    2023    2024
""
"Total revenues                               1,118 1,267 1,264 1,216 1,297 1,392 1,430 1,477 1,527 1,578 1,631"
" Taxes                                       1,002 1,044 1,068 1,082 1,156 1,225 1,259 1,300 1,344 1,389 1,436"
"  Direct taxes                                 856   891   924   929   967   995 1,022 1,056 1,091 1,128 1,166"
     Income and profit                         444   495   502   488   499   481   494   511   528   545   564
     Commodities                               293   281   287   299   318   357   367   379   392   405   419
     Property                                   78    73    87    94   101   106   109   113   116   120   124
     Services                                   41    41    48    48    50    51    52    54    55    57    59
  Indirect taxes                               145   154   144   153   188   230   237   244   253   261   270
    BBO                                         93    94    94   104   143   180   185   191   198   204   211
    Foreign exchange                            52    60    50    49    45    50    52    53    55    57    59
 Grants                                          0    65     0     0     0     0     0     0     0     0     0
 Other current revenues                        116   158   196   134   142   167   171   177   183   189   195
"Total expenditures                           1,491 1,346 1,342 1,359 1,409 1,434 1,482 1,527 1,569 1,615 1,662"
" Current expenditures                        1,437   1,333   1,311   1,356    1,359   1,401   1,448     1,492   1,533   1,578   1,624"
  Compensation of employees                    481     467     464     474      476     479     492       508     525     543     561
    Wages and salaries                         393     371     369     377      378     380     390       403     417     431     445
    Employer contribution and benefits          87      96      95      97       99      99     102       105     108     112     116
  Goods and services                           220     186     158     153      185     183     188       194     201     208     215
  Interest                                     188     200     218     223      208     232     248       252     252     254     256
  Subsidies                                      0       0       0       0        0       0       0         0       0       0       0
  Social benefits                              246     129     144     202      168     157     161       166     171     176     182
      Pensions                                   0       0       0       0        0       0       0         0       0       0       0
      Health system (AZV)                       80      44      59      53       20      10      10        10      10      10      10
      Other social transfers                   167      85      85     149      148     147     151       156     161     166     172
  Other expenses                               302     350     328     303      322     350     360       372     384     397     410
""
 Capital expenditure                            54      13      30        3     51      33         34     35      36      37      38
  Of which : Development Fund                   42      32       0        0      0       0          0      0       0       0       0
""
Overall balance                               -373     -78     -78    -143    -112     -42        -52    -49     -43     -37     -31
Primary balance                               -185     122     140      80      95     190       196     203     210     217     225
""
Net acquisition of financial assets            -33     -18     -22     -22     -18     -24        -24    -22     -20     -20     -20
Net incurrence of liabilities                  406      97     100     165     131      66         75     71      62      57      51
""
Memorandum items:
"Public gross debt                            3,869   3,918   4,012   4,159    4,271   4,313   4,365     4,414   4,457   4,494   4,525"
"Nominal GDP (millions of Aruban florins)     4,743   4,818   4,756   4,795    5,053   5,148   5,290     5,464   5,646   5,836   6,032"
""
 Sources: Aruban authorities and IMF staff estimates and projections.
 1/ This table is presented on adjusted cash basis.
""
""
""
""
30   INTERNATIONAL MONETARY FUND
