V1
                                                                                                                                                                                        TOGO
""
""
""
"                                  Table 2a. Togo: Central Government Financial Operations, 2017–24"
                                                        (Billions of CFA Francs)
                                                                  2017                     2018                               2019                   2020         2021       2022       2023          2024
                                                                  Est.         Prog.1     3rd Rev.    Est.         Budget     Prog.     Proj.        Proj.                     Projections
"Revenue and grants                                                  595.8        723.5       723.5      710.8        800.0     767.0      767.1        845.7        933.4    1,039.9    1,155.7       1,285.6"
"    Total revenue                                                   507.3        606.5       606.5      604.9        668.7     635.8      635.9        703.4        778.8      872.1      973.5       1,087.8"
      Tax revenue                                                   449.0        518.3       518.3      491.9        585.1     552.2      563.0        612.7        680.3      759.8      846.2        943.4
       Tax administration
                  p       (CI)                                      247.2        297.9       291.3      259.8        342.0     309.1      313.5        344.5        390.3      444.9      504.3        572.2
       Customs administration (CDII)                                201.8        220.4       226.9      232.1        243.1     243.1      249.5        268.2        290.1      314.9      341.9        371.2
      Nontax revenue                                                 58.2         88.2        88.2      113.0         83.6       83.6      72.9         90.7         98.5      112.3      127.2        144.4
    Grants                                                           88.5        117.0       117.0      105.9        131.3     131.2      131.2        142.3        154.5      167.8      182.2        197.8
       Budget support                                                48.3         41.6        41.6       33.2         20.4       20.4      20.4         22.1         24.0       26.1         28.3       30.7
       Project                                                       40.2         75.3        75.3       72.7        110.9     110.9      110.9        120.2        130.5      141.7      153.9        167.1
""
"Expenditure and net lending                                         603.6        857.3       815.3      733.8        813.9     813.9      852.3        918.4        989.6    1,098.1    1,208.1       1,335.5"
    Of which: Dom. primary expenditures                             484.9        534.3       534.3      532.6        546.5     546.5      584.9        617.1        675.4      760.5      850.8        954.7
""
    Current expenditure                                             429.0        515.5       515.5      532.2        529.4     529.4      529.4        588.8        631.4      682.0      731.1        786.7
     Primary current spending                                       380.4        444.5       444.5      461.8        451.2     451.2      451.2        491.9        536.1      582.0      631.9        686.1
       Wages and salaries                                           192.8        204.0       204.0      200.4        215.2     215.2      215.2        233.6        255.4      277.3      301.1        326.9
       Goods and services                                            84.3        114.7       114.7      144.9        111.2     111.2      111.2        124.2        134.9      146.4      159.0        172.6
       Transfers and subsidies                                      103.3        125.8       125.8      116.5        124.8     124.8      124.8        134.0        145.8      158.2      171.8        186.5
      Interest                                                       48.6         71.0        71.0       70.4         78.2       78.2      78.2         96.9         95.3      100.0         99.2      100.6
       Domestic debt                                                 38.7         56.9        56.9       61.6         66.8       66.8      66.8         88.3         85.0       87.9         85.6       85.5
       External debt                                                     9.9      14.1        14.1           8.8      11.3       11.3      11.3          8.6         10.3       12.0         13.7       15.1
""
    Public investment                                               174.5        299.8       299.8      201.7        284.5     284.5      322.9        329.6        358.2      416.1      477.0        548.8
      Domestically financed                                         104.4         89.8        89.8       70.8         95.3       95.3     133.7        125.2        139.3      178.5      219.0        268.6
      Foreign financed                                               70.0        210.0       210.0      130.9        189.2     189.2      189.2        204.4        218.9      237.7      258.0        280.2
""
Net Lending1                                                             0.1      42.0          0.0          0.0        0.0       0.0       0.0          0.0          0.0        0.0           0.0        0.0
Domestic primary balance                                             22.3         30.2        72.2       72.3        122.2       89.3      51.0         86.3        103.5      111.6      122.6        133.1
"Overall primary balance (commitment basis, incl. grants)             40.8         -62.9       -20.9      47.3         64.3       31.3      -7.0         24.3         39.1       41.8         46.8       50.7"
