V1
SOMALIA
""
""
""
"                       Table 4d. Somalia: General Government Operations, 2019   "
                                                       (Percent of GDP)
                                                                                     2019
                                                            Q1            Q2          Q3          Q4         Total
""
 Revenue and grants                                              1.7           2.0          2.9        3.5         10.0
 Revenue                                                         1.5           1.5          1.5        2.0           6.5
     Tax revenue                                                 1.2           1.3          1.2        1.4           5.1
"      Tax on income, profit, and capital gains                   0.0           0.1          0.0        0.1           0.2"
      Taxes on goods and services                                0.4           0.4          0.3        0.3           1.4
      Taxes on international trade and transactions              0.7           0.8          0.8        0.9           3.2
      Other taxes                                                0.0           0.0          0.1        0.1           0.1
     Non-tax revenue                                             0.7           0.4          0.7        0.8           2.6
 Grants 2/                                                       0.2           0.5          1.4        1.4           3.5
     Bilateral                                                   0.0           0.0          0.6        0.2           0.8
     Multilateral                                                0.2           0.5          0.8        1.3           2.7
""
 Total expenditure 3/                                            1.3           2.0          2.3        3.0           8.6
 Current                                                         1.2           1.9          2.1        2.8           8.0
     Compensation of employees                                   0.8           1.2          1.4        1.6           5.1
     Use of goods and services                                   0.3           0.6          0.6        1.0           2.5
     Interest and other charges                                  0.0           0.0          0.0        0.0           0.0
     Subsidies                                                   0.0           0.0          0.0        0.0           0.0
     Transfers to sub-national governments & Banadir             0.0           0.0          0.0        0.0           0.0
     Social benefits                                             0.0           0.0          0.0        0.0           0.0
     Other expenses                                              0.0           0.0          0.0        0.0           0.0
     Contingency                                                 0.0           0.0          0.0        0.0           0.0
     Repayment of arrears and advances                           0.0           0.0          0.0        0.0           0.0
 Purchase of non-financial assets                                0.1           0.1          0.2        0.2           0.5
 Transfer to government deposits held abroad                     0.0           0.0          0.0        0.0           0.0
""
 Overall fiscal balance                                          0.4           0.0          0.6        0.4           1.5
""
 Sources: Somali authorities; and Fund staff estimates and projections.
 1/ The numbers are based on preliminary reports from FMS and are subject to revision. The fiscal operations are
 recorded on a cash basis.
 2/ Includes only donor support provided to the federal government through treasury accounts at the Central Bank of
 Somalia.
" 3/ Advances and transfers to MDAs, and grants to other organizations not expensed are not included."
""
""
""
""
30     INTERNATIONAL MONETARY FUND
