V1
MONTENEGRO
""
""
""
"     Table 5. Montenegro: Consolidated General Government Fiscal Operations, 2014-2024   "
"                                  (Millions of euro, GFSM 2014)"
""
                                                  2014      2015     2016       2017    2018    2019       2020       2021     2022       2023       2024
                                                                                                                       Projections
""
" 1. Revenue                                        1,497    1,469    1,630      1,725   1,901   2,009      2,044      2,120    2,195      2,301      2,414"
"   Taxes                                             950      926    1,013      1,104   1,220   1,281      1,338      1,404    1,468      1,538      1,614"
     Personal income tax                             137      136      160        146     163     167        170        180      187        193        203
     Corporate income tax                             45       42       45         49      68      68         71         74       73         77         80
     Property taxes                                   15       15       13         15      18      19         20         21       22         23         24
     Value added tax                                 498      457      501        549     617     652        682        714      749        784        823
     Excises                                         156      170      183        225     221     234        250        263      277        293        308
     Taxes on international trade                     22       23       24         25      27      28         29         31       32         34         35
     Local government taxes                           71       76       77         86      96     101        105        110      115        121        127
     Other taxes                                       6        7        9          9       9      12         12         12       12         12         13
   Social security contributions                     401      392      414        441     467     472        470        485      510        536        563
   Nontax revenues                                   137      138      186        149     184     207        206        200      188        197        207
   Grants                                              9       14       17         30      29      49         30         30       30         30         30
" 2. Expense                                        1,350    1,479    1,624      1,614   1,706   1,732      1,794      1,859    1,932      2,023      2,114"
   Gross salaries and other personal income          395      403      434        452     467     471        490        513      539        568        596
   Use of goods and services                         140      188      187        173     188     186        190        204      220        231        243
   Interest payments                                  78       86       85        103     101     107        122        110       99        105        108
   Subsidies to enterprises                           19       20       28         29      32      33         35         36       38         40         42
   Other current outflows                             37       45       51         54      61      55         57         59       62         65         68
   Social security transfers                         492      488      556        539     545     557        574        596      618        641        668
   Other transfers                                   154      230      263        243     285     286        296        309      323        339        354
   Repayment of guarantees                            18        0        0          0       0       9          0          0        0          0          0
   Reserves                                           16       19       21         22      27      28         30         31       32         34         36
 3. Gross operating balance (= 1 - 2)                147       -10          6     111     195     276        251        261      263        278        300
 4. Net acquisition of nonfinancial assets           181      205      247        401     480     444        290        220      236        249        266
   Capital revenue                                    -7       -8       -4         -7     -11     -12        -12        -13      -13        -14        -15
   Capital expenditure                               189      213      251        408     491     456        302        233      250        263        281
 5. Net lending (+) / borrowing (-) (= 3 - 4)         -34    -215     -241       -290    -285    -168        -39         41       26         29         34
 6. Net acquisition of financial assets                13       22      -22        47     307     357       -245       -196      -41         14           9
   Domestic                                            13       22      -22        47     307     357       -245       -196      -41         14           9
     Currency and deposits                             35       27      -14        49     248     322       -241       -202      -47          8           3
     Loans                                            -10        4        4         7       6       6          6          6        6          7           7
     Equity and investment fund shares                -12      -10      -11        -9      53      29        -11          0        0          0          -1
 7. Net incurrence of liabilities                    117      178      199        296     613     525       -206       -236      -67        -16        -25
   Domestic                                           19      -43       76         36      71     107        -36         55       58        -35         98
   Foreign                                            98      221      123        260     543     418       -169       -291     -126         19       -123
 8. Discrepancy (= 5 - 6 + 7) 2/                      69       -59      -19       -41      22          0          0       0           0          0          0
 Memorandum items:
  Primary balance                                      44     -129     -155      -188    -184      -61        83         151     125         134        142
  Nonhighway primary balance                           44      -44      -37        59      97      170       164         151     125         134        142
  Current balance                                     138      -23      -11        81     166      227       221         231     233         248        270
"  Nominal general government debt                   2,191    2,520    2,633     2,850   3,352    3,900     3,750       3,556   3,484       3,463      3,323"
"  Nominal gen. gov. debt, with guarantees           2,473    2,791    2,931     3,163   3,640    4,271     4,121       3,927   3,855       3,834      3,694"
"  Nominal GDP                                       3,458    3,655    3,954     4,299   4,619    4,807     5,015       5,247   5,511       5,796      6,081"
""
 Sources: Ministry of Finance; and Fund staff estimates and projections.
 1/ Includes central government budget and local governments.
 2/ Historical discrepancy refers to differences between reported financing and that derived from monetary and debt data.
""
""
""
""
32    INTERNATIONAL MONETARY FUND
