V1
UKRAINE
"Table 2. Ukraine: General Government Finances, 2018-2025   "
(Billions of Ukrainian Hryvnia)
2018       2019              2020             2021      2022      2023      2024      2025
Act.                 Act.              Nov. 2019          Proj.                Pro.             Proj.              Proj.             Proj.             Proj.
Budget
"Revenue                                                                                           1,408.9           1,566.3               1,730.6        1,551.8           1,712.2        1564.9       2,0347        2217.5        24171"
"Tax revenue                                                                            1,226.9          1,358.6              1,548.6       1,3462          1491.2       1,628.0       1,779.9       1,943.4       2,121.5"
"Tax on income, profits, and capital gains                           336.1           392.8              459.0        3923           434.9        4748         5169         562.3         6116"
Personal income tax                                                    2299           273.5              328.4         2852           3177         347.1         377A         410.1         4454
Corporate profit tax                                                                   106.2              117.3                   130.6           107.1               117.2           1277            1395           152.1            166.2
Social secunty contnbutions                                                  2333             279.1                 313.6          292.1             306.3          340.1           3740          411.0          450.0
Property tax                                                                                   313                38.0                   39.7             367               40.1             437             473             32.1              56.9
Tax on goods and services                                              916.1           5926.6              605.3         9195           594.9        643.7         7070        TF28        8435
VAT                                                                                     3745            378.7                446.3          3727            433.1          4665          509.1           993.9          603.6
Excise                                                                                        132.6              137.1                  147.9           136.1              150.2           1664           184.0          203.7          2254
Other                                                89        10.9          11.1       10.7        117       12.7       139       15.2       16.6
Tax on intemational trade                                                 af             30.1                32.2          305             35.1           373           403           43.2          46.5
Othertax                                                                                        83.0               92.1                    98.9             152               79.9             86.3             940           102.0           1109
Nontax revenue                                                                         182.0            207.7                182.0          205.6            221.0          2369          2548          2fad          295.6
"Expenditure                                                                                      1,485.4           1547.4               1824.3        1,854.0           1,954.2        2,150.5       2,3208        2487.0        2,684.9"
"Current                                                                                          1,3394           1489.7               1,611.3        1,652.0           1,785.9        1,967.1        2,1205        2,268.5        24462"
Compensation of employees                                                 3792            4425                449.2          4479             513.4          568.8          6117          657.3          7064
Goods and services                                                                     2502             250.7                 336.0          358.9             364.0          3965           433.0          4724           9162
Interest                                                                                             1169              120.8                  143.9           1470              154.5           1734            1824           191.8           2010
Subsidies to corporations and enterprises                           50.6            80.9                50.0          46.7             50.1           52.9          55.6          58.4          613
Social benefits                                                               540.1            992.5              631.0         6504           702.8         Tfaa         $36.6         87.3         9599
Social programs (on budget)                                                   150.6              130.1                   1444           1304              142.8           1555           169.8           185.3           2024
Pensions                                                                             3572            4240                443.0          4733             509.5          565.4          6103          642.7          695.1
"Unemployment, disability, and aca dent                          323            38.4               43.5          467            50.6          53.9          56.5          59.4          62.4"
Other current expenditures                                                              23                  24                       1.2                11                   1.1                12                13                1.3                14
Capital                                                                                              1442              153.7                 203.4           1442              157.9           172.0           18738          204.9          2239
Net lending                                                                                          19                  4.0                      8               Ta                  8.6               93              102             11.1              12.1
Contingency reserve 2/                                              00           0.0              17        499            19          2.1          23          20          27
Unidentified measures                                                             00              0.0                  0.0            00             74         1225         164.0         136.3         1223
General government overall balance                                      -76.5           -81.2              -93.7       -302.1          -224.6       -163.1        -122.1        -133.2       -145.6
General government finanang                                                             765                812                    937           302.1              224.6           163.1            122.1            133.2           145.6
Extemal                                                                                       454                24                  22.1           1335              66.2            58.4            328           -39.5              3.2
Disbursements                                                                             1165               88.1                  143.9          2465              169.2           1369           1292           143.5           1435
o/w IFIs.                                                                       607             22.2              112.7         1739             61.1            -3.9            0.0            0.0            0.0
o/w IMF budget support                                                                            20.8        103.7           44.)           0.0           0.0           0.0           0.0
ow Other (unidentified)                                                                                          0.0            00              0.0            0.0            0.0            0.0            0.0
Amortizations                                                                                  -710               -85.7                 -121.8          -113.0            -103.0            -78.5            -963          -183.0          -140.3
Domestic (net)                                                                                      31                 137                    716           168.6              158.4           104.6             893            172.7           1424
Bond financing 3/                                                                             10.0                742                    65.4           1384              152.4             98.6             833            166.7           1364
Direct bank borrowing                                                     13              0.0                 0.0            00              0.0            0.0            0.0            0.0            0.0
Deposit finance                                                                               11/7                  3.0                     -0.8             30.0                  0.0               0.0               0.0               0.0               0.0
Privatization                                                                                            8.1                    15                       70                02                   6.0                60                60                6.0                6.0
Bank and DGF recapitalization                                                  00               5.0                45.0          200             20.0            0.0            0.0            0.0            0.0
Memorandum ttems:
Primary balance                                                                 404             39.6                30.2        -155.1            -70.1           10.3           603           58.6           55.4
"Cyclically-adjusted primary balance                                      402             46.8                48.4         -32.4             21.3           49,1           777          68.4           55.5"
"Structural primary balance 4,                                                           301                46.8                    38.3            -324                213             49.1             Tid             63.4             35.0"
"Public and publichy-quaranteed debt                                        2,156            2,005                2,983          2,980            2,719          2,855          2,940          3,047          3,179"
"Nominal GDP (billions of Ukrainian hryvnia)                         3,561           3,975              4435        3,908          4277        4.659         5,088        5,991         6,065"
Sources: Ministry of Finance: National Bank of Ukraine: and IMF staff estimates and projections.
"1/ National methodology, cash basis."
2/ Indudes the unallocated portion of expenditures from the COVID fund.
3/ Domestic bonds have been adjusted to reflect discrepancy between the above-the-line and the below-the-line deficits.
4/ Advanced pension payments and part of the NBU profit transfer are considered one-off operations.
26 INTERNATIONAL MONETARY FUND
