V1
PAPUA NEW GUINEA
""
""
""
"                 Table 2b. Papua New Guinea: Summary Operations of the Central Government,"
                                                   2017–2027
"                                  (In percent of GDP, unless otherwise specified"
                                                         2017      2018      2019     2020               2021                         2022                    2023       2024      2025        2026       2027
                                                                                                 Prog.          Prel.     Prog.      Budget     Revised                          Proj.
""
""
""
 Revenue and Grants                                       15.9      17.7      16.3       14.2       14.4           14.7      15.6       14.8       15.0       14.8       15.3       15.8       16.1       16.3
  Taxes                                                   12.6      13.2      13.0       11.5       11.7           11.8      12.3       11.5       11.1       11.8       12.4       12.9       13.3       13.5
"   Taxes on income, profits, and capital gains             7.3       7.7       7.2        6.6        6.5            6.7       6.3        6.0        5.9        6.5        6.9        7.4        7.5        7.6"
   Taxes on payroll and workforce                          0.0       0.0       0.0        0.0        0.0            0.0       0.0        0.0        0.0        0.0        0.0        0.0        0.0        0.0
   Taxes on goods and services                             4.5       4.5       4.7        4.0        4.4            4.2       5.1        4.7        4.4        4.6        4.7        4.8        5.1        5.2
   Taxes on international trade and transactions           0.8       1.0       1.1        0.9        0.8            0.8       0.9        0.8        0.8        0.7        0.7        0.7        0.7        0.7
  Grants                                                   2.0       2.3       2.1        1.7        1.8            2.2       1.8        1.7        1.7        1.5        1.5        1.4        1.4        1.5
  Other Revenue                                            1.3       2.2       1.2        1.0        1.0            0.7       1.5        1.7        2.2        1.5        1.4        1.4        1.4        1.3
     Resource revenue 1/                                   0.9       1.8       1.5        0.9        0.9            1.1       1.2        1.5         2.0       1.0        1.3        1.5        1.4        1.3
      Mining and Petroleum Taxes                           0.2       1.0       0.9        0.2        0.6            0.7       0.6        0.7         0.7       0.6        0.9        1.1        1.0        1.0
      Mining and Petroleum and Gas Dividends               0.8       0.8       0.5        0.7        0.4            0.4       0.6        0.8         1.3       0.4        0.4        0.4        0.4        0.4
      Other Dividends                                      0.0       0.0       0.1        0.0        0.0            0.0       0.0        0.0         0.0       0.0        0.0        0.0        0.0        0.0
      Grants from other general government units 2/        0.0       0.0       0.0        0.0        0.0            0.0       0.0        0.0         0.0       0.0        0.0        0.0        0.0        0.0
     Non-resource revenue                                 15.0      15.9      14.8       13.3       13.5           13.6      14.4       13.4        13.0      13.7       14.0       14.3       14.7       15.0
""
 Expenditure                                              18.4      20.3      20.7       22.7       21.8           21.3      21.6       20.3       20.5       18.9       18.4       17.5       16.7       16.2
  Expense                                                 16.6      17.7      17.5       18.6       17.6           17.4      16.6       15.5       15.7       14.7       14.4       13.8       13.3       12.9
    Compensation of employees                              6.0       6.5       6.5        6.8        6.4            6.4       6.0        5.5        5.5        5.4        5.1        5.0        4.8        4.7
    Use of goods and services                              5.7       6.1       6.7        6.3        6.5            6.5       6.0        5.6        5.8        5.1        4.7        4.3        4.0        3.7
      of which: COVID-19 related 3/                                                       0.6        0.6            0.6
           General election expenses                                                                                          0.8        0.8         0.8
    Interest                                               2.1       2.3       2.5        2.5         2.2           2.4       2.3        2.1         2.1       2.1        2.6        2.5        2.5        2.5
    Grants 4/                                              1.9       2.5       1.7        2.6         2.3           2.0       2.2        2.2         2.2       2.0        1.9        1.9        1.8        1.8
    Social benefits                                        0.0       0.0       0.0        0.3         0.1           0.0       0.1        0.0         0.0       0.1        0.1        0.1        0.1        0.1
    Other expenses                                         0.8       0.1       0.1        0.1         0.1           0.1       0.1        0.1         0.1       0.1        0.1        0.1        0.1        0.1
  Net acquisition of non-financial assets                  1.8       2.7       3.2        4.1         4.2           3.9       5.0        4.8         4.8       4.2        4.0        3.7        3.4        3.4
""
 Gross operating balance                                  -0.7       0.1      -1.2       -4.4        -3.2          -2.8      -1.1       -0.7        -0.7       0.1        0.9        2.0        2.9         3.4
 Net lending (+)/borrowing (-)                            -2.5      -2.6      -4.4       -8.6        -7.4          -6.6      -6.0       -5.5        -5.5      -4.2       -3.1       -1.7       -0.6         0.0
 Primary balance                                          -0.4      -0.2      -1.9       -6.0        -5.1          -4.3      -3.7       -3.4        -3.4      -2.1       -0.5        0.8        1.9         2.6
 Non-resource net lending (+)/borrowing (-)               -3.4      -4.4      -5.9       -9.4        -8.3          -7.7      -7.2       -6.9        -7.5      -5.2       -4.3       -3.2       -2.0        -1.3
 Non-resource primary balance                             -1.3      -2.0      -3.4       -6.9        -6.1          -5.3      -4.9       -4.8        -5.4      -3.1       -1.7       -0.7        0.5         1.2
""
 Net financial transactions 5/                             2.5       2.6       4.4         8.7       7.4            6.6       6.0        5.5         5.5       4.2        3.1         1.7        0.6        0.0
 Net acquisition of financial assets                      -0.2       1.5      -0.9        -0.9       0.0            1.8       0.0        0.0         0.0       0.0        0.0         0.0        0.0        0.0
 Net acquisition of financial liabilities                  2.2       4.1       3.5         7.7       7.4            8.4       6.0        5.5         5.5       4.2        3.1         1.7        0.6        0.0
  Domestic                                                 1.0      -0.4       0.7         3.4       2.2            3.2       4.6        2.0         2.0       2.5        1.5         1.0        1.1        0.5
   Treasury bills                                          0.7      -0.7       1.1         2.0       0.6            1.5       2.7        0.2         0.2       1.5        0.8         0.5        0.6        0.2
   Treasury bonds                                          0.3       0.4      -0.4         1.5       1.7            1.7       1.9        1.8         1.8       1.0        0.7         0.5        0.5        0.2
   Loans                                                   0.0      -0.2       0.0         0.0       0.0            0.0       0.0        0.0         0.0       0.0        0.0         0.0        0.0        0.0
  External                                                 1.2       4.5       2.8         4.2       5.2            5.2       1.4        3.4         3.4       1.7        1.5         0.7       -0.5       -0.5
