V1
REPUBLIC OF CONGO
""
""
""
""
"                        Table 2b. Republic of Congo: Central Government Operations, 2021–27 1"
                                                (Percent of non-oil GDP)
                                                                             2021         2022           2022            2022            2023              2024         2025           2026           2027
""
                                                                               Est.    Budget       CR 22/226                                      Proj.
""
 Total Revenue and Grants                                                     30.7         31.5            48.3          42.2           40.2              38.6         36.0            34.3            33.8
    Revenue                                                                   30.1         30.8            47.5          41.4           39.0              37.8         35.0            33.4            32.8
       Oil revenue                                                            19.2         18.2            32.4          28.4           25.0              23.1         20.2            18.1            17.3
            of which: oil transfers                                            1.8          0.0             1.6            4.3            2.0              1.0           1.2             0.8            0.8
       Non-oil revenue                                                        10.9         12.7            15.1          13.1           14.1              14.6         14.8            15.3            15.5
         Direct taxes                                                          3.7          4.8             5.8            5.0            5.1              5.2           5.3             5.4             5.5
         Taxes on goods and services                                           4.5          5.1             5.7            5.0            5.6              5.9           6.2             6.3             6.4
         Customs receipts                                                      2.1          2.1             2.8            2.2            2.6              2.8           2.7             2.9             2.9
         Non-tax revenue                                                       0.6          0.7             0.8            0.9            0.8              0.7           0.7             0.6             0.6
 Grants                                                                        0.6          0.6             0.8            0.8            1.2              0.8           1.0             1.0             1.0
 Expenditure and Net Lending                                                  28.5         28.5            34.1          33.0           32.0              30.5         30.5            29.5            28.3
    Current expenditure                                                       24.3         22.8            27.2          26.8           24.4              23.3         23.1            22.4            21.5
       Wages                                                                   6.6          6.5             7.6            6.5            6.5              6.5           6.5             6.5             6.5
       Other primary current expenditure                                      14.3         12.7            15.2          16.0           13.8              12.8         12.8            12.1            11.6
         Goods and services                                                    4.9          3.2             3.8            3.3            3.3              3.2           3.4             3.3             3.3
         Transfers                                                             7.7          8.3            10.2          11.7             9.5              8.6           8.4             7.9             7.6
"             Social Transfers (Lisungi, COVID-19 and others)                   1.7          3.2             2.5            2.2            2.6              2.5           2.5             2.5             2.5"
