V1
MEXICO
"Table 3. Mexico: Statement of Operations of the Public Sector, GFSM 2014 Presentation 1/"
(In percent of GDP)
Proj.
2019 2020 2021       2022 2023       2024 2025       2026 2027
"Revenue                                                                                      23.6       24,2       23.3       243        241        24.0       23.9       23.9       23.9"
Taxes                                                                                          13.1        14.3        13.6       13.6        14.1        14.1        14.1        14.1        142
"Taxes on income, profits and capital gains                       6.9       7.5        fe       ria!)        rai       ii       ri       Ta       rei"
Taxes on goods and services                                                   5.7         6.2          5.8          5.2          5.8          5.9          5.9          5.9         6.0
"Value added tax                                                                   3.8          4?          43          44          44          4.4          4.4          4,4          45"
Excises                                                                                1.9         2.0          1.5          0.8          14          1.4          14          14          14
Taxes on international trade and transactions                     0.3         0.2         0.3         0.3         0.3         0.3         0.3         0.3         0.3
Other taxes                                                                              0.2         0.3          0.3          0.3          0.3          0.3          0.3          0.3          0.3
Social contributions                                                                        2.2          2.4          2.3          2.3          23          2.3          2.3          2.3          23
Other revenue                                                                                  8.3          7.5          7.4          84          r.8          Vf          7.5          TA          TA
Property income                                                                           3.4          3.3          af          3.1           24          22          22          22          2.1
Other                                                                                       5.0         4.2         Al          5.2          5.3          5.4          5.3          5.3          5.3
Total expenditure                                                                       26.0       28.6       27.1        28.0       282        26.7        26.5       26.5       26.6
Expense                                                                                    247        26.8       25.4       25.8       25.6       4.8       25.8       26.1        263
Compensation of employees                                              3.2         3.6         3.3         3.3         3.3         3.3         3.3         3.3         34
Purchases of goods and services                                         3.7         3.7         3.6         3.2         3.3         3.2         3.1         3.2         3.2
Interest 2/                                                                               42         4.4         4.0         4/          46         47         4.6         4.6         45
Subsidies and transfers                                                             1.9          2.3          2.5          2.8          2.8          2.8          2.8          2.9          2.9
o/w Tuel subsidy                                                                              0.0           0.0           0.0           0.5           0.0           0.0           0.0           0.0           0.0
Grants 3/                                                                                 6.0         6.4         18         79          61          6.1          6.1          1          6.1
Social benefits                                                           3.6        4.1        4.0        4.1        43        44        45        4.6        47
Other expense                                                                         0.1          0.4         0.2        -0.2         0.7        0.7        -0.6        -0.6        -0.5
Net acquisition of nonfinancial assets 4/                                1.3         1.8         17         23         29         1.5         1.5         1.6         1.6
Unspecified measures                                                      0.0        0.0        0.0        0.0       -0.2       -0.6       -0.8       -1.1       -1.3
Gross Operating Balance                                                               -1.0        -2.7         -2.1         -1.5         -1.5         -1.8        -1.9        -2.2         -24
"Overall Fiscal Balance (Net lending/borrowing) 5/                  -2.3       -4,4       -3.8       -3.8       -41       -2.7       -2.7       -2.7       -2.7"
Primary net lending/borrowing                                                   14 05 00 oF O8 18 #=18 #18 «16
Memorandum items
Primary expenditure                                                                                     21.8          24.2          23.1          23.3          23.          22.0          21.9          21.9          22.1
Current expenditure                                                                 247        26.8       25.4       25.8        25.4        25.2        25.0       24.9       25.0
"Structural fiscal balance                                         -1.9      -2.6      -3.1      -3.7      -4,]      -?.6      -2.6      -2.6      -2.7"
Structural primary balance 6/                                   1.9      1.3      0.7      0.7      0.3       1.9      1.9      1.8      1.6
Fiscal impulse 7/                                                                       -0.4         0.6         0.6        -0.1          0.4        -1.6         0.0         0.1          0.1
Gross public sector debt 8/                                                    53.3        60.1        57.6       56.2        nai        58.2        58.6       58.9)       59.3
In domestic currency (percentage of total debt)                  69.7       67.6 69.3       68.1        67.0       65.7       65.5       65.2 65.2
In foreign currency (percentage of total debt)                   30.3       32.4       30.7       31.9       33.0       34.3       34.5       34.8       34.8
Net public sector debt 9/                                                       445        51.6       49.9       435        50.0)        50.5        50.9       51.2       51.6
Sources: Ministry of Finance and Public Credit: and Fund staff estimates and projections.
"1/ Data exclude state and local governments, and include state-owned enterprises and public development banks."
2/ Interest payments differ from official data due to adjustments to account for chanaes in valuation and interest rates.
3/ Includes transfers to state and local governments under revenue-sharing agreements with the federal qovernment.
4/ This category differs from offical data on physical capital spending due to adjustments to account for Pidiregas amortizations
induded in budget figures and the reclassification of earmarked transfers to sub-national governments.
5/ The 2020 PSBR Is adjusted for sore statistical discrepancies between above-the-line and below-the-line numbers.
6/ Adjusting revenues for the economic and ail-price cycles and excluding one-off items (e.g. oil hedge income and Bank of Mexico
"transfers),"
7/ Negative of the change in the structural primary fiscal balance.
"8/ Corresponds to the grass stock of public sector borrowing requirements, calculated as the net stock of public sector borrowing"
requirements as published by the authorities plus public sector financial assets.
"9/ Corresponds to the net stock of public sector borrowing requirements (i.e., net of public sector financial assets) as published by the"
authorities.
INTERNATIONAL MONETARY FUND 25
