V1
                                                                                                                                                                                   MALAWI
""
""
""
"                        Table 2a. Malawi: Central Government Operations, 2018/2019–2024/2025"
                                                                               (Billions of Kwacha)
                                                                                 2018/19                  2019/20                    2020/21    2021/22        2022/23   2023/24   2024/25
                                                                                               Approved    2nd & 3rd
                                                                                      Est.                                  Proj.                      Proj.
                                                                                                 Budget         Review
""
"Revenue                                                                             1,133         1,564          1,330     1,245        1,409      1,703         1,984     2,200     2,429"
"      Tax and nontax revenue                                                        1,023         1,389          1,198     1,106        1,256      1,509         1,752     1,948     2,161"
"         Tax Revenue                                                                  931         1,235          1,087       971        1,110      1,339         1,559     1,733     1,923"
               Taxes on income and profits                                            456           603           531        486         550         645          733       814        903
               Taxes on goods and services                                            408           529           470        407         475         585          700       778        863
               Taxes on international trade                                            88           111           115         87         101         124          140       156        173
               Other taxes                                                            -22            -7            -28         -9         -16        -15           -13       -15       -16
         Nontax revenue                                                                92           154           111        135         146         170          193       214        238
      Grants                                                                          109           175           132        139         153         194          232       253        269
         Budget support grants                                                         31             0              0        22            0          0            0         0             0
         Project grants                                                                52           110             77        86         101         121          152       171        183
         Dedicated grants                                                              27            65             55        30           52         73           80        81         86
"Expenditure and net lending                                                         1,509         1,870          1,624     1,810        1,914      2,181         2,406     2,655     2,876"
"      Current expenditure                                                           1,196         1,390          1,266     1,450        1,487      1,604         1,724     1,929     2,083"
         Wages and salaries                                                           387           466           443        464         521         587          660       733        813
                Of which : COVID-19 related                                             …             …             …          2            8          0            0         0             0
         Interest payments                                                            224           244           246        260         279         261          205       244        221
               Domestic                                                               209           229           230        243         255         234          177       214        191
           Foreign                                                                     16            15            15         16          23          27           27        30         30
         Goods and services                                                           354           407           318        428         384         414          479       532        583
               Generic goods and services                                             131           203           164        202         181         196          220       245        271
               Census                                                                      6          1              1         1            0          0            0         0             0
               Road maintenance and storage levey expenses                             23            37             27        37           27         30           33        37         41
               Agricultural sector                                                         6          9              9         8           10         12           13        14         16
               Health sector                                                           43            54             54        67           80         81          100       111        124
                Of which : COVID-19 related                                             …             …             …         13           13          0            0         0             0
               Education sector                                                        27            30             30        30           34         42           52        58         65
               National / local elections                                              63            30              1        29            1          0            0         0             0
               Statutory expenditures                                                      6          5              8         7            4          2            1         1             2
               Maize purchases and winter cropping program                              9            10              8        10           10          7            8         9         10
               Rural electrification                                                   39            28             16        38           39         44           49        54         54
         Subsidies and other current transfers                                        225           267           252        267         285         320          356       391        434
               Pension and gratuities                                                  84            98             95       107         110         124          140       155        172
               Transfers to road and revenue authorities                               29            38             34        30           33         40           47        52         58
               Transfers to public entities and households                             74            95             88        95         107         123          138       154        170
                Of which : COVID-19 related                                             …             …             …          0            1          0            0         0             0
               Fertilizer and seed subsidy                                             39            36             36        35           34         33           31        30         34
                Of which : seed subsidy                                                10             5              5         5            5          5            5         5             6
         Arrears payments1                                                              5             7              7        31           19         21           25        28         31
      Development expenditure                                                         305           471           349        351         416         573          678       723        788
         Foreign financed                                                             189           333           233        236         291         381          436       481        523
              Of which : related to climate resilience building                         …             …             …          0          10          23           26        29         32
         Domestically financed                                                        116           137           115        115         125         192          242       241        265
              Of which : related to climate resilience building                         …             …             …          0            7         27           56        33             5
      Net lending                                                                       8             9             9          9           10          4            4         4             4
Discrepancy                                                                                5          0              0         0            0          0            0         0             0
Overall balance (incl. grants and discrepancy)                                       -371          -305          -294       -565         -505       -477          -422      -455      -446
Total financing (net)                                                                 371           305           294        565         505         477          422       455        446
    Foreign financing (net)                                                            80           112             55        81           95        132          136       150        166
         Borrowing                                                                    111           158           102        120         138         187          204       229        254
               Budget support loans                                                        0          0              0         0            0          0            0         0             0
               Project loans                                                          100           152             96       119         131         178          195       217        242
                                     2
               Other external loans                                                    11             7              6         2            7          8           10        11         13
         Amortization                                                                 -31           -47            -47       -39          -43        -55           -68       -78       -88
    Sale of non-financial assets (privatization proceeds)                                  0          0              0         0            0          0            0         0             0
    Net issuance of promissory notes for securitizing domestic arrears                -75             0             -9         -9           0          0            0         0             0
    Net domestic financing (NDF)                                                      367           194           249        493         410         345          286       305        280
         of which: RBM financing of central government                                -79             0              0       -50            0          0            0         0             0
    Financing gap                                                                       0             0              0         0            0          0            0         0             0
Memorandum items:
    Issuance of promissory notes for securitizing domestic arrears                         0          0              0         0            0          0             0         0         0
    Primary balance (including grants and discrepancy)                               -147           -61            -49      -305         -226       -216          -218      -211      -225
                              3
    Domestic primary balance                                                          -67            97             53      -208          -88        -29           -13       17         29
    Maturing promissory notes for domestic arrears                                     75             0              9         9            0          0            0         0             0
    NDF adjusted for payment of arrears                                               292           194           239        484         410         345          286       305        280
"    Nominal GDP (fiscal year)                                                       5,360         6,088          6,055     6,088        6,896      7,776         8,735     9,709    10,772"
""
Sources: Malawi Ministry of Finance and IMF staff projections.
1
    This includes promissory notes issued for the repayment of domestic arrears accumulated before FY2014/15.
2
    Other external loans include program loans other than budgetary support.
3
    Domestic primary balance is calculated by subtracting current expenditures (except interest payment) and domestically-financed development expenditures from tax and nontax revenues.
""
""
""
""
                                                                                                                          INTERNATIONAL MONETARY FUND                                       15
