V1
JAPAN
""
""
""
"                               Table 4. Japan: General Government Operations, 2012–19"
                                                  (In percent of GDP)
                                                                       2012         2013     2014     2015     2016     2017          2018            2019
                                                                                                                         Est.                 Proj.
""
     Total revenue                                                           30.8     31.6     33.3     34.2     34.1       33.2         33.2            33.3
      Taxes 1/                                                               16.5     17.2     18.3     18.7     18.4       18.5         18.5            18.7
      Social contributions                                                   12.3     12.4     12.5     12.5     12.8       12.7         12.7            12.7
        o/w Social security contributions                                    11.7     11.8     12.0     12.0     12.3       12.2         12.2            12.1
      Other revenue                                                           1.9      2.0      2.4      3.0      2.9        2.0          2.0             1.9
        o/w interest income                                                   1.1      1.3      1.4      1.4      1.3        1.3          1.3             1.3
""
     Total expenditure                                                       39.4     39.5     38.9     38.0     37.8       37.5         36.9            36.0
      Expense                                                                38.9     38.7     38.1     37.4     37.2       36.8         36.1            35.6
        Consumption                                                          11.6     11.5     11.5     11.1     11.0       11.0         10.8            10.7
        Social benefits                                                      21.8     21.8     21.5     21.2     21.3       21.1         21.0            20.9
         o/w Social security benefits                                        19.3     19.3     19.0     18.8     18.8       18.7         18.6            18.5
        Interest                                                              2.3      2.2      2.2      2.1      2.0        1.8          1.7             1.4
        Other expense                                                         3.2      3.3      3.0      3.0      2.9        2.9          2.7             2.5
        (Memo) Compensation of employees 2/                                   5.7      5.5      5.6      5.4      5.3         …            …               …
        (Memo) Use of goods and services 2/                                   3.3      3.5      3.4      3.3      3.3         …            …               …
""
      Net investment in nonfinancial assets                                   0.5      0.7      0.8      0.6      0.5           0.7          0.7             0.5
       Gross investment in nonfinancial assets                                3.9      4.1      4.2      3.9      3.8           4.0          3.9             3.6
         o/w public investment                                                3.6      3.9      4.0      3.7      3.6           3.8          3.7             3.4
         o/w land acquisition                                                 0.3      0.3      0.2      0.2      0.2           0.2          0.2             0.2
       (less) Consumption of fixed capital                                    3.4      3.4      3.5      3.4      3.3           3.3          3.2             3.1
""
     Net lending/borrowing (overall balance)                                 -8.6     -7.9     -5.6     -3.8     -3.7       -4.3         -3.7            -2.8
      Excluding social security fund                                         -7.9     -7.5     -6.0     -4.8     -4.9       -4.3         -3.7            -3.0
     Primary balance                                                         -7.5     -7.0     -4.9     -3.2     -2.9       -3.8         -3.3            -2.6
     Structural balance 3/                                                   -7.4     -7.3     -5.3     -4.2     -4.1       -4.1         -3.6            -2.8
     Structural primary balance 3/                                           -6.3     -6.4     -4.6     -3.6     -3.4       -3.7         -3.3            -2.6
""
     Stock positions 4/
       Debt
        Gross 5/                                                            229.0    232.5    236.1    231.3    235.6      237.6        238.2           236.6
        Net                                                                 146.7    146.4    148.5    147.6    152.8      154.9        155.7           154.8
""
      Net worth                                                            9.6        13.5     13.0      8.9      3.3            …            …               …
      Nonfinancial assets                                                133.1       133.5    133.9    129.5    129.6            …            …               …
       Produced assets                                                   108.5       109.7    110.8    107.8    107.7            …            …               …
       Non-produced assets                                                24.6        23.8     23.1     21.8     21.9            …            …               …
      Net financial worth                                               -123.4      -120.0   -120.9   -120.6   -126.3            …            …               …
""
      Financial assets                                                      108.6    115.6    118.2    113.6    112.2            …            …               …
"        Monetary Gold and SDR, etc.                                           0.6      0.7      0.8      0.7      0.7            …            …               …"
        Currency and deposits                                                 8.4      8.8     12.0     15.0     17.4            …            …               …
        Loans                                                                 6.9      7.0      5.9      4.3      4.4            …            …               …
        Debt securities                                                      25.6     24.0     18.4     16.6     15.7            …            …               …
        Equity and investment fund shares                                    26.3     29.4     30.6     30.0     29.5            …            …               …
          o/w shares                                                          6.3      9.3     10.3     10.0     10.1            …            …               …
"        Insurance, pension and standardized guarantee schemes                 0.0      0.0      0.0      0.0      0.0            …            …               …"
        Financial derivatives and employee stock options                      0.0      0.1      0.0      0.0      0.0            …            …               …
        Other financial assets                                               40.7     45.6     50.5     47.0     44.5            …            …               …
""
      Liabilities                                                           232.0    235.5    239.1    234.2    238.5            …            …               …
"        Monetary Gold and SDR, etc.                                           0.3      0.4      0.4      0.4      0.4            …            …               …"
        Currency and deposits                                                 0.0      0.0      0.0      0.0      0.0            …            …               …
        Loans                                                                33.4     32.9     32.2     30.8     30.3            …            …               …
        Debt securities                                                     186.7    190.6    194.6    191.1    196.3            …            …               …
        Equity and investment fund shares                                     3.0      3.1      3.0      3.0      2.9            …            …               …
"        Insurance, pension and standardized guarantee schemes                 0.0      0.0      0.0      0.0      0.0            …            …               …"
        Financial derivatives and employee stock options                      0.0      0.0      0.0      0.0      0.0            …            …               …
        Other liabilities                                                     8.6      8.5      8.8      9.0      8.7            …            …               …
     Memorandum item :
      Nominal GDP (trillion yen)                                            495.0    503.2    513.9    532.0    538.5      546.6        557.0           570.5
""
      Sources: Japan Cabinet Office; IMF staff estimates and projections.
      1/ Including fines.
      2/ Fiscal year basis.
      3/ In percent of potential GDP.
      4/ Market value basis.
      5/ Nonconsolidated basis.
""
""
""
""
48    INTERNATIONAL MONETARY FUND
