V1
REPUBLIC OF KOSOVO
"Table 3. Kosovo: Consolidated Government Budget, 2017-2025 1/"
"(Including donor designated grants and PAK operational expenditure, percent of GDP)"
2017 +2018 2019        2020               2021               2022           2023 2024 2025
Actual    dget Prel.6  d  Proj  em proj  Proj. Proj. Proj
ctua                          Budget Prel. 6/         Budget          roj.        Authorities         roj.            roj.         roj.         roj.
Revenue and grants                                                                  26.5      26.4      26.8           25.7 25.1            26.4       26.6             26.7      26.2         26.2      26.1      26.2
Revenue                                                                                                      264         26.3         26.5               25.2        246               26.2          26.4                 265        26.2            26.2        26.1         26.2
Taxes                                                                                                233        23.2        234              22.5       22.0              234         233                235        23.0           229        229        229
Direct taxes                                                                                        37          40          4.1                4.1          39                42           42                  42          42             43          43          43
"of which,"
Personal income tax                                                                    2.1           23          23                 2.3          2.3                 24            24                  23          24             24          24          25
Corporate income tax                                                    12         13         13             1.3        12              14          1.4               13        14           14        14        14
Property tax                                                                             03          04          04                0.4         03                04           0.4                  05          04             04         04         04
Indirect taxes                                            20.5    20.0    19.9        19.0    18.6        198     19.7        199    19.5      19.4    193    193
VAT                                               118    11.9    11.9        11.4    113        12.0     12.1         12.2    12.1      12.1    12.2    124
Excise                                                                                       6.7          6.2          6.1                6.1          58                59           5.9                  59          59             59          59          58
Customs                                                                                                    2.0            18            18                   1.5            15                   18              1.7                     18            15                14            1.2            1.1
Tax refunds                                                                                     -09        -07        -0.6               -0.6        -05               -0.6          -0.7                -06        -0.7           -08        -08        -08
Nontax revenues                                                                                 3.0          29          3.1                2.7         26                28           3.1                  30          3.1             3.1          3.2          3.2
Other revenue                                                                               0.1          0.1          0.1               0.0         0.0                 -_           0.1                   i         0.1            0.1         0.1         0.1
Grants                                                                                                                                 0.1             0.1             0.3                     0.5            0.5                     0.1               0.1                       0.1             0.0                0.0            0.0            0.0
Budget support                                                                             0.0         0.0         0.2               0.5         0.5               0.1           0.1                 0.1         0.0            0.0         0.0         0.0
Project grants (DDGs)                                                                           0.1           0.1           0.1                 0.2          0.0                02            0.0                  02          0.0             0.0          0.0          0.0
Expenditure                                                27.9    29.2    29.6       37.6 328       34.3     32.5        31.6    29.1      28.6    28.7    28.7
Current expenditure                                                                       20.7       213       22.1             27.1       27.2             255         25.7               226       22.3          219       214       21.0
