V1
       REPUBLIC OF KOSOVO
""
""
""
""
"                     Table 2. Kosovo: Consolidated Government Budget, 2017–2025   "
"            (Including donor designated grants and PAK operational expenditure, millions of euros)"
                                                                              2017       2018      2019            2020                     2021                     2022                 2023      2024       2025
                                                                                                                                                                     Proj.
                                                                                       Actual                  Budget Prel. 6/         Budget        Proj.                    Proj.        Proj.     Proj.     Proj.
                                                                                                                                                              Authorities
""
"Revenue and grants                                                           1,700      1,775     1,905         1,788     1,712          1,888     1,888          2,002      1,992       2,106     2,229     2,365"
" Revenue                                                                     1,692      1,766     1,886         1,754     1,678          1,878     1,877          1,992      1,992       2,106     2,229     2,365"
"   Taxes                                                                     1,496      1,564     1,662         1,565     1,501          1,678     1,652          1,767      1,748       1,846     1,951     2,067"
     Direct taxes                                                              238        268       292           282       266            304       297            319        321         343       366       391
           of which: Personal income tax                                       137        153       166           160       157            171       168            174        182         194       208       222
           of which: Corporate income tax                                        75         87       95             90        85            98         97           100        105         112       120       128
           of which: Property tax                                                22         24       27             29        22            30         27             40         29          31        33        35
"     Indirect taxes                                                          1,315      1,344     1,415         1,322     1,268          1,419     1,402          1,496      1,485       1,564     1,649     1,746"
"           VAT                                                                 756        799       846           790       768            862       856            913        918         978     1,044     1,116"
           Excise                                                              432        419       435           423       397            425       421            441        449         473       499       527
           Customs                                                             126        124       130           106       101            128       122            138        115         109       102         99
     Tax refunds                                                                -58        -48      -46            -40       -33           -46        -46            -48        -57         -61       -65       -69
   Nontax revenues                                                             190        195       217           189       177            200       220            225        236         252       269       287
   Other revenue                                                                  6          8        7              0         0             …          5              …          7           8         9        10
 Grants                                                                           8          8       20             34        34            11         11             11          0           0         0         0
   Budget support                                                                 0          0       12             34        34            11         11             11          0           0         0         0
   Project grants (DDGs)                                                          8          8        8             12         0            12          0             12          0           0         0         0
""
"Expenditure                                                                  1,789      1,967     2,103         2,620     2,235          2,454     2,307          2,376      2,210       2,306     2,450     2,593"
" Current expenditure                                                         1,328      1,433     1,569         1,885     1,855          1,828     1,825          1,697      1,694       1,759     1,828     1,899"
   Wages and salaries                                                          550        592       616           619       661            626       644            642        662         688       716       744
   Goods and services                                                          226        250       294           314       295            314       353            346        331         338       346       352
   Subsidies and transfers                                                     512        558       627           651       870            639       770            654        660         688       718       751
       Pension and social assistance                                           397        442       503             …       601              …       601              …        527         552       579       609
       Other transfers and subsidies                                           115        116       124             …       269              …       169              …        134         136       139       141
   Current reserves                                                              0          0         0            38         0             33        21              6          0           0         0         0
   DDGs and other expenditure                                                    6          6         5             …         0              …         0              …          0           0         0         0
   Recovery program 2/                                                           0          0         0           295         …            220         …              …          0           0         0         0
   Interest payments                                                            19         19        23            30        29             39        37             49         40          45        49        52
       of which: on external debt                                               12         12        12             …        15              …        20           -248         21          23        23        24
   Other net PAK expenditure                                                    14          9         3             …         0              …         0              …          0           0         0         0
 Capital expenditure                                                           461        533       534           735       380            626       483            679        516         547       621       694
   Budget-financed                                                             449        435       366           403       296            403       400            490        420         472       531       597
   PAK-financed                                                                  0         84       132            185       24             28        30              0          0           0         0         0
   External                                                                     12         15        36            148       60            195        53            189         96          75        90        97
"       of which: ""Investment Clause""                                             0          0        13            148       52            195        39            189         89          69        83        91"
""
Fiscal balances
  Primary balance                                                               -74      -177      -179          -806      -497           -491      -388            -327      -182        -159      -175      -181
  Overall balance                                                               -88      -192      -198          -832      -523           -566      -420            -374      -218        -200      -220      -228
  Overall cyclically adjusted balance                                           -98      -201      -239            …       -426             …       -346              …       -195        -194      -218      -228
"  Overall balance ('Fiscal rule"" definition) 3/                                 -82      -102       -46          -500      -398           -337      -351            -179      -129        -132      -137      -138"
"     ""Fiscal rule"" deductions from the overall balance                            6        90       151           381       125            229        69             195        89          69        83        91"
""
Financing                                                                         87      195       199            832       523           567       420             375       218         201       221        229
  Foreign financing (net)                                                         58       -10       -11           321       140           344       199             228       107           75        33         6
   Budget Support                                                                 95         0         0           152       168           105       225               60        57          37         0         0
   External Financing for Projects                                                22        12        39           274         65          239         58            235       102           82        98       106
   Amortization of external debt                                                 -59       -22      -50           -105        -93          -96        -84             -66       -52         -43       -65      -100
""
 Domestic financing (net)                                                         29      206       211            510       384           223       221             147       111          125       188       223
  Net Domestic debt issuance                                                      95      105       115            170       169           170       170             150       167          166       226       258
  Change in CBK deposits                                                         -93       48        43            377       210           106        27               8       -89          -64       -48       -33
   Change in GG Deposits at the CBK (TSA)                                        -83      -35       -70            192       136            72        17               2       -64          -49       -43       -38
   PAK Deposits                                                                  -10       83       113            185        74            34        10               6       -25          -15        -5         5
  Other Financing (Net POE and other)                                             -1       17        13            -36         4           -53         4             -11         3            3         0        -3
  Equity (Privatization)                                                          31       18        41              …         0             …        20               …        30           20        10         0
""
Memorandum items
Overall balance (MOF) 4/                                                        -78      -190       -201          -451      -523          -566      -425            -375      -225         -208      -229      -238
Bank balance of the general government                                          292       302        370           214       276           227       258             225       312          361       404       442
  Of which: ELA                                                                  46        46         46             …        46             …        46               …        46           46        46        46
"Total public debt 5/                                                          1,041     1,140      1,248         1,682     1,670         2,015     2,036           2,384     2,309        2,551     2,810     3,075"
"     External debt                                                              466       460        453           720       585           883       782           1,102       888          964       997     1,004"
        Of which: onlending                                                      57        52         50             …        46             …        42               …        38           36        36        38
        Of which: guarantees                                                     44        44         44             …        44             …        44               …        44           44        44        44
"     Domestic debt                                                              575       680        795           962     1,085         1,132     1,254           1,282     1,421        1,588     1,814     2,072"
 Sources: Kosovo authorities; and IMF staff estimates and projections.
 1/ Does not yet reflect the GFSM 2014 methodology.
" 2/ For staff projections, recovery program measures are directly incorporated in the expenditure lines. These add up to Euro 288 million in 2020 and Euro 220 million in 2021."
" 3/ For fiscal rule purposes, IFI and PAK-financed projects post-July 2015, as well as PAK-related current expenditure, are excluded from the fiscal deficit; in the IMF presentation, expenditures from carried-"
 forward own-source revenue (OSR) are calculated as the annual difference between the municipal OSR stocks in consecutive years.
" 4/ Excludes DDGs, revenues held in trust, and additional net PAK expenditure."
