V1
                                                                                                                                                                                                 CAMBODIA
""
""
""
""
"                    Table 4. Cambodia: General Government Operations, 2015–24 (GFSM 2014)"
                                                        2015        2016        2017                2018                   2019                         2020                2021       2022       2023        2024
                                                                                                Budget        Est.   Budget          Proj.    Budget Prel      Proj.
""
"Revenue                                                   14,410      16,913      19,387        18,026     23,593     22,044       26,502      27,251           28,118     30,502     32,796     35,517     38,855"
"Of which: Nongrant                                        12,982      14,903      17,680        17,310     21,458     20,852       24,367      26,001           26,410     28,965     31,412     34,272     37,734"
"Tax                                                       11,469      12,800      15,193        14,815     18,552     17,978       20,860      23,030           22,950     25,170     27,244     29,692     32,709"
"Income, profits, and capital gains                         2,472       2,953       3,798         3,899      4,367      4,654        4,793         …              5,463      6,227      6,831      7,500      8,393"
"Good and services                                          6,905       7,761       9,312         8,786     11,686     10,805       13,337         …             14,618     16,020     17,575     19,295     21,170"
"International trade and transactions                       1,989       1,988       1,966         2,121      2,355      2,398        2,584         …              2,719      2,771      2,827      2,887      3,135"
"Grants                                                     1,428       2,010       1,707           716      2,136      1,192        2,136       1,250            1,708      1,538      1,384      1,245      1,121"
"Other revenues                                             1,514       2,103       2,487         2,495      2,905      2,875        3,507       2,972            3,460      3,795      4,168      4,580      5,025"
""
"Total expenditure                                         14,884      17,157      20,082        21,997     22,884     24,613       25,915      30,611           30,146     32,360     36,269     40,069     44,791"
"Expense                                                    9,183      10,983      13,335        14,210     15,260     15,739       17,038      17,418           18,951     20,867     23,114     25,622     28,389"
"Compensation of employees                                  4,149       5,125       6,297         7,003      7,413      8,202        8,202       9,077            9,080     10,050     11,247     12,594     14,095"
"Purchase of goods and services                             2,841       3,120       3,650         3,122      4,087      3,783        4,710         …              5,162      5,657      6,206      6,814      7,476"
Interest                                                     223         291         288           387        342        525          376         …                412        451        495        543        596
"Expense not elsewhere classified                           1,970       2,447       3,099         3,697      3,418      3,228        3,751         …              4,296      4,708      5,165      5,671      6,222"
"Net acquisition of nonfinancial assets                     5,701       6,174       6,747         7,788      7,624      8,875        8,877      13,193           11,196     11,493     13,155     14,446     16,403"
"Of which: Externally financed                              4,394       4,252       4,245             …      4,005      5,323        4,624         …              5,065      5,578      6,160      7,303      8,568"
""
"Net lending (+)/borrowing(-)                                -474        -243        -696        -3,971        709     -2,569          587      -3,360           -2,028     -1,858     -3,473     -4,551     -5,936"
"Net acquisition of financial assets                        1,720       1,834       2,801             …      2,226          …        2,831         …                410        991       -279       -296       -469"
"Net incurrence of liabilities                              2,194       2,077       3,497         3,971      1,516      2,569        2,244       3,360            2,438      2,848      3,194      4,255      5,467"
"Of which: External                                         2,138       1,755       2,356         3,971      1,877      2,569        4,380       3,360            4,146      4,386      4,578      5,500      6,588"
""
""
Revenue                                                     19.6        20.8        21.6          18.2       23.9       20.3         24.4       22.9               23.6      23.4       22.9       22.6       22.5
Nongrant                                                    17.7        18.3        19.7          17.5       21.7       19.2         22.4       21.9               22.2      22.2       22.0       21.8       21.9
Tax                                                         15.6        15.8        16.9          15.0       18.8       16.6         19.2       19.4               19.3      19.3       19.0       18.9       19.0
"Income, profits, and capital gains tax                       3.4         3.6         4.2           3.9        4.4        4.3          4.4        …                  4.6       4.8        4.8        4.8        4.9"
Good and services tax                                        9.4         9.6        10.4           8.9       11.8       10.0         12.3        …                 12.3      12.3       12.3       12.3       12.3
International trade and transactions tax                     2.7         2.4         2.2           2.1        2.4        2.2          2.4        …                  2.3       2.1        2.0        1.8        1.8
Grants                                                       1.9         2.5         1.9           0.7        2.2        1.1          2.0        1.1                1.4       1.2        1.0        0.8        0.7
Other revenues                                               2.1         2.6         2.8           2.5        2.9        2.6          3.2        2.5                2.9       2.9        2.9        2.9        2.9
""
Total expenditure                                           20.3        21.1        22.4          22.2       23.1       22.7         23.9       25.7               25.3      24.8       25.4       25.5       26.0
Expense                                                     12.5        13.5        14.9          14.4       15.4       14.5         15.7       14.6               15.9      16.0       16.2       16.3       16.5
