V1
 TOGO
""
""
""
"                            Table 2a. Togo: Central Government Financial Operations, 2018–24"
                                                  (Billions of CFA Francs)
                                                           2018                    2019                        2020             2021       2022       2023       2024
                                                            Dec.         Sep.         December                 Dec.             Dec.       Dec.       Dec.       Dec.
                                                            Act.         Act.      5th Rev.      Est.     Budget      Proj                  Projections
""
"Revenue and grants                                           710.8        496.2       734.4      746.9      833.4      818.5     895.1      977.6     1,072.1    1,172.9"
 Total revenue                                               604.9        457.4       635.9      624.5      694.8      679.9     744.6      814.2      894.7      980.2
   Tax revenue                                               491.9        403.2       563.0      551.4      617.5      603.0     661.2      722.6      793.2      868.4
     Tax administration (CI)                                 259.8        210.4       307.1      292.5      339.8      327.2     363.8      399.7      442.6      487.8
     Customs administration (CDII)                           232.1        192.8       255.9      258.9      277.6      275.8     297.4      322.9      350.6      380.6
   Nontax revenue                                            113.0         54.2         72.9       73.1      77.3       76.8      83.4       91.6      101.5      111.8
 Grants                                                      105.9         38.8         98.4     122.4      138.6      138.6     150.5      163.4      177.4      192.6
     Budget support                                           33.2           0.0        20.4       62.1      16.5       16.5      17.9       19.4         21.1     22.9
     Project                                                  72.7         38.8         78.0       60.4     122.1      122.1     132.6      144.0      156.3      169.7
""
"Expenditure and net lending                                  733.8        542.9       826.4      678.8      900.5      943.5     951.9     1,036.5    1,136.0    1,233.0"
 Current expenditure                                         532.2        437.3       536.4      548.9      571.2      614.2     603.2      652.2      708.1      759.6
  Primary current spending                                   461.8        361.5       458.2      463.1      471.2      514.2     509.0      552.7      600.0      651.5
     Wages and salaries                                      200.4        160.8       215.2      214.6      239.1      239.1     260.0      282.3      306.5      332.8
     Goods and services                                      144.9         92.8       118.2      125.9      100.9      143.9     106.3      115.4      125.3      136.0
     Transfers and subsidies                                 116.5        107.9       124.8      122.6      131.3      131.3     142.7      155.0      168.3      182.7
   Interest                                                   70.4         75.8         78.2       85.9      99.9       99.9      94.2       99.5      108.1      108.1
     Domestic debt                                            61.6         67.8         66.8       77.0      89.8       89.8      81.6       85.4         92.2     90.7
     External debt                                             8.8           8.0        11.3        8.9      10.1       10.1      12.6       14.2         15.8     17.4
""
 Public investment                                           201.7        105.5       290.0      129.7      329.4      329.4     348.7      384.3      427.9      473.5
   Domestically financed                                      70.8         35.0       133.7         7.3     134.9      134.9     127.4      144.1      167.1      190.3
      excl. CNSS operation                                    70.8         35.0       133.7      112.3      134.9      134.9     127.4      144.1      167.1      190.3
   Foreign financed                                          130.9         70.5       156.4      122.5      194.5      194.5     221.3      240.3      260.9      283.2
""
Net Lending                                                    0.0           0.1          0.0       0.1       0.0         0.0       0.0        0.0         0.0       0.0
""
Domestic primary balance                                      72.3         60.8         44.0     154.0       88.7       30.8     108.2      117.5      127.6      138.5
     excl. CNSS operation                                     72.3         60.8         44.0       49.0      88.7       30.8     108.2      117.5      127.6      138.5
"Overall primary balance (commitment basis, incl. grants)      47.3         29.1        -13.9     154.0       32.8      -25.1      37.4       40.6         44.1     47.9"
"Overall balance (commitment basis, incl. grants)             -23.0        -46.7        -92.1       68.1     -67.1     -125.0     -56.8      -58.9      -64.0      -60.2"
     excl. CNSS operation                                    -23.0        -46.7        -92.1      -36.9     -67.1     -125.0     -56.8      -58.9      -64.0      -60.2
"Overall balance (commitment basis, excl. grants)            -128.9        -85.5       -190.5      -54.3    -205.7     -263.7    -207.3     -222.3     -241.4     -252.8"
""
Change in arrears and accounts payable and receivable       -100.8           7.8          0.6   -105.6        0.0         0.0       0.0        0.0         0.0       0.0
 Change in arrears and accounts payable                      -64.8        -28.2        -35.4    -141.6        0.0         0.0       0.0        0.0         0.0       0.0
 Change in accounts receivable                                36.0        -36.0        -36.0     -36.0        0.0
                                                                                                              0.0         0.0       0.0        0.0         0.0       0.0
""
"Overall primary balance (cash basis, incl. grants)           -53.4         36.9        -13.3       48.4      32.8      -25.1      37.4       40.6         44.1     47.9"
"Overall balance (cash basis, incl. grants)                  -123.8        -38.9        -91.5      -37.5     -67.1     -125.0     -56.8      -58.9      -64.0      -60.2"
"Overall balance (cash basis, excl. grants)                  -229.7        -77.7       -189.9    -159.9     -205.7     -263.7    -207.3     -222.3     -241.4     -252.8"
""
Financing                                                    189.7         57.4       149.2      119.2      185.4      185.1     207.3      222.3      241.4      252.8
 Domestic financing (net)                                     59.3         13.3           5.2   -131.7     -109.3       10.4        0.7        5.9        15.4     15.5
 External financing (net)                                    130.4         44.1       144.1      250.9      294.7      174.7     206.6      216.4      225.9      237.3
   Grants                                                    105.9         38.8         98.4     122.4      138.6      138.6     150.5      163.4      177.4      192.6
   Budget support loan                                         0.0           0.0          0.0      36.8       0.0         0.0       0.0        0.0         0.0       0.0
   Debt reprofiling                                            0.0           0.0          0.0      68.0     120.0         0.0       0.0        0.0         0.0       0.0
   Project loans                                              58.2         31.7         78.3       62.1      72.4       72.4      88.7       96.3      104.6      113.5
   Amortization (incl. IMF repayments)                       -33.7        -26.4        -32.7      -38.4     -36.3      -36.3     -32.6      -43.3      -56.0      -68.8
Financing gap/unidentified financing                          40.0         20.3         40.6       40.7      20.3       78.5        0.0        0.0         0.0       0.0
   IMF-ECF                                                    40.0         20.3         40.6       40.8      20.3       78.5           …          …          …          …
Memorandum Item:
" Nominal GDP (CFAF billions)                               2,975.0       3,198.6     3,198.6    3,198.6   3,469.2     3,446.2   3,741.6    4,062.3    4,410.6    4,788.6"
Sources: Togolese authorities and IMF staff estimates and projections.
""
""
""
""
 24       INTERNATIONAL MONETARY FUND
