V1
                                                                                                                                                MOROCCO
""
""
""
"                            Table 3a. Morocco: Budgetary Central Government Finance, 2012–22"
                                                   (Billions of dirhams)
                                                                                                                              Proj.
                                                                                                   Art. IV   PLL 1/   Rev.
                                                     2012     2013     2014    2015     2016                 2017               2018    2019     2020    2021      2022
""
Revenue                                             237.7    250.0    259.3    262.1    264.9       275.9     278.0   278.3     294.8   305.7    324.6   347.0    371.3
  Taxes                                             202.7    200.7    203.8    208.9    217.4       231.8     232.9   232.9     244.2   261.9    281.0   300.8    322.1
"    Taxes on income, profits, and capital gains      77.4     75.7     76.3     78.6     83.6        89.1      89.1    90.1      96.8   102.0    109.9   117.4    125.5"
    Taxes on property                                11.6     11.7     13.9     14.1     14.3        15.7      15.7    15.7      15.2    19.5     20.6    21.8     23.0
    Taxes on goods and services                      99.0    100.0    100.7    102.0    104.2       111.8     112.8   111.8     115.1   125.2    134.4   144.5    155.4
    Taxes on international trade and transactions     9.4      8.1      8.1      8.1      9.5         9.3       9.3     9.3      10.0     8.9      9.4    10.0     10.5
    Other taxes                                       5.4      5.2      4.7      6.1      5.9         5.9       6.0     6.0       7.1     6.4      6.7     7.2      7.6
  Grants                                              0.5      6.1     13.8      5.0      9.7         9.8       9.8    10.2       8.1     3.8      1.2     1.2      1.2
  Other revenue                                      34.6     43.2     41.7     48.3     37.9        34.3      35.3    35.3      42.5    40.0     42.4    45.1     48.0
""
Expense                                             252.5    250.0    254.5    248.5    249.1       257.2     258.2   258.3     267.0   273.9    286.9   300.8    315.8
  Compensation of employees                         108.9    112.8    117.3    118.5    120.6       125.2     125.2   125.2     127.3   129.7    132.3   135.0    137.6
    Of which: wages and salaries                     96.7     99.0    101.6    103.0    104.3       106.7     106.7   106.7     108.9   111.0    113.3   115.6    117.9
                social contributions                 12.2     13.7     15.7     15.5     16.3        18.5      18.5    18.5      18.5    18.6     19.1    19.4     19.8
  Use of goods and services and grants               56.6     59.3     65.0     72.0     70.6        76.1      76.1    76.1      84.2    87.3     97.5   105.3    115.0
    Of which: Use of goods and services              20.9     21.5     23.6     25.4     26.6        26.2      26.2    26.2      28.5    30.7     32.4    34.8     37.0
              Grants                                 35.6     37.8     41.4     46.6     43.9        49.9      49.9    49.9      55.7    56.7     65.1    70.6     78.0
  Interest                                           20.7     23.3     25.6     27.3     27.1        27.6      27.5    27.6      27.1    28.7     28.8    30.0     31.7
  Subsidies                                          54.9     41.6     32.6     14.0     14.1        14.6      14.7    14.7      13.7    11.8     10.8    10.6     10.3
  Other expenses 2/                                  11.5     13.0     13.9     16.8     16.8        13.7      14.7    14.8      14.6    16.5     17.5    19.9     21.2
""
Net acquisition of nonfinancial assets               46.1     45.7     49.7      54.8    57.3        50.8      57.8    57.8      61.1    64.7     71.1    78.2        86.0
""
Net lending / borrowing (overall balance)            -60.9   -45.7    -44.9     -41.2    -41.5      -32.1     -38.0   -37.7     -33.3   -32.9    -33.4   -32.0     -30.5
Net lending / borrowing (excluding grants)           -61.3   -51.8    -58.7     -46.2    -51.2      -41.9     -47.8   -47.9     -41.4   -36.7    -34.6   -33.2     -31.7
""
""
Change in net financial worth                        -60.9    -45.7   -44.9     -41.2    -41.5      -32.1     -38.0   -37.7     -33.3   -32.9    -33.4   -32.0     -30.5
  Net acquisition of financial assets                 -3.3      0.0     -2.5      0.0       -1.5      0.0       0.0     0.0       0.0     0.0      0.0     0.0         0.0
      Domestic                                        -3.3      0.0     -2.5      0.0       -1.5      0.0       0.0     0.0       0.0     0.0      0.0     0.0         0.0
          Shares and other equity                     -3.3      0.0     -2.5      0.0       -1.5      0.0       0.0     0.0       0.0     0.0      0.0     0.0         0.0
      Foreign Loans                                    0.0      0.0     0.0       0.0       0.0       0.0       0.0     0.0       0.0     0.0      0.0     0.0         0.0
  Net incurrence of liabilities                      57.6     45.7     42.4      41.2    40.0        32.1      38.0    37.7      33.3    32.9     33.4    32.0        30.5
      Domestic                                       42.3     30.7     33.1     40.9     37.2        30.0      34.4    34.4      16.1    30.9     21.7    29.2        16.9
          Currency and Deposits                        3.2     -5.9    17.0       0.7       5.5      -8.0       5.0     2.0       1.0     1.0      1.0     1.0         1.0
          Securities other than shares               45.6     47.7     20.4     42.9     23.7        22.0      29.4    32.4      15.1    29.9     20.7    28.2        15.9
          Other accounts payable                      -6.4   -11.1      -4.2     -2.7       8.6       0.0       0.0     0.0       0.0     0.0      0.0     0.0         0.0
      Foreign Loans                                  15.2     15.0      9.3       0.3       2.8       2.2       3.6     3.3      17.1     2.0     11.8     2.8        13.7
""
""
Memorandum Item:
  Total investment (including capital transfers)     57.5     58.7     63.6     71.6    74.1          64.5    72.5    72.5       75.7    81.2    88.5    98.1      107.2
"  GDP                                               847.9    897.9    925.4    988.0 1,016.1       1,060.1 1,073.4 1,066.3    1,111.6 1,176.5 1,247.1 1,325.4    1,410.5"
""
  Sources: Ministry of Economy and Finance; and IMF staff estimates.
  1/ Refers to the macro framework for the 2nd review under PLL arrangement in EBS/17/79.
  2/ Includes capital transfers to public entities.
""
""
""
""
                                                                                                             INTERNATIONAL MONETARY FUND                         27
