V1
RWANDA
e
"Table 2b. Rwanda: Budgetary Central Government Flows, GFSM 2014 Presentation"
FY21/22-26/27'
(Percent of GDP)
2021/22                  2022/23                  2023/24                2024/25               2025/26              2026/27
6threv. Prelim. 6threv. Proj.      6threv. Proj. 6threv. Proj. 6threv. Proj. 6threv. Proj.
Revenue                                                                                       25.3        25.9        24.6        23.6         22.9       22.9       23.2      23.2       24.1       23.8      24.2       24.1
Taxes                                                                                                                                             15.7             15.7              15.4              15.9               15.9           16.0            16.5           16.5             17.3           17.2           17.5           18.0
"Taxes on income, profits, and capital gains                               7.0        7.1         6.7        6.9         6.8       6.9        7.0       7.0        7.3       7.3       7.6       7.8"
Taxes on property                                                                  0.2         0.1          0.2          0.3          0.3        0.3         0.3        0.3         0.3        0.3        0.3        0.3
Taxes on goods and services                                                     73         7.3          7.2          74          Te        7.3         7.5        75         7.8        78        7.8        8.0
Taxes on international trade and transactions                                1.1          1.1          1.3          1.3           1.5         1.6         17        17         19        1.9        19        2.0
Grants                                                                                              59)          6.9           6.6           5.2           44         44          4.1         4.2          4.0         4.1         3.9         3.8
Other revenue                                                                                  Ht          3.3           25           2.5           2.6         2.5          27         2.5          2.8         2.5         2.8         24
of which PKO                                                                                      1.5           1.2            1.4            1.3             1.3          1.2           1.2          11           11           11           1.0          1.0
of which CCRT                                                                               0.3           0.2             --             --              --           --            --           --            --           --           --           --
Expense                                                                                                                             20.6           20.6            19.3            20.2             18.2          18.6           18.4         18.1           18.1          17.1          18.0          17.0
Compensation of employees                                                     27         2.6          27          2.6          28        27         29        28         2.9        2.9        3.0        3.0
Use of goods and services                                                        5.6         5.7          5.2          5.1           47        48         47        47         47        43        47        43
of which: Covid-19 spending                                                                 15            1.5              --              --               --             --             --            --           0.0          0.0          0.0          0.0
of which: Vaccine                                                                                     1.2             13               --               --                --              -              --             --            0.0           0.0           0.0           0.0
of which: PKO                                                                                        15            1.5             14             1.3              1.3           1.2            1.2          1.1            1.1           1.1           1.0           1.0
of which: SDR allocation (2021)                                                      0.4          0.4
Interest                                                                                                                                           2.0                1.8                 2.2                 2.3                  2.2              2.2               2.2              1.8               2.1               17              2.1               1.5
To nonresidents                                                            0.7        0.6         0.8         0.8         0.8        0.8        08       0.8        0.8       0.8       0.8       08
To residents other than general government                             1.3         1.3          1.4          1.5          1.3         1.3         1.3        1.0         ie        0.9        1.3        0.7
Subsidies                                                                                     3.2          3.2           2.2           2.1            1.8         1.8          1.7         1.7          1.5         1.4         1.5         1.4
of which: Rwandair                                                                                   2.2            2.2             1.3             1.3              11           11            0.9          0.8           0.8          0.7          0.8          0.7
of which: Export Promotion                                                                      09            0.9            0.8            0.8             08           0.8           0.7          0.7           0.7          0.7          0.7          0.7
Grants                                                                                          EHS          5.5           5.8           6.8           ie         6.0          eS         5.7          LS         5.5         5.4         5.5
To EBUs                                                                       0.3        0.3         0.4         0.4         0.4        0.4        0.5       0.5        0.5       0.5       0.5       0.5
Current                                                                                    0.3          0.2           0.3           0.3           0.3         0.3          0.3         0.3          0.3         0.3         0.3         0.3
of which compensation of employees                                          0.2          0.2           0.2           0.2           0.2         0.2          0.2         0.2          0.2         0.2         0.2         0.2
Capital                                                                                     0.1          0.1           0.1           0.1            0.2         0.2          0.2         0.2          0.2         0.2         0.2         0.2
To Local Government                                                       5.2         5.2         5.4         6.4          31        5.5        5.0       5.2        5.0        5.0       49        5.0
Current                                                                                    41          41           4.0           47           39         43          3.8        4.0          3.8         3.9         3.8         3.9
of which compensation of employees                                               2.5           2.6            2.7            3.2             2.5          2.9           2.3         2.7           2.1          2.5          2.0          2.4
Capital                                                                                     1.1           1.1           14           1.6            1.2         1.3          1.1         1.2          1.1          1.2         11          1.2
Social benefits                                                            0.5        0.5        0.3        0.3         0.3       0.3        0.4      0.4       0.4       0.3       0.4       0.4
Other expense                                                                                       1.0           1.2            0.9            0.9            0.9          0.9           1.1          1.0           1.0          0.9          1.0          09
Net acquisition of nonfin. assets                                                   12.4        11.6        11.0        10.3           9.6         9.9         95 10.1          9.6        9.9        9.6 10.2
Foreign financed                                                                    59)         49          )          5.5          vil        5.9         43        5.0         pal         5.6        47        5.1
of which: Covid-19 spending                                                     0.3          0.3          0.2          0.2            --          --           --          --           --          --          --          --
