V1
REPUBLIC OF ARMENIA
""
""
""
"                             Table 4b. Armenia: Central Government Operations, 2016–23"
"                                                 (In percent of GDP, unless otherwise specified)"
""
                                                                             2016          2017         2018         2019       2020        2021       2022       2023
                                                                              Act.         Act.          Act.        Proj.      Proj.       Proj.      Proj.      Proj.
""
     Total revenue and grants                                                 21.4         21.2          21.7         22.6       22.8        22.8       22.9       23.2
      Total revenue                                                           20.9         21.0          21.5         22.0       22.5        22.6       22.8       23.1
        Tax revenues                                                          20.1         20.2          20.6         21.0       21.3        21.5       21.7       21.9
         VAT                                                                   6.8          7.0           7.3          7.0        7.3         7.3        7.3        7.6
"         Profits, simplified and presumptive                                   2.6          2.0           2.8          2.6        2.6         2.6        2.6        2.6"
         Personal income tax                                                   6.5          6.1           5.9          6.1        6.3         6.3        6.3        6.3
         Customs duties                                                        1.1          1.3           1.3          1.4        1.2         1.1        1.1        0.8
         Other                                                                 3.2          3.7           3.2          3.8        3.9         4.1        4.3        4.6
        Social contributions                                                   0.3          0.3           0.3          0.2        0.4         0.4        0.4        0.4
        Other revenue                                                          0.5          0.5           0.6          0.8        0.7         0.7        0.7        0.7
      Grants                                                                   0.6          0.2           0.2          0.6        0.3         0.2        0.2        0.1
""
     Total expenditure                                                        27.0         26.0          23.5         25.2       24.9        24.7       24.7       25.0
      Expense                                                                 23.9         22.0          21.2         21.8       21.0        20.6       20.2       19.8
        Wages                                                                  6.0          5.4           5.1          5.2        5.0         4.8        4.7        4.6
        Social Contributions                                                   0.0          0.0           0.0          0.0        0.0         0.0        0.0        0.0
        Payments to individual pension accts.                                  0.5          0.2           0.5          0.9        0.9         0.8        0.8        0.8
        Subsidies 1/                                                           0.3          0.0           0.4          0.4        0.4         0.4        0.4        0.4
        Interest                                                               1.9          2.2           2.3          2.4        2.2         2.5        2.4        2.2
        Social allowances and pensions                                         7.5          7.1           7.0          6.9        6.9         6.8        6.8        6.8
          Pensions/social security benefits                                    4.9          4.8           4.9          4.7        4.8         4.7        4.8        4.9
          Social assistance benefits                                           2.5          2.3           2.1          2.2        2.1         2.1        2.0        1.9
            Employer social benefits                                           0.0          0.0           0.0          0.0        0.0         0.0        0.0        0.0
        Goods and services 2/                                                  2.4          1.9           2.1          1.6        1.6         1.7        1.7        1.8
        Grants                                                                 2.0          2.0           1.9          1.5        1.5         1.5        1.6        1.6
        Other expenditure 3/                                                   3.2          3.2           2.0          2.9        2.5         2.0        1.8        1.7
      Transactions in nonfinancial assets                                      3.2          4.0           2.3          3.4        3.9         4.1        4.5        5.2
        Acquisition of nonfinancial assets                                     3.3          4.0           2.3          3.4        3.9         4.1        4.5        5.2
        Disposals of nonfinancial assets                                       0.1          0.0           0.1          0.0        0.0         0.0        0.0        0.0
""
     Overall balance (above-the-line)                                         -5.6          -4.8         -1.8         -2.5        -2.1       -1.9       -1.8        -1.8
     Statistical discrepancy                                                  -1.1          -0.1          0.5          0.0         0.0        0.0        0.0         0.0
     Overall balance (below-the-line)                                         -6.7          -4.9         -1.3         -2.5        -2.1       -1.9       -1.8        -1.8
""
     Financing                                                                 5.9           4.9          1.3          2.5         2.1        1.9        1.8         1.8
       Domestic financing                                                      2.0           1.6          0.7          0.5         4.2        1.0        0.1         0.5
        Banking system                                                         2.9           1.4          0.7          1.0         5.0        1.0        0.1         0.6
          CBA                                                                 -0.8           0.3         -0.5          0.4        -0.2       -0.3        0.0         0.0
          Commercial Banks                                                     3.7           1.1          1.2          0.6         5.2        1.3        0.1         0.6
        Nonbanks                                                              -0.8           0.1          0.0         -0.5        -0.8        0.0        0.0        -0.1
          Privatization proceeds                                               0.0           0.0          0.0          0.0         0.0        0.0        0.0         0.0
          T-Bills/other                                                       -0.3          -0.1         -0.2         -0.1        -1.0       -0.2        0.0        -0.1
          Promissory note/other                                                0.0          -1.7          0.0          0.0         0.0        0.0        0.0         0.0
          Net lending                                                         -0.6           1.9          0.2         -0.4         0.2        0.3        0.0         0.0
      External financing                                                       3.8           3.4          0.6          2.1        -2.1        0.9        1.7         1.3
       Amortization due                                                       -0.7          -0.9         -1.1         -1.2        -4.9       -1.4       -1.4        -1.3
       Net lending                                                            -1.0          -0.8         -0.8         -0.9        -0.9       -0.9       -0.8        -0.8
      Other financing 4/                                                       0.9           0.0          0.0          0.0         0.0        0.0        0.0         0.0
     Memorandum items:
"      Nominal GDP (in billion of drams)                                      5,067        5,569        6,003        6,549       7,102      7,745       8,437      9,169"
      Program balance 5/                                                       -8.1         -3.6         -2.6         -3.0        -2.8       -2.5        -2.6       -2.6
      Primary balance 6/                                                       -5.2         -1.5         -0.1         -1.4        -0.6        0.0        -0.2       -0.4
""
"     Sources: Ministry of Finance, Central Bank of Armenia, and Fund staff estimates and projections."
"     1/ In 2016, an additional subsidy of AMD 2 billion is assumed to cover the electricity tariff differential for households and SMEs."
"     2/ Changes in expense on goods and services relative to the Third Review reflect classification issues. In particular, spending on education which was previously"
     reflected in “other expenditure” is now classified under “goods and services.”
     3/ Includes acquisition of military equipment.
     4/ EFSD financing ($100 million in 2015-17).
     5/ The program balance is measured as below-the-line overall balance minus net lending.
"     6/ Sum of overall balance (above the line), interest expense, and domestic and external net lending."
""
""
""
""
34       INTERNATIONAL MONETARY FUND
