V1
                                                                                                                                                                           REPUBLIC OF CONGO
""
""
""
""
"                         Table 2a. Republic of Congo: Central Government Operations, 2020–26"
                                                   (Billions of CFA francs)
""
""
                                                                          2020            2021          2021           2021      2022              2022          2023            2024    2025    2026
""
                                                                           Est.         Rev. Budget    2021 AIV         Proj.   Budget                                   Proj.
""
""
"Total Revenue and Grants                                                     1,320           1,582          1,581     1,669         1,836         1,847         1,862         1,995      2,022   2,031"
"    Revenue                                                                  1,221           1,567          1,566     1,607         1,799         1,809         1,820         1,951      1,967   1,971"
"      Oil revenue                                                                651             950           945      999         1,060          1,076        1,029         1,094      1,022    930"
              of which: repayment of oil-prepurchased debt                        82              …             85        83             …           77            90               77     97      76
"      Non-oil revenue                                                            570             617           621      608             739         734           791            857      945    1,041"
         Direct taxes                                                            200             202           211      231             282         267           288             315     346     381
         Taxes on goods and services                                             255             268           269      241             295         305           327             342     376     409
         Customs Receipts                                                        103             110           106      110             124         124           136            159      180     205
         Non-tax revenue                                                          12              36            35        27             38          38            40               42     44      46
    Grants                                                                       100              15            15        61             37          37            42               44     55      60
"Expenditure and Net Lending                                                  1,393           1,451          1,477     1,574         1,661         1,649         1,762         1,836      1,991   2,102"
"    Current expenditure                                                      1,179           1,179          1,232     1,355         1,332          1,309        1,386         1,444      1,547   1,613"
      Wages                                                                      352             370           370      370             379         379           398            426      458     495
      Other primary current expenditure                                          688             637           717      795             739         739           776            804      875     896
        Goods and services                                                       157             143           174      227             187         190           203            202      230     244
        Transfers                                                                473             432           483      483             487         487           509             537     576     582
"             Social Transfers (Lisungi, COVID-19 and others)                      80              86            86        86            186         104           119             134     149     167"
             Traditional transfers                                               274              …            275      275             162         244           261             285     285     291
             Oil-related transfers                                                82              …             85        83             77          77            90               77     97      76
        Common charges                                                            58              62            60        85             65          62            64               66     68      70
      Annex budgets and special Accounts1                                         60              42            46        35             42          42            43               43     43      43
      Interest                                                                    80             130            99      155             172         148           169             170     170     179
             Domestic                                                             35              …             33        87             …           58            95             109     120     140
             External                                                             45              …             67        67             …           90            74               62     51      39
              of which: COVID-19 Moratorium Loan (interest)                        0              …               1        2             …             2            2                2      1       0
              of which: on oil-prepurchased debt                                   2              …             22        22             …           48            34               22     11       0
    Capital expenditure                                                          214             272           244      219             329         340           376            392      443     489
      Domestically financed                                                      119             147           131      131             161         161           175             183     220     278
      Externally financed                                                         95             124           113        87            168         179           201             209     224     211
                              2
Non-oil primary balance                                                      -644             -689          -741       -749          -713          -730          -760            -765    -820    -821
                                     3
Basic non-oil primary balance                                                -649             -580          -643       -723          -582          -588          -601            -600    -651    -670
    - excluding oil-related transfers4                                       -566             -580          -557       -640          -582          -511          -511            -523    -554    -594
Primary balance                                                                    7             261           204      250             347         346           269             329     202     109
"Overall balance, payment order basis"
     Excluding grants                                                        -172                116            90        34            138         160            58             115     -23    -131
     Including grants                                                             -73            131           105        95            175         198           100             159      31     -71
Adjustment to cash basis                                                          29               0              0        0              0            0            0                0      0       0
"Overall balance, cash basis                                                       -44            131           105        95            175         198           100             159      31     -71"
Financing                                                                         44          -131          -105         -95         -583          -421          -318            -298     -31      71
    Foreign (net)                                                                 48          -241          -251       -183          -310          -373          -288            -242    -179     -26
       Drawings                                                                   76           109           126        127           131           142           159             165     169     151
       COVID-19 Moratorium Loan                                               149                …            96         89             …             0             0               0       0       0
      Amortization (paid)                                                    -468             -351          -473       -399          -441          -515          -447            -407    -348    -177
       of which: COVID-19 Moratorium Loan (principal and interest)              0                …             0          0             …            52            64              63      17      17
       of which: on oil-prepurchased debt                                         -18             …         -115       -114              …         -239          -216            -196    -183       0
      Other foreign financing                                                      82             …            0          0              …            0             0               0       0       0
    Domestic (net)                                                                 -5            110           146        88         -273            -48          -30             -56     148      97
      Banking system (net)                                                       318             427         288        188             119         103           103             -15     208     203
       Central bank                                                              113              33        -145       -195             119          55          -162            -126     -74    -157
        of which: Use of SDR Allocations                                           …               …           …         33               …         120             …               …       …       …
       Commercial banks                                                       206              394           432        384             …            48           265             112     282     360
