V1
ARGENTINA
""
""
""
""
                                               Table 4. Argentina: Federal Government Operations
                                                                                                    2nd rev     2nd rev                                              Proj.
                                                                               2016        2017     2018         2019          2018         2019          2020       2021         2022         2023         2024
                                                                                                                          (Billions of Argentine pesos)
" Revenues                                                                   2,180.9      2,754.8      3,746.1     5,216.5      3,690.7       5,320.8      6,920.6     8,405.1      9,747.5    10,828.2     11,958.3"
"    Tax revenues                                                            1,528.3      1,874.4      2,592.3     3,671.6      2,504.8       3,661.8      4,908.1     5,948.1      6,810.9     7,511.0      8,346.3"
"    Social security contributions                                             558.1        727.3        924.9     1,175.3        901.9       1,218.1      1,548.9     1,933.5      2,361.4     2,673.5      2,910.8"
    Nontax revenues                                                            94.6        153.2        228.9       369.7        284.0         440.8        463.6       523.5        575.2       643.7        701.2
" Primary expenditures                                                       2,524.5      3,159.0      4,123.6     5,215.0      4,065.0       5,326.3      6,671.5     8,091.9      9,390.8    10,369.4     11,391.1"
"    Federal expenditures                                                    1,835.0      2,232.8      2,851.7     3,588.7      2,832.8       3,640.9      4,399.4     5,276.1      6,143.6     6,809.5      7,436.1"
"       Wages 1/                                                               316.8        401.0        504.1       668.3        498.7         664.6        804.4       937.2      1,079.9     1,200.3      1,298.0"
       Goods and services 1/                                                   91.8        121.3        127.0       154.3        146.2         161.8        186.7       220.2        249.3       270.9        287.7
"       Pensions                                                               734.7      1,022.5      1,310.4     1,780.3      1,291.7       1,848.8      2,447.9     2,965.7      3,460.1     3,834.4      4,208.5"
"       Current transfers to private sector                                    511.0        507.1        687.0       769.6        654.5         767.7        693.8       813.0        937.2     1,012.3      1,119.3"
"          Social assistance                                                   219.9        282.0        379.8       482.5        373.3         480.2        613.6       725.6        839.2       927.0      1,008.0"
             Of which: social spending under the program 2/                   108.2        141.6        182.2       235.3        184.9         290.0        383.0       460.9        538.4       599.9        662.0
          Energy 3/                                                           209.2        125.7        201.4       200.4        177.9         202.8         44.3        66.7         75.2        61.1         85.7
          Transport                                                            80.2         90.5        103.0        83.0        102.1          82.7         35.9        20.6         22.8        24.3         25.6
          Other                                                                 1.7          9.6          2.8         3.7          1.2           2.0          0.0         0.0          0.0         0.0          0.0
       Capital spending                                                       117.8        121.1        150.1       166.2        182.9         157.6        223.4       277.8        344.5       410.2        433.9
       Other current primary spending                                          62.8         59.7         73.1        50.0         58.8          40.4         43.3        62.2         72.5        81.4         88.6
"    Transfers to provinces                                                    689.5        926.2      1,271.8     1,626.2      1,232.1       1,685.4      2,272.1     2,815.8      3,247.2     3,559.9      3,955.1"
"       Automatic                                                              551.6        756.8      1,120.0     1,496.5      1,074.7       1,564.3      2,175.3     2,691.4      3,102.1     3,397.0      3,777.8"
       Discretionary                                                          137.8        169.5        151.8       129.7        157.4         121.1         96.7       124.4        145.1       162.8        177.3
          Capital                                                              64.3         86.8         53.4        46.3         78.2          38.3         50.9        62.2         72.5        81.4         88.6
          Current                                                              73.6         82.7         98.4        83.4         79.3          82.7         45.8        62.2         72.5        81.4         88.6
  Primary balance                                                            -343.5       -404.1       -377.5         1.6       -374.3          -5.5        249.1       313.2        356.7       458.8        567.1
     Interest cash (net of ANSES and public sector)                           131.3        224.9        393.8       600.0        388.9         490.0        594.2       739.4        808.3       843.6        886.8
  Overall balance                                                            -474.8       -629.0       -771.3      -598.4       -763.2        -495.4       -345.1      -426.2       -451.6      -384.8       -319.7
""
 Memorandum items:
" Capital spending, including capital transfers to provinces                   182.0        207.9        203.5        212.5        261.0        196.0        274.3       340.0        417.1        491.6       522.5"
 Arrears and advances                                                         -33.0         15.0         10.0          0.0         10.0          0.0          0.0         0.0          0.0          0.0         0.0
" Primary balance, accrual basis                                              -310.5       -419.1       -387.5          1.6       -384.3         -5.5        249.1       313.2        356.7        458.8       567.1"
" Overall balance, accrual basis                                              -441.8       -644.0       -781.3       -598.4       -773.2       -495.4       -345.1      -426.2       -451.6       -384.8      -319.7"
 Structural primary balance                                                  -394.9       -424.2       -253.6        244.2       -266.6        227.5        529.3       602.1        613.6        639.8       657.2
""
                                                                                                                               (Percent of GDP)
""
 Revenues                                                                      26.5         25.9         26.7         28.1         25.3         26.4         27.2        27.0         26.9         26.6        27.0
    Tax revenues                                                               18.6         17.6         18.4         19.8         17.2         18.2         19.3        19.1         18.8         18.5        18.8
    Social security contributions                                               6.8          6.8          6.6          6.3          6.2          6.0          6.1         6.2          6.5          6.6         6.6
    Nontax revenues                                                             1.1          1.4          1.6          2.0          1.9          2.2          1.8         1.7          1.6          1.6         1.6
 Primary expenditures                                                          30.7         29.7         29.3         28.1         27.9         26.4         26.2        26.0         25.9         25.5        25.7
    Federal expenditures                                                       22.3         21.0         20.3         19.3         19.4         18.0         17.3        17.0         16.9         16.7        16.8
       Wages 1/                                                                 3.9          3.8          3.6          3.6          3.4          3.3          3.2         3.0          3.0          2.9         2.9
       Goods and services 1/                                                    1.1          1.1          0.9          0.8          1.0          0.8          0.7         0.7          0.7          0.7         0.6
       Pensions                                                                 8.9          9.6          9.3          9.6          8.9          9.2          9.6         9.5          9.5          9.4         9.5
       Current transfers to private sector                                      6.2          4.8          4.9          4.1          4.5          3.8          2.7         2.6          2.6          2.5         2.5
          Social assistance                                                     2.7          2.6          2.7          2.6          2.6          2.4          2.4         2.3          2.3          2.3         2.3
             Of which: social spending under the program 2/                     1.3          1.3          1.3          1.3          1.3          1.4          1.5         1.5          1.5          1.5         1.5
          Energy 3/                                                             2.5          1.2          1.4          1.1          1.2          1.0          0.2         0.2          0.2          0.2         0.2
          Transport                                                             1.0          0.9          0.7          0.4          0.7          0.4          0.1         0.1          0.1          0.1         0.1
          Other                                                                 0.0          0.1          0.0          0.0          0.0          0.0          0.0         0.0          0.0          0.0         0.0
       Capital spending                                                         1.4          1.1          1.1          0.9          1.3          0.8          0.9         0.9          0.9          1.0         1.0
       Other current primary spending                                           0.8          0.6          0.5          0.3          0.4          0.2          0.2         0.2          0.2          0.2         0.2
    Transfers to provinces                                                      8.4          8.7          9.0          8.8          8.5          8.4          8.9         9.1          9.0          8.7         8.9
       Automatic                                                                6.7          7.1          8.0          8.1          7.4          7.8          8.5         8.7          8.6          8.3         8.5
       Discretionary                                                            1.7          1.6          1.1          0.7          1.1          0.6          0.4         0.4          0.4          0.4         0.4
          Capital                                                               0.8          0.8          0.4          0.2          0.5          0.2          0.2         0.2          0.2          0.2         0.2
          Current                                                               0.9          0.8          0.7          0.4          0.5          0.4          0.2         0.2          0.2          0.2         0.2
  Primary balance                                                              -4.2         -3.8         -2.7          0.0         -2.6          0.0          1.0         1.0          1.0          1.1         1.3
     Interest cash (net of ANSES and public sector) 4/                          1.6          2.1          2.8          3.2          2.7          2.4          2.3         2.4          2.2          2.1         2.0
  Overall balance                                                              -5.8         -5.9         -5.5         -3.2         -5.2         -2.5         -1.4        -1.4         -1.2         -0.9        -0.7
""
 Memorandum items:
" Capital spending, including capital transfers to provinces                      2.2          2.0         1.4          1.1          1.8            1.0        1.1          1.1          1.1          1.2         1.2"
