V1
BOSNIA AND HERZEGOVINA
"Table 5c. Federation of BiH: Statement of Central Government Operations, 2017-25"
(KM million)
2017        2018          2019 2020 2021           2022 2023 2024 8 2025
Est.                                          Proj.
"Revenue                                    1,908 1,871    1,879 3,658 3,803 3,968 4299 4512 4,726"
"Taxes                                                                                                               1,600 1,669            1,681            1503 1,555 1623 1,853 1,956 2,027"
Direct taxes                                                                              76             85               99               72             73             80             88            99           104
"Indirect taxes                                                                  1524 1,584         1,582         1431 1,482 1,543 1,766 1,856 1,922"
Other taxes                                                                                 0                0                 0                 0               0               0               0               0               0
"Social security contributions                                                     0               0                0         1,948 2,029 2,118 2212 2316 2434"
Grants                                                                                        65             51               39              42            47            48            48            49            50
For budget support                                                        0             0               0               3             0            0             0            0             0
For investment projects                                          65          51            39           39         47         48         48         49          50
Other revenue                                242     151     159     165    173    179    185    192    215
"Expenditure                                                                                                    1,658 1,718          1,631           4,307 4423 4,341 4484 4611 4,777"
"Expense                                  1,372 1,558   1498 4,080 4,190 4,097 4235 4,355 4,508"
Compensation of employees                                                  219            218              234              259            270            282            294            308            324
Use of goods and services                                                     70              62                63               94           117           120           124           128           133
"Social benefits                                                                               458            471               465           2,868 2,815 2,884 2,966 3,048 3,127"
Interest                                  104     104     110     120    126    140    152    141     172
Subsidies                                                                                              132             121                121                145             211               70               73               77               81
Transfers to other general government units               326          377           412           423          448         414         431          449         471
Other expense                                                                            63            205                92             171            203           187           195           204           202
Net acquisition of nonfinancial assets                         286         160           134           227         233         244        249         256        269
Acquisition of nonfinancial assets                                  286           160            134            227          233          244          249          256          269
Foreign financed capital spending                                   271               127                  96                177             181              189             192             196            206
Domestically financed capital spending                15          33           37           50         52         55         57         60         63
Disposal of nonfinancial assets                                              0                0                 0                 0               0               0               0               0               0
Gross/net operating balance (revenue - expense)           535         313           381          -421        -387       -130           64         157         218
Net lending/borrowing (revenue - expenditure)               249          153            247          -649 -620 -373 ~~ -185           -99          -51
Net acquisition of financial assets                                         -291         -322           -168           -288 -576 -221           -32 -119 -130
Domestic assets                                                                              -171           -322            -168            -288         -576         -221             -32         -119         -130
Of which: Currency and deposits                                 104              0               0            -34        -521        -123           33           15             7
Foreign assets                                                                            -120                0                 0                 0               0               0               0               0               0
Net incurrence of liabilities                                                               -525          -484            -345              361               44            152            153             -20            -79
Domestic liabilities                                                               -170         -217              10            247          205          436          651          497          342
Of which: Debt securities                                                    -111           -217                10             248           190          425           304           244             a4
Foreign liabilities                                                                  -355         -267          -355            114        -161         -284        -498        -517        -421
Loans                                                                                -355         -267          -355            114        -161         -284        -498        -517        -421
Drawings                                                                                206            271                 73              566           284           141            144           147           156
For budget support                                                               0              195                  15               427             150                  0                  0                 0                  0
For investment projects                                                 206                76                  58               139             134             141             144             147             156
Amortization                                                               561           537            428            452          446         425          642          664          578
Other accounts payable                                                0             0              0              0            0            0            0            0            0
Statistical discrepancy                            -15      8     -70       0      0      0      0      0      0
Memorandum items
Net lending exc externally-financed operations            455            229             305           -510         -486         -232            -42             48           105
Sources: BiH authorities; and IMF staff estimates and projections.
Note: Central government includes pension fund since 2020.
34 INTERNATIONAL MONETARY FUND
