V1
                                                                                                                                         SURINAME
""
""
""
                                 Table 4. Suriname: Central Government Operations
                                                  (Percent of GDP)
                                                                                                                        Proj.
                                                                 2016     2017        2018       2019     2020     2021         2022    2023    2024
Revenues                                                           18.9     22.0      23.9       25.4     24.9      24.9        26.3    26.2    26.0
 Taxes                                                             13.3     14.7      16.1       17.5     17.1      17.2        18.7    18.8    18.6
  Direct taxes                                                      6.3      8.3       8.5        9.3      9.5       9.7         9.6     9.5     9.3
  Of which: mineral taxes                                           2.2      2.9       4.0        4.0      4.1       4.4         4.2     4.1     3.9
  Indirect taxes                                                    7.0      6.4       7.6        8.2      7.6       7.4         9.1     9.2     9.3
 Grants                                                             0.0      0.0       0.0        0.0      0.0       0.0         0.0     0.0     0.0
 Other revenues                                                     5.6      7.3       7.8        7.9      7.8       7.8         7.5     7.4     7.3
  Of which:
  Mineral resource revenues                                         2.9        4.5      4.3        3.9      3.8         3.8       3.5     3.4     3.3
  Interest receipts                                                  …         0.7      0.3        0.0      0.0         0.0       0.0     0.0     0.0
""
Expenditures                                                       28.0     30.9      31.0       34.0     33.8      33.2        32.7    33.8    33.5
 Primary expenditures                                              25.4     26.6      27.1       30.2     29.9      29.1        28.9    28.8    28.7
   Compensation of employees                                        8.2      8.0       9.4       10.1      9.6       9.4         9.4     9.4     9.4
   Other primary current expenditure                               14.1     13.7      13.1       15.5     15.2      14.7        14.7    14.6    14.5
   Net acquisition of nonfinancial assets                           3.0      4.8       4.6        4.6      5.1       4.9         4.8     4.8     4.8
 Interest                                                           2.6      4.3       3.9        3.7      3.9       4.1         3.8     5.0     4.8
    Domestic                                                        0.8      2.4       1.3        1.6      1.7       1.7         1.4     2.6     2.3
    Foreign                                                         1.8      1.1       2.7        2.1      2.3       2.4         2.4     2.4     2.5
Statistical discrepancy                                             0.0      0.0       0.0        0.0      0.0       0.0         0.0     0.0     0.0
Overall balance (net lending/borrowing) 1/                         -9.1     -8.8      -7.1       -8.6     -8.9      -8.2        -6.4    -7.6    -7.5
 Of which: primary balance                                         -6.5     -5.3      -3.5       -4.8     -5.0      -4.1        -2.7    -2.6    -2.7
""
Net financial transactions                                         -9.1     -8.8       -7.1       -8.6     -8.9     -8.2         -6.4    -7.6    -7.5
Net acquisition of financial assets 2/                             13.2      0.3      -11.9        0.0      0.0      0.0          0.0     0.0     0.0
Net incurrence of liabilities                                      22.3      9.1       -4.8        8.6      8.9      8.2          6.4     7.6     7.5
 Domestic                                                         -11.1      5.9        8.3        2.8      2.8      2.7          2.3     2.6     2.6
      Central bank                                                 -2.1      2.2       -0.6        2.8     -0.2     -0.1         -0.1    -0.1    -0.1
      Claims on government                                         -0.4     -0.3        0.0        2.3      0.0      0.0          0.0     0.0     0.0
      Liabilities to government                                     1.7     -2.5        0.6       -0.4      0.2      0.1          0.1     0.1     0.1
      Commercial banks                                              2.1      3.6        0.2        0.0      1.0      1.0          1.4     1.7     1.7
      Other domestic                                              -10.5      0.1        8.7        0.0      2.0      1.8          1.0     1.0     1.0
     Arrears                                                       -0.5     -0.9       -3.8        0.0      0.0      0.0          0.0     0.0     0.0
      Accumulation of arrears                                       2.3      2.0        0.2        0.0      0.0      0.0          0.0     0.0     0.0
      Payment of arrears                                           -2.9     -2.9       -4.0        0.0      0.0      0.0          0.0     0.0     0.0
 Foreign                                                           18.9      7.4        1.4        5.8      6.1      5.5          4.2     5.0     4.9
      Amortizations                                                 5.7      1.7        4.0        2.5      2.5      2.6          2.6     2.8     3.1
      Disbursements                                                24.6      9.1        5.4        8.3      8.5      8.1          6.8     7.8     7.9
""
Memorandum items:
 Primary cash balance                                              -7.0      -6.9      -7.7       -4.8     -5.0     -4.1         -2.7    -2.6    -2.7
 Electricity tariff subsidy financed through the budget             1.9      4.3        4.8       4.5       4.2      3.8          3.7     3.6     3.5
 Mineral resource revenues                                          5.1      7.4        8.3       7.9       7.9      8.1          7.7     7.5     7.2
 Non-resource balance                                             -14.2    -16.2      -15.4     -16.5     -16.9    -16.3        -14.2   -15.2   -14.8
 Non-resource primary balance                                     -11.5    -12.7      -11.8     -12.7     -12.9    -12.2        -10.4   -10.2   -10.0
 Public (central government) debt 3/                               76.1     74.6       72.1      72.3      74.6     79.5         79.5    83.8    87.4
""
Sources: Surinamese authorities; and IMF staff calculations and projections.
"1/ The overall balance is computed using net financial transactions, and therefore, includes statistical discrepancy."
2/ Includes acquisition of stake in gold mine and loans to state owned enterprises.
3/ The debt-to-GDP ratio is different when computed using the definition in the Government Debt Act of Suriname.
""
""
""
""
                                                                                               INTERNATIONAL MONETARY FUND                       31
