V1
JAMAICA
""
""
""
                          Table 2a. Jamaica: Summary of Central Government Operations
                                           (In millions of Jamaican dollars)
""
                                                                                                             Projections
                                                     2019/20   2020/21   2021/22   2022/23   2023/24   2024/25       2025/26   27       2027/28
""
"Budgetary revenue and grants                         649,759   575,404   720,224   760,306   817,106   869,245       928,577   994,088      1,066,396"
" Tax                                                 579,397   505,685   616,368   682,062   733,147   779,929       833,164   892,163        957,514"
   Of which:
"     Income and profits                              159,726   161,428   180,183   195,849   206,154   219,309       234,278   252,398       274,081"
"       Of which: Other companies                      68,283    66,049    73,311    81,719    87,688    93,283        99,650   108,581       118,313"
"       Of which: PAYE                                 66,670    67,956    76,661    80,454    82,330    87,584        93,562    99,948       108,906"
"     Production and consumption                      200,644   171,980   198,231   220,967   237,107   252,236       269,453   287,845       307,493"
"       Of which: GCT (Local)                         109,304    91,192   107,799   120,163   128,939   137,167       146,530   156,531       167,216"
"     International Trade                             214,810   168,130   232,559   259,233   278,167   295,917       316,115   337,693       360,742"
"       Of which: GCT (Imports)                        92,498    76,074   101,902   113,589   121,886   129,664       138,514   147,969       158,068"
" Non-tax                                              65,705    62,539    93,736    66,876    71,760    76,339        81,550    87,116        93,063"
" Grants                                                4,657     7,180     7,659     6,460     6,932     7,374         7,877     8,415         8,990"
""
"Budgetary expenditure                                630,354   635,911   698,895   752,800   809,051   860,381       881,231   909,875       976,732"
" Primary expenditure                                 498,867   506,873   561,848   609,599   666,866   716,506       753,017   802,358       874,429"
"   Compensation of employees                         211,618   222,996   241,751   305,433   338,852   369,338       394,548   421,064       448,323"
"     Wage and salaries                               195,936   207,912   222,680   282,137   313,855   339,791       362,984   387,379       412,457"
"     Employer contributions                           15,681    15,084    19,071    23,296    24,997    29,547        31,564    33,685        35,866"
"   Programme expenditure                             216,857   234,693   269,587   239,099   240,804   251,899       257,465   273,501       300,575"
"   Capital expenditure                                70,393    49,184    50,510    65,067    87,210    95,269       101,004   107,792       125,530"
" Interest                                            131,487   129,038   137,048   143,201   142,185   143,875       128,214   107,517       102,303"
"   Domestic                                           47,596    50,339    54,712    64,936    64,083    63,968        51,489    45,183        44,295"
"   External                                           83,891    78,699    82,336    78,265    78,102    79,907        76,726    62,334        58,008"
""
"Budget balance                                        19,405   -60,507    21,329     7,506     8,055     8,864        47,346    84,213        89,665"
" Of which: Primary budget balance                    150,892    68,530   158,377   150,707   150,240   152,739       175,560   191,730       191,968"
""
"Public entities balance                                1,123    -9,000         0         0         0            0          0           0             0"
""
"Public sector balance                                 20,528   -69,507    21,329     7,506     8,055     8,864        47,346    84,213        89,665"
"Gross financing needs 1/                             237,700   143,642   113,547   143,877   177,748   287,718       111,541   113,159       128,984"
""
"Gross financing sources 1/                           237,827   143,642   113,547   143,877   177,748   287,718       111,541   113,159       128,984"
" Domestic                                             72,894    76,553    45,419    57,551    71,099   111,087        44,617    45,263        51,593"
" External                                            134,239    37,627    68,128    86,326   106,649   172,631        66,925    67,895        77,390"
""
Memorandum items:
"Nominal GDP (billion J$)                               2,121     1,949     2,322     2,588     2,777         2,955     3,156     3,369         3,594"
"Public sector debt (FRL definition, billion J$) 2/     1,999     2,138     2,188     2,177     2,164         2,187     2,204     2,158         2,137"
Sources: Jamaican authorities and Fund staff estimates and projections.
1/ Gross financing needs and sources are for the central government.
"2/ Consolidated central government and public bodies' debt, consistent with the Fiscal Responsibility Law."
""
""
""
""
28      INTERNATIONAL MONETARY FUND
