V1
REPUBLIC OF KOSOVO
""
""
""
""
"                               Table 3. Kosovo: Consolidated Government Budget, 2017–2025   "
"                                        (Excluding donor designated grants, percent of GDP)"
                                                                         2017        2018              2019                      2020                  2021                   2022            2023       2024       2025
""
                                                                                                                               Draft
                                                                         Act.         Act.         Budget     Proj. 4/                   Proj.      MTEF     Proj.        MTEF        Proj.      Proj.      Proj.      Proj.
                                                                                                                             Budget
""
Revenue and grants                                                         26.2          26.1        27.4         26.5         26.9      24.4        27.2      25.5        28.6       25.5       25.5       25.5       25.6
 Revenue                                                                   26.2          26.1        27.2         26.3         26.7      24.0        27.0      25.5        28.5       25.5       25.5       25.5       25.6
  Taxes                                                                    23.3          23.2        24.3         23.3         23.7      21.1        24.2      22.5        25.6       22.5       22.4       22.4       22.5
    Direct taxes                                                            3.7           4.0         4.0          4.1          4.2       3.3         4.1       3.9         4.4        3.9        3.9        3.9        3.9
         Personal income tax                                                2.1           2.3         2.3          2.3          2.3       2.0         2.3       2.4         2.4        2.4        2.4        2.4        2.4
         Corporate income tax                                               1.2           1.3         1.3          1.3          1.3       0.9         1.3       1.1         1.4        1.1        1.1        1.1        1.1
         Property tax                                                       0.3           0.4         0.4          0.4          0.4       0.3         0.5       0.3         0.5        0.3        0.3        0.4        0.4
         Other                                                              0.1           0.1         0.1          0.1          0.1       0.1         0.1       0.1         0.1        0.1        0.1        0.1        0.1
    Indirect taxes                                                         20.5          20.0        20.9         19.9         20.2      18.5        20.7      19.4        21.9       19.3       19.3       19.2       19.4
      VAT                                                                  11.8          11.9        12.7         11.9         12.4      10.8        12.4      11.8        13.2       12.0       12.1       12.2       12.4
      Excise                                                                6.7           6.2         6.5          6.1          6.1       6.1         6.4       6.0         6.7        6.0        5.9        5.9        6.0
      Customs                                                               2.0           1.8         1.7          1.8          1.6       1.6         1.8       1.4         1.9        1.3        1.2        1.1        0.9
      Other                                                                 0.0           0.0         0.0          0.1          0.1       0.0         0.1       0.0         0.1        0.0        0.0        0.0        0.0
