V1
          PORTUGAL
""
""
""
                                                       Table 2b. Portugal: General Government Accounts 1/
"                                                              (Percent of GDP, unless otherwise noted)"
                                                                                                                        Projections
                                                                        2014    2015    2016    2017    2018    2019         2020     2021    2022    2023
""
Revenue                                                                  44.6    43.8    43.0    43.2    43.2    43.0         42.9     42.8    42.7    42.6
 Taxes                                                                   25.2    25.4    25.1    25.1    25.0    24.9         24.8     24.8    24.7    24.6
   Taxes on production and imports                                       14.2    14.5    14.8    14.9    15.1    15.0         15.0     15.0    14.9    14.8
"   Current taxes on income, wealth, etc. and capital taxes               11.0    10.9    10.3    10.3     9.9     9.9          9.8      9.8     9.8     9.8"
 Social contributions                                                    11.8    11.6    11.7    11.7    11.7    11.6         11.6     11.6    11.5    11.5
 Grants and other revenue                                                 7.6     6.9     6.3     6.3     6.5     6.5          6.5      6.5     6.5     6.5
   Property income                                                        1.0     0.7     0.7     0.7     0.7     0.7          0.7      0.7     0.7     0.7
   Sales of goods and services                                            3.6     3.5     3.6     3.5     3.6     3.6          3.6      3.6     3.6     3.6
   Other current revenue                                                  2.0     1.8     1.6     1.7     1.7     1.7          1.7      1.7     1.7     1.7
   Capital transfers and investment grants                                1.0     0.8     0.4     0.5     0.5     0.5          0.5      0.5     0.5     0.5
""
Expenditure                                                              51.8    48.2    45.0    44.3    44.2    43.9         43.7     43.5    43.4    43.1
  Expense                                                                52.7    48.8    46.4    45.7    45.1    44.8         44.6     44.4    44.3    44.0
    Compensation of employees                                            11.9    11.3    11.3    11.1    10.8    10.8         10.6     10.6    10.6    10.5
    Use of goods and services                                             5.7     5.6     5.6     5.4     5.5     5.5          5.5      5.5     5.5     5.5
    Consumption of fixed capital                                          2.9     2.9     2.8     2.9     2.9     2.9          2.9      2.9     2.9     2.9
    Interest                                                              4.9     4.6     4.2     3.9     3.7     3.5          3.4      3.3     3.3     3.1
    Subsidies                                                             0.7     0.6     0.5     0.5     0.5     0.5          0.5      0.5     0.5     0.5
    Social benefits                                                      19.7    19.3    19.0    18.7    18.6    18.5         18.4     18.4    18.3    18.3
    Grants and other expense                                              6.9     4.5     2.9     3.1     3.1     3.1          3.1      3.2     3.2     3.2
      Other current expense                                               2.7     2.6     2.5     2.6     2.6     2.6          2.6      2.7     2.7     2.7
      Capital transfers                                                   4.2     1.9     0.4     0.5     0.5     0.5          0.5      0.5     0.5     0.5
  Net acquisition of nonfinancial assets                                 -0.9    -0.6    -1.3    -1.3    -0.9    -0.9         -0.9     -0.9    -0.9    -0.9
    Gross fixed capital formation                                         2.0     2.3     1.5     1.6     2.0     2.0          2.1      2.1     2.1     2.1
    (-) Consumption of fixed capital                                     -2.9    -2.9    -2.8    -2.9    -2.9    -2.9         -2.9     -2.9    -2.9    -2.9
    Acquisitions less disposals of other nonfinancial assets              0.0     0.1     0.0     0.0     0.0     0.0          0.0      0.0     0.0     0.0
""
Gross Operating Balance                                                  -5.1    -2.1    -0.5     0.4     1.0     1.1          1.3      1.4     1.4     1.5
Net lending (+)/borrowing (–)                                            -7.2    -4.4    -2.0    -1.2    -1.1    -0.9         -0.8     -0.7    -0.7    -0.5
""
Net acquisition of financial assets                                      -3.8    -2.2     3.0      …       …       …            …        …       …       …
   Monetary gold and SDRs                                                 0.0     0.0     0.0      …       …       …            …        …       …       …
   Currency and deposits                                                  0.0    -1.7     2.4      …       …       …            …        …       …       …
   Debt securities                                                       -2.7    -0.5     0.0      …       …       …            …        …       …       …
   Loans                                                                 -0.1     0.1     0.0      …       …       …            …        …       …       …
   Equity and investment fund shares                                     -1.2    -0.1    -0.1      …       …       …            …        …       …       …
"   Insurance, pensions, and standardized guarantee schemes                0.0     0.0     0.0      …       …       …            …        …       …       …"
   Financial derivatives and employee stock options                       0.1    -0.2    -0.3      …       …       …            …        …       …       …
   Other accounts receivable                                              0.2     0.2     1.0      …       …       …            …        …       …       …
""
Net incurrence of liabilities                                             3.4     2.2     5.0      …       …       …            …        …       …       …
   SDRs                                                                   0.0     0.0     0.0      …       …       …            …        …       …       …
   Currency and deposits                                                  2.8     2.2     2.1      …       …       …            …        …       …       …
   Debt securities                                                       -1.1     6.2     6.1      …       …       …            …        …       …       …
   Loans                                                                  2.1    -5.2    -3.2      …       …       …            …        …       …       …
   Equity and investment fund shares                                      0.0    -0.1     0.0      …       …       …            …        …       …       …
"   Insurance, pensions, and standardized guarantee schemes                0.0     0.0     0.0      …       …       …            …        …       …       …"
   Financial derivatives and employee stock options                       0.0     0.0     0.0      …       …       …            …        …       …       …
   Other accounts payable                                                -0.5    -1.0     0.0      …       …       …            …        …       …       …
""
Memorandum items:
  Primary balance                                                        -2.3     0.2     2.2     2.7     2.6     2.6          2.6      2.6     2.6     2.6
  Structural balance (Percent of potential GDP)                          -1.1    -1.4    -1.1    -1.2    -1.3    -1.6         -1.7     -1.6    -1.6    -1.4
  Structural primary balance (Percent of potential GDP)                   3.6     3.0     2.9     2.7     2.4     2.0          1.8      1.8     1.7     1.7
  Debt at face value (EDP notification)                                 130.6   128.8   130.1   125.7   121.7   118.4        115.4    112.7   110.4   108.0
  Nominal GDP (Billions of euros)                                       173.1   179.8   185.2   193.0   200.2   206.8        213.4    219.6   226.1   232.6
""
    Sources: INE; Bank of Portugal; and IMF staff projections.
1
    GFSM 2001 presentation.
""
""
""
""
          20        INTERNATIONAL MONETARY FUND
