V1
INDONESIA
"Table 6. Indonesia: Summary of Central Government Operations, 2018-23"
"(In percent of GDP, unless otherwise indicated)"
2018                 2019                 2020             2021              2022             2023
Proj.            Proj.
Revenues and grants                                                                                                                13.1                  12.4                  10.7              11.8              11.4              11.5
Of which: tax revenues                                                                                      10.3                 98                 8.3              9.1              9.3              9.5
Oil and gas revenues                                                                                        1.4                1.1                0.7             0.9             0.9             0.7
Tax revenues                                                                                                0.4                0.4                0.2             0.3             0.4             0.3
Nontax revenues                                                                                                 1.0                 0.8                 0.4              0.6              0.5              0.4
Non-oil and gas revenues                                                                                                      11.6                  11.2                    9.9              10.9               10.5               10.7
Tax revenues                                                                                                      9.8                 9.4                 8.1              8.8              8.9              9.2
Income tax                                                                                                                              4.6                    45                     3.6                 3.8                 3.7                 3.7
VAT                                                                                                                        3.6                  3.4                  2.9               3.2               3.3               3.7
Other                                                                                                                     1.6                  1.5                  1.6               1.8               1.9               1.8
Nontax revenues                                                                                                 1.8                 1.8                 1.8              2.1              1.6              1.5
Grants                                                                                                                         0.1                  0.0                  0.1               0.0              0.0              0.0
Expenditure and net lending                                                                                                           14.8                   14.6                   16.8               16.4               15.4               14.4
Current expenditure                                                                                                     7.9                  7.6                  9.3               9.3               9.4               8.2
Personnel                                                                                                                  2.3                  2.4                  2.5               2.3               2.1               2.0
Subsidies                                                                                                                                                            1.5                         1.3                         1.3                    1.4                    1.3                    1.0
Of which: energy subsidies                                                                                     1.0                  0.9                  0.7               0.8               0.9               0.7
Fuel                                                                                                                     0.7                  0.5                  0.3               0.4              0.1               0.1
Electricity                                                                                                            0.4                  0.3                  0.4              0.5               0.8               0.6
Interest                                                                                                                                                                                1.7                           1.7                           2.0                      2.0                      2.6                      2.5
Other                                                                                                                        2.4                  2.2                  3.6               3.6               3.4               2.7
Development expenditure                                                                                           1.8                  1.9                  2.5               2.5               2.2               2.2
Capital spending                                                                                                           1.2                   1.2                   1.2               1.5               1.5               1.6
Social assistance spending 1/                                                                      0.6               0.7               1.3            1.0            0.7            0.6
Transfers to local governments                                                                                          5.1                    5.1                   49               45                3.7                4.0
Of which: transfers for infrastructure 2/                                                                    1.7                  1.7                  1.8               1.6              1.1               1.3
Overall balance                                                                                                                 -1.7                 -2.2                 -6.1              -4.6              -4.0              -3.0
Memorandum items:
Net issuance of government securities                                                                        2.4                 7.2                  7.3              49              3.5              3.3
SOE recapitalization and land acquisition                                                          0.4               0.4               0.1             0.4            0.3            0.3
Primary balance (percent of GDP)                                                                          0.0               -0.5               -4.1             -2.6            -1.3            -0.5
Cyclically-adjusted primary balance (percent of GDP)                                               0.0               -0.4               -3.3             -1.8            -0.8            -0.2
Capital spending and transfers (percent of GDP) 3/                                                  2.9                 2.9                 3.1              3.1              2.7              2.8
General government debt (percent of GDP)                                                              30.4                30.6                39.8            42.8            42.9            42.9
Indonesian crude oil price (US$ per barrel)                                                         67.5              62.4              40.5           67.4           80.3           73.9
Oil production (thousands of barrels per day)                                                            810                805                806             803             800             797
"Nominal GDP (in trillions of rupiah)                                                                                      14,839               15,833               15,438           16,971           18,471           20,220"
Sources: Data provided by the Indonesian authorities; and IMF staff estimates and projections.
1/ Some social assistance spending was reclassified to other expenditure in 2016.
"2/ Special purpose transfers (DAK) for physical infrastructure and Village Fund transfers. Starting 2017, 25 percent of general transfer and revenue sharing is"
included.
3/ Sum of capital spending and transfers for infrastructure.
40 INTERNATIONAL MONETARY FUND
