V1
                                                                                                                                                  SRI LANKA
""
""
""
"                  Table 2b. Sri Lanka: Summary of Central Government Operations, 2019–26"
                                             (In percent of GDP)
                                                                   2019          2020      2021          2022                2023       2024     2025     2026
                                                                   Act.           Est.     Proj.     Budget   Proj.                        Proj.
""
""
Total revenue and grants                                              12.6           9.2      8.9        12.0     10.7        10.8       11.0     11.1     11.3
  Total revenue                                                       12.6           9.1      8.9        12.0     10.7        10.7       11.0     11.1     11.3
    Tax revenue                                                       11.6           8.1      7.9        10.7      9.6         9.6        9.8     10.0     10.1
      Income taxes                                                     2.8           1.8      1.8         2.7      2.4         1.9        2.0      2.0      2.0
      VAT                                                              3.0           1.6      1.9          …       2.1         2.0        2.0      2.0      2.0
      Excise taxes                                                     2.7           2.2      1.8          …       1.9         2.1        2.2      2.3      2.5
      Other trade taxes                                                1.1           1.3      0.8          …       0.9         1.1        1.2      1.2      1.2
      Other                                                            2.0           1.3      1.6          …       2.3         2.4        2.4      2.4      2.4
    Nontax revenue                                                     1.0           1.0      1.0         1.2      1.1         1.1        1.1      1.1      1.1
  Grants                                                               0.1           0.0      0.0         0.1      0.0         0.0        0.0      0.0      0.0
""
Total expenditure and net lending                                     20.6         21.9      20.3        20.8     20.3        20.3       20.4     20.5     20.4
  Current expenditure                                                 15.3         17.8      16.8        15.9     17.8        17.8       17.9     18.0     17.9
    Wages and salaries                                                 4.6           5.3      5.1         5.2      5.7         5.6        5.6      5.5      5.5
    Goods and services                                                 1.1           1.2      1.1         1.0      1.0         1.1        1.1      1.1      1.1
    Subsidies and transfers                                            3.7           4.8      4.1         3.6      4.3         4.0        4.0      4.0      4.0
    Interest payments 1/                                               6.0           6.5      6.4         6.0      6.8         7.1        7.3      7.4      7.4
  Capital expenditure and net lending                                  5.3           4.1      3.5         4.9      2.5         2.5        2.5      2.5      2.5
""
Overall balance                                                       -8.0         -12.8    -11.4        -8.8     -9.6        -9.6       -9.4     -9.4     -9.1
Financing                                                              8.0         12.8      11.4         8.8      6.0         4.2        4.0      3.3      4.1
  Privatization                                                        0.0           0.0      0.0         0.0      0.0         0.1        0.1      0.0      0.0
  Net external financing                                               3.8          -0.6     -0.9        -1.0     -1.0        -0.9       -1.0     -1.8     -0.9
  Net domestic financing                                               4.1         13.3      12.3         9.8      7.0         5.0        5.0      5.0      5.0
Financing gap                                                          0.0          0.0       0.0         0.0      3.6         5.4        5.4      6.1      5.0
""
Memorandum items:
  Central government primary balance                                  -2.0          -6.2     -4.9        -2.8     -2.8        -2.5       -2.2     -2.0     -1.8
  Central government debt 1/                                          86.8        101.2     107.1          …     108.6      110.2       111.7    113.5    115.4
  Fund credit outstanding                                              1.5           1.6      1.4          …       1.2         1.0        0.7      0.5      0.3
"  Nominal GDP (in billion of rupees)                                15,013       14,973    16,393     18,511    18,587     20,426      22,337   24,291   26,279"
""
""
Sources: Data provided by the Sri Lankan authorities; and IMF staff estimates.
1/ Debt and interest projections assume that fiscal financing gaps are filled from yet unidentified external sources (see DSA Annex)
""
""
""
""
                                                                                                     INTERNATIONAL MONETARY FUND                            39
