V1
                                                                                                                                     REPUBLIC OF SAN MARINO
""
""
""
"Table 2a. San Marino: Statement of Operations for Budgetary Central Government, 2018–26"
                                    (Millions of Euros)
                                                                                                                                     Projection
                                                                                       2018     2019     2020     2021     2022     2023        2024     2025     2026
Revenue                                                                                321.7    331.3    291.9    297.6    312.6    323.2       330.2    338.3    346.7
   Taxes                                                                               239.0    241.5    195.8    230.4    241.8    250.3       255.4    261.5    267.9
        Income Taxes                                                                   126.8    131.8    119.4    121.6    128.1    131.6       135.1    138.6    142.4
        Non-income taxes                                                               112.1    109.7    119.4    121.6    128.1    131.6       135.1    138.6    142.4
            Taxes on international trade and transactions                               56.7     70.6      0.0      0.0      0.0      0.0         0.0      0.0      0.0
            Other taxes                                                                 55.5     39.1     40.8     70.8     73.6     77.5        78.1     79.5     81.0
   Non-tax revenue                                                                      82.7     89.8     96.2     67.2     70.8     72.9        74.8     76.8     78.9
Expenditure                                                                            343.5    324.1    800.3    571.5    342.9    349.6       358.7    374.4    384.3
   Current Expenditure                                                                 340.9    304.0    195.6    226.5    235.1    243.0       248.4    253.3    258.4
        Compensation of employees                                                       92.8     91.5     85.6     92.7     92.7     92.7        95.1     97.6    100.2
        Use of goods and services                                                       23.0     23.2     21.3     23.9     23.4     23.4        24.0     24.6     25.3
         Interest                                                                        4.5      5.0     12.9     34.7     24.8     25.5        26.0     33.0     33.7
        Transfers                                                                      217.4    181.0    672.9    410.3    193.2    199.1       204.3    209.8    215.4
            To other general government units                                          154.9    127.7    164.9    162.5    163.0    162.7       166.9    171.4    176.0
               o/w to the Pension Fund                                                  33.1     38.7     50.2     45.8     47.2     54.5        55.7     56.9     58.4
            Bank Support                                                                44.1     33.5    484.5    201.5      9.6     15.6        15.4     15.2     15.0
            To other private sector entities                                            18.4     19.8     23.5     46.3     20.6     20.8        22.0     23.2     24.4
        Other expenses (including subsidies)                                             3.1      3.3      3.2      4.4      4.6      4.7         4.8      5.0      5.1
   Net acquisition of non-financial assets                                               2.6     20.1      4.4      5.4      4.3      4.2         4.4      4.5      4.6
Overall Balance                                                                        -21.8      7.2   -508.4   -273.8    -30.3    -26.4       -28.5    -36.1    -37.6
Memorandum items
Primary Balance                                                                     -17.3        12.2   -495.5   -239.1     -5.5     -0.9       -2.5      -3.1     -3.9
Primary Balance net of bank support                                                  26.9        45.7    -11.0    -37.6      4.1     14.7       12.9      12.1     11.1
Primary Balance net of transfer to the Pension Fund [a]                              15.8        50.8   -445.3   -193.3     41.7     53.6       53.2      53.8     54.5
Pension Fund Balance net of government transfers [b]                                -43.9       -49.4    -69.9    -69.7    -69.4    -69.1      -68.9     -68.6    -77.4
Consolidated Primary Balance 1/                                                     -28.1         1.5   -515.2   -263.0    -27.7    -15.5      -15.6     -14.8    -22.9
Consolidated Primary Balance net of Bank Support 2/                                  16.0        35.0    -30.5    -76.7    -29.7    -17.8      -17.9     -16.3    -24.0
Public debt (official)                                                              421.8       461.8   1055.4   1088.0   1113.0   1133.7     1164.0    1189.5   1215.6
Public debt /3                                                                      890.0       916.8   1055.4   1368.3   1400.9   1421.9     1443.5    1471.3   1497.9
Nominal GDP (in millions of euros)                                                 1401.7      1443.7   1354.6   1450.7   1528.2   1570.1     1611.0    1653.7   1698.2
Sources: Sammarinese authorities; and IMF staff.
1/ Consolidated primary balance of the central government and the Pension Funds ([a]+[b]);
2/ Bank support from 2022 are transfers to the Pension Fund related to BCIS bailout.
3/ Central government (official) debt plus debt of the Social Security Fund and BNS.
""
""
""
""
                                                                                                                    INTERNATIONAL MONETARY FUND                      25
