V1
REPUBLIC OF SAN MARINO
""
""
""
"Table 2b. San Marino: Statement of Operations for Budgetary Central Government, 2018–26"
                                    (Percent of GDP)
                                                                                                                                   Projection
                                                                                    2018       2019     2020     2021     2022     2023       2024     2025     2026
 Revenue                                                                             23.0       22.9     21.6     20.5     20.5     20.6       20.5     20.5     20.4
    Taxes                                                                            17.0       16.7     14.5     15.9     15.8     15.9       15.9     15.8     15.8
         Income Taxes                                                                 9.0        9.1      8.8      8.4      8.4      8.4        8.4      8.4      8.4
         Non-income taxes                                                             8.0        7.6      8.8      8.4      8.4      8.4        8.4      8.4      8.4
             Taxes on international trade and transactions                            4.0        4.9      0.0      0.0      0.0      0.0        0.0      0.0      0.0
             Other taxes                                                              4.0        2.7      3.0      4.9      4.8      4.9        4.8      4.8      4.8
    Non-tax revenue                                                                   5.9        6.2      7.1      4.6      4.6      4.6        4.6      4.6      4.6
 Expenditure                                                                         24.5       22.4     59.1     39.4     22.4     22.3       22.3     22.6     22.6
    Current Expenditure                                                              24.3       21.1     14.4     15.6     15.4     15.5       15.4     15.3     15.2
         Compensation of employees                                                    6.6        6.3      6.3      6.4      6.1      5.9        5.9      5.9      5.9
         Use of goods and services                                                    1.6        1.6      1.6      1.6      1.5      1.5        1.5      1.5      1.5
          Interest                                                                    0.3        0.3      1.0      2.4      1.6      1.6        1.6      2.0      2.0
         Transfers                                                                   15.5       12.5     49.7     28.3     12.6     12.7       12.7     12.7     12.7
             To other general government units                                       11.1        8.8     12.2     11.2     10.7     10.4       10.4     10.4     10.4
                o/w to the Pension Fund                                               2.4        2.7      3.7      3.2      3.1      3.5        3.5      3.4      3.4
             Bank Support                                                             3.1        2.3     35.8     13.9      0.6      1.0        1.0      0.9      0.9
             To other private sector entities                                         1.3        1.4      1.7      3.2      1.3      1.3        1.4      1.4      1.4
         Other expenses (including subsidies)                                         0.2        0.2      0.2      0.3      0.3      0.3        0.3      0.3      0.3
    Net acquisition of non-financial assets                                           0.2        1.4      0.3      0.4      0.3      0.3        0.3      0.3      0.3
 Overall Balance                                                                     -1.6        0.5    -37.5    -18.9     -2.0     -1.7       -1.8     -2.2     -2.2
 Memorandum items
 Primary Balance                                                                    -1.2         0.8    -36.6    -16.5     -0.4     -0.1      -0.2      -0.2     -0.2
 Primary Balance net of bank support                                                 1.9         3.2     -0.8     -2.6      0.3      0.9       0.8       0.7      0.7
 Primary Balance net of transfer to the Pension Fund [a]                             1.1         3.5    -32.9    -13.3      2.7      3.4       3.3       3.3      3.2
 Pension Fund Balance net of government transfers [b]                               -3.1        -3.4     -5.2     -4.8     -4.5     -4.4      -4.3      -4.1     -4.6
 Consolidated Primary Balance 1/                                                    -2.0         0.1    -38.0    -18.1     -1.8     -1.0      -1.0      -0.9     -1.3
 Consolidated Primary Balance net of Bank Support 2/                                 1.1         2.4     -2.2     -5.3     -1.9     -1.1      -1.1      -1.0     -1.4
 Public debt (official)                                                             30.1        32.0     77.9     75.0     72.8     72.2      72.3      71.9     71.6
 Public debt /3                                                                     63.5        63.5     77.9     94.3     91.7     90.6      89.6      89.0     88.2
 Nominal GDP (in millions of euros)                                               1401.7      1443.7   1354.6   1450.7   1528.2   1570.1    1611.0    1653.7   1698.2
 Sources: Sammarinese authorities; and IMF staff.
 1/ Consolidated primary balance of the central government and the Pension Funds ([a]+[b]);
 2/ Bank support from 2022 are transfers to the Pension Fund related to BCIS bailout.
 3/ Central government (official) debt plus debt of the Social Security Fund and BNS.
""
""
""
""
26     INTERNATIONAL MONETARY FUND
