V1
                                                                                                                                                       REPUBLIC OF KOSOVO
""
""
""
""
"                              Table 3. Kosovo: Consolidated Government Budget, 2019–271"
                                 (Including donor designated grants and PAK operations; percent of GDP)
                                                                        2019      2020      2021             2022                    2023            2024     2025      2026       2027
                                                                                                                             2023
                                                                                                      2022 Rev.
                                                                          Act.      Act.       Act.                  Proj.   Draft                            Proj.
                                                                                                        Budget
                                                                                                                             Budget
""
Revenue and grants                                                       27.0       25.6      27.8          27.2     27.8          29.4     28.6      27.3     27.2     27.2        27.0
 Revenue                                                                 26.7       25.0      27.5          27.0     27.5          28.4     27.4      27.3     27.2     27.2        27.0
  Taxes                                                                  23.6       22.3      24.5          24.3     24.8          25.7     24.6      24.4     24.3     24.3        24.1
    Direct taxes                                                          4.1        3.9       4.3           4.4      4.7           5.1      5.0       5.0      5.0      5.0         5.0
         of which: Personal income tax                                    2.3        2.3       2.4           2.4      2.4           2.7      2.6       2.6      2.6      2.6         2.6
         of which: Corporate income tax                                   1.3        1.3       1.4           1.5      1.8           2.0      2.0       2.0      2.0      2.0         2.0
         of which: Property tax                                           0.4        0.3       0.5           0.5      0.4           0.5      0.4       0.4      0.4      0.4         0.4
    Indirect taxes                                                       20.1       18.8      20.9          20.6     21.0          21.4     20.5      20.3     20.2     20.1        19.9
         VAT                                                             12.0       11.4      13.0          13.2     13.8          14.1     13.8      13.8     13.8     13.8        13.8
         Excise                                                           6.2        5.9       6.3           5.9      5.7           5.8      5.4       5.3      5.3      5.3         5.3
         Customs                                                          1.8        1.5       1.6           1.5      1.5           1.4      1.3       1.1      1.0      0.9         0.7
    Tax refunds                                                          -0.6       -0.5      -0.7          -0.7     -0.9          -0.8     -0.9      -0.9     -0.9     -0.9        -0.9
  Nontax revenues                                                         3.1        2.7       3.0           2.7      2.6           2.7      2.8       2.8      2.8      2.8         2.8
  Other revenue                                                           0.1        0.1       0.1             …      0.1             …      0.1       0.1      0.1      0.1         0.1
 Grants                                                                   0.3        0.6       0.2           0.3      0.3           1.0      1.1       0.0      0.0      0.0         0.0
  Budget support                                                          0.2        0.5       0.0           0.1      0.1           0.9      1.0       0.0      0.0      0.0         0.0
  Project grants (DDGs)                                                   0.1        0.1       0.2           0.1      0.1           0.1      0.1       0.0      0.0      0.0         0.0
""
Expenditure                                                              29.9       33.5      29.0          32.4     28.0          32.7     30.8      29.5     29.2     29.3        29.3
 Current expenditure                                                     22.4       27.8      23.7          24.0     23.4          23.9     23.9      23.1     22.9     23.0        23.0
   Wages and salaries                                                     8.7        9.8       8.4           7.5      7.4           7.6      7.6       8.1      8.1      8.1         8.1
   Goods and services                                                     4.2        4.5       4.2           4.5      3.8           5.0      4.8       4.5      4.5      4.5         4.5
   Subsidies and transfers                                                8.9       12.8      10.6          11.7     12.0          11.2     11.2      10.2     10.0     10.0        10.0
   Current reserves                                                       0.0        0.0       0.0           0.2      0.0           0.1      0.0       0.0      0.0      0.0         0.0
   DDGs and other expenditure                                             0.1        0.0       0.0             …      0.0             …      0.0       0.0      0.0      0.0         0.0
   Interest payments                                                      0.3        0.4       0.4           0.5      0.3           0.5      0.3       0.3      0.3      0.4         0.4
       of which: on external debt                                         0.2        0.1       0.1             …      0.2             …      0.1       0.2      0.2      0.2         0.2
   Other net PAK expenditure                                              0.1        0.4       0.2             …      0.0             …      0.0       0.0      0.0      0.0         0.0
 Capital expenditure                                                      7.6        5.7       5.3           7.9      4.6           8.3      6.8       6.3      6.3      6.3         6.3
   Budget-financed                                                        5.2        4.0       4.9           6.4      4.3           6.9      5.5       5.5      5.5      5.5         5.5
   PAK-financed                                                           1.9        0.8       0.0           0.2      0.0           0.0      0.0       0.0      0.0      0.0         0.0
   External                                                               0.5        0.9       0.5           2.2      0.3           2.0      1.3       0.9      0.8      0.8         0.8
       Non-Investment Clause                                              0.3        0.5       0.2           0.9      0.0           0.7      0.2       0.1      0.0      0.0         0.0
"       of which: ""Investment Clause""                                      0.2        0.4       0.2           1.3      0.3           1.3      1.1       0.8      0.8      0.8         0.8"
                                                                                     5.3       5.2                    4.3                    5.7       5.5      5.5      5.5         5.5
Fiscal balances
  Primary balance                                                        -2.7       -7.6       -0.9         -4.8       0.0         -2.9      -2.0     -1.8     -1.7      -1.8       -1.9
  Overall balance                                                        -2.9       -7.9       -1.3         -5.2      -0.3         -3.3      -2.2     -2.1     -2.0      -2.1       -2.3
"     ""Fiscal rule"" deductions from the overall balance                    2.1        1.9        0.2          1.5       0.3          1.3       1.1      0.8      0.8       0.8        0.8"
"  Overall balance ('Fiscal rule"" definition) 2/                          -0.8       -6.6       -1.0         -3.7       0.1         -2.0      -1.1     -1.3     -1.2      -1.3       -1.5"
  Overall cyclically adjusted balance                                    -3.6       -6.3       -1.3            …      -0.4            …      -3.2     -2.0     -2.0      -2.1       -2.3
  Statistical discrepancy                                                 0.0        0.0        0.0            …       0.0            …       0.0      0.0      0.0       0.0        0.0
""
Financing                                                                 2.9        7.9        1.3           5.2      0.3           3.3      2.2      2.1      2.0       2.1         2.3
 Foreign financing (net)                                                 -0.1        1.9        0.6           4.0     -0.2           3.7      2.6      0.6      0.5       0.5         0.3
   Budget Support                                                         0.0        2.3        1.0           2.6      0.0           2.3      1.4      0.0      0.0       0.0         0.0
   External Financing for Projects                                        0.6        0.9        0.6           2.2      0.4           2.0      1.6      1.0      1.0       1.0         0.9
   Amortization of external debt                                         -0.7       -1.3       -1.0          -0.7     -0.6          -0.6     -0.4     -0.4     -0.5      -0.5        -0.7
""
 Domestic financing (net)                                                 3.1        6.0        0.7           0.6      0.4           0.6     -0.3      1.5      1.5       1.6         2.0
  Net Domestic debt issuance                                              1.6        2.5        1.8           0.8      0.1           0.7      0.6      1.2      1.2       1.2         1.2
  Change in CBK deposits                                                  0.6        3.1       -1.3          -0.5      0.2          -1.0     -0.9      0.3      0.3       0.4         0.8
   Change in GG Deposits at the CBK (TSA)                                -1.0        1.9       -1.3           0.0      0.1           0.0     -1.0      0.2      0.3       0.4         0.8
   PAK Deposits                                                           1.6        1.2        0.1           0.0      0.1           0.0      0.1      0.0      0.0       0.0         0.0
  Other Financing (Net POE and other)                                     0.2        0.2        0.0           0.1      0.2           0.4      0.0      0.0      0.0       0.0         0.0
  Equity (Privatization)                                                  0.6        0.2        0.1           0.2      0.0           0.0      0.0      0.0      0.0       0.0         0.0
Memorandum items
Overall balance (MOF) 3/                                                 -2.9       -7.6       -1.3         -5.2      -0.5         -3.3      -2.4     -2.2     -2.1     -2.2        -2.4
Pandemic-related fiscal measures                                           …         4.4        3.9           …         …            …         …        …        …        …           …
Bank balance of the general government                                    5.1        3.4        3.8          4.3       3.3          4.3       4.0      3.5      3.0      2.4         1.5
  Of which: ELA                                                           0.7        0.7        0.6          0.5       0.5          0.5       0.5      0.4      0.4      0.4         0.4
Total public debt 4/                                                     17.7       22.5       21.6         18.8      19.2         21.9      20.6     21.0     21.4     21.9        22.3
    External debt                                                         6.4        8.2        7.6          6.5       6.6          9.4       8.6      8.6      8.6      8.6         8.5
       Of which: onlending                                                0.7        0.6        0.6           …        0.5           …        0.5      0.6      0.7      0.7         0.8
       Of which: guarantees                                               0.6        0.5        0.4           …        0.4           …        0.3      0.3      0.3      0.3         0.3
    Domestic debt                                                        11.3       14.3       13.9         12.4      12.5         12.5      12.0     12.4     12.8     13.3        13.8
Sources: Kosovo authorities; and IMF staff estimates and projections.
1/ It does not yet reflect the GFSM 2014 methodology.
"2/ The “fiscal rule” caps the overall fiscal deficit at 2 percent of GDP, excluding investment financed with privatization receipts and donor financing contracted after 2015, as well as"
PAK-related current expenditure; the IMF calculates expenditures from carried-forward own-source revenue (OSR) as the difference in the municipal OSR stock.
"3/ Excludes DDGs, revenues held in trust, and additional net PAK expenditure."
"4/ The stock of public debt no longer includes the former Yugoslavia debt, which has been reclassified as a contingent liability. Beginning in 2020, it includes Euro 120 million of"
debt with KPST.
""
""
""
""
                                                                                                                     INTERNATIONAL MONETARY FUND                                      27
