V1
                                                                                                                                                                                             EL SALVADOR
""
""
""
                               Table 5. El Salvador: Operations of the Nonfinancial Public Sector
                                                                                                                                                                            Projections
                                                                         2013         2014        2015       2016         2017         2018          2019       2020       2021       2022      2023      2024
""
                                                                                                                                (Millions of U.S. dollars)
"Revenue and Grants                                                      4,679        4,739         4,922       5,272        5,617       5,880        5,959       6,211      6,489     6,781      7,066     7,363"
" Current revenue                                                         4,608        4,692         4,869      5,226         5,573        5,820        5,901      6,172      6,455     6,746     7,035     7,343"
"  Tax revenue                                                            3,746        3,772         3,918      4,166         4,407        4,653        4,748      4,971      5,202     5,440     5,674     5,924"
"  Nontax revenue                                                           756          797           843        938         1,050          996        1,031      1,073      1,120     1,168     1,217     1,269"
  Operating surplus of the public enterprises                              107          124           108        122           116          172          122        127        133       139       145       151
 Capital revenue                                                             0            0             0          0             0            0            0          0          0         0         0         0
 Official grants                                                            71           46            53         46            44           60           58         38         35        35        30        20
""
"Expenditure                                                             5,660        5,646         5,773       6,023        6,248        6,575        6,872      7,209      7,345     7,709      8,103     8,507"
" Current expenditure                                                     4,870        4,957         5,062      5,206         5,505        5,686        6,008      6,320      6,402     6,711     7,055     7,405"
"  Wages and salaries                                                     2,117        2,232         2,324      2,437         2,511        2,642        2,765      2,881      3,006     3,134     3,267     3,406"
"  Goods and services                                                     1,061        1,059         1,061      1,096         1,056        1,117        1,123      1,186      1,238     1,291     1,345     1,402"
"  Interest                                                                 594          610           640        705           800          924        1,099      1,111      1,220     1,324     1,451     1,572"
"  Current transfers                                                      1,099        1,055         1,037        968         1,138        1,003        1,022      1,141        938       961       992     1,025"
    Nonpension payments                                                    657          588           552        448           578          637          667        698        728       753       785       818
    Pension payments                                                       442          467           485        520           560          366          356        443        210       208       207       207
" Capital expenditure                                                       790          689           711        817           744          889          864        890        943       999     1,047     1,102"
""
Primary Balance 1/                                                       -387         -297          -212         -46          169          230          185        113        364       396       414       428
"Overall Balance                                                          -981         -907          -851        -751         -631         -695         -913       -999       -856      -928     -1,037    -1,144"
""
"Financing                                                                 981          907           851         751          631          695          913        999        856       928      1,037     1,144"
""
External                                                                   13           788           -14        -13          631          193          662          13        34         40     -777        -76
" Disbursements                                                            269         1,059           247        292          955          548         1,782        353       340        340       340       340"
" Amortization                                                            -256          -271          -261       -305         -323         -355        -1,120       -340      -306       -300    -1,117      -416"
""
Domestic                                                                  968           120          866         764            0          501          250        395        -22        -61      180       183
 Change in deposits at central bank (- = increase)                        758            -5           24        -116           15            0             0         0          0          0        0         0
 Banking system                                                          -171          -225          277          16         -602          104           -73         0          0          0        0         0
 Private sector 2/                                                        381           350          565         865          586          397          323        395        -22        -61      180       183
"Unidentified financing                                                      …            …               …          …            …            …             0      591        844       949      1,634     1,037"
Memorandum Items:
 Current revenue minus current expenditure                               -261         -265           -193         20           68           134        -107        -147        53         36       -20       -62
" Gross financing needs                                                  2,174        2,264          1,518      2,214        2,237         1,860       2,898       2,147     2,154      2,257     2,941     2,344"
" Public sector debt (gross) 3/                                         14,031       14,827         15,663     16,611       17,514        18,198     19,116       20,119    20,976     21,907    22,946    24,095"
                                                                                                                                     (Percent of GDP)
Revenue and Grants                                                       21.3         21.0           21.0       21.8         22.5         22.6          22.1       22.0      22.0       22.1      22.1      22.1
""
 Current revenue                                                          21.0         20.8          20.8        21.6         22.4         22.3         21.9       21.9       21.9      22.0      22.0      22.0
  Tax revenue                                                             17.0         16.7          16.7        17.2         17.7         17.9         17.6       17.6       17.6      17.7      17.7      17.7
  Nontax revenue                                                           3.4          3.5           3.6         3.9          4.2          3.8          3.8        3.8        3.8       3.8       3.8       3.8
  Operating surplus of the public enterprises                              0.5          0.5           0.5         0.5          0.5          0.7          0.5        0.5        0.5       0.5       0.5       0.5
 Official grants                                                           0.3          0.2           0.2         0.2          0.2          0.2          0.2        0.1        0.1       0.1       0.1       0.1
Expenditure                                                              25.7         25.0           24.6       24.9         25.1         25.2          25.5       25.5      24.9       25.1      25.3      25.5
 Current expenditure                                                      22.1         21.9          21.6        21.6         22.1         21.8         22.3       22.4       21.7      21.8      22.0      22.2
  Wages and salaries                                                       9.6          9.9           9.9        10.1         10.1         10.1         10.2       10.2       10.2      10.2      10.2      10.2
  Goods and services                                                       4.8          4.7           4.5         4.5          4.2          4.3          4.2        4.2        4.2       4.2       4.2       4.2
  Interest                                                                 2.7          2.7           2.7         2.9          3.2          3.5          4.1        3.9        4.1       4.3       4.5       4.7
  Current transfers                                                        5.0          4.7           4.4         4.0          4.6          3.9          3.8        4.0        3.2       3.1       3.1       3.1
    Nonpension payments                                                    3.0          2.6           2.4         1.9          2.3          2.4          2.5        2.5        2.5       2.5       2.5       2.5
    Pension payments                                                       2.0          2.1           2.1         2.2          2.2          1.4          1.3        1.6        0.7       0.7       0.6       0.6
 Capital expenditure                                                       3.6          3.1           3.0         3.4          3.0          3.4          3.2        3.2        3.2       3.3       3.3       3.3
""
Primary Balance 1/                                                        -1.8         -1.3          -0.9        -0.2          0.7          0.9          0.7        0.4       1.2        1.3       1.3       1.3
Overall Balance                                                           -4.5         -4.0          -3.6        -3.1         -2.5         -2.7         -3.4       -3.5       -2.9      -3.0      -3.2      -3.4
""
Memorandum Items
 Current revenue minus current expenditure                                -1.2         -1.2           -0.8        0.1          0.3          0.5          -0.4       -0.5       0.2        0.1      -0.1      -0.2
 Gross financing needs                                                     9.9        10.0             6.5        9.2          9.0          7.1         10.7         7.6       7.3        7.3       9.2       7.0
 Public sector debt (gross) 3/                                           63.8         65.6           66.8       68.8         70.3         69.8          70.8       71.2      71.2       71.3      71.6      72.2
" Nominal GDP                                                           21,991       22,593         23,438     24,154       24,928       26,057        26,990     28,248    29,475     30,730    32,033    33,391"
""
"Sources: Central Reserve Bank of El Salvador, Ministry of Finance, and IMF staff estimates."
"1/ The baseline scenario does not include revenue measures such as the electronic invoicing, the monotributo, and the transfer pricing initiative."
"2/ Includes financing for education, health, pension trust funds, and other non-depositary corporations."
3/ Includes gross debt of the nonfinancial public sector and external debt of the central bank.
""
""
""
""
                                                                                                                                              INTERNATIONAL MONETARY FUND                                    33
